ENSECAP00000031365	ENSECAG00000035688	Equus_caballus
ENSEASP00005027310	ENSEASG00005018612	Equus_asinus_asinus
ENSUAMP00000009190	ENSUAMG00000007669	Ursus_americanus
ENSUMAP00000025999	ENSUMAG00000018945	Ursus_maritimus
ENSAMEP00000014111	ENSAMEG00000013405	Ailuropoda_melanoleuca
ENSCAFP00020035500	ENSCAFG00020027490	Canis_lupus_dingo
ENSCAFP00000039740	ENSCAFG00000005360	Canis_lupus_familiaris
ENSVVUP00000017088	ENSVVUG00000012599	Vulpes_vulpes
ENSVVUP00000029090	ENSVVUG00000021262	Vulpes_vulpes
ENSCAFP00000047211	ENSCAFG00000000400	Canis_lupus_familiaris
ENSCAFP00020019636	ENSCAFG00020015606	Canis_lupus_dingo
ENSCAFP00000055784	ENSCAFG00000043810	Canis_lupus_familiaris
ENSCAFP00020020207	ENSCAFG00020016031	Canis_lupus_dingo
ENSVVUP00000013054	ENSVVUG00000009563	Vulpes_vulpes
ENSNVIP00000023291	ENSNVIG00000018139	Neovison_vison
ENSMPUP00000011703	ENSMPUG00000011797	Mustela_putorius_furo
ENSPTIP00000008954	ENSPTIG00000010192	Panthera_tigris_altaica
ENSPPRP00000013338	ENSPPRG00000006562	Panthera_pardus
ENSFCAP00000018985	ENSFCAG00000025918	Felis_catus
ENSPPRP00000014205	ENSPPRG00000007183	Panthera_pardus
ENSPTIP00000010540	ENSPTIG00000011279	Panthera_tigris_altaica
ENSVPAP00000010681	ENSVPAG00000011471	Vicugna_pacos
ENSSSCP00000029192	ENSSSCG00000025892	Sus_scrofa_strain_reference
ENSSARP00000005459	ENSSARG00000006048	Sorex_araneus
ENSSARP00000002472	ENSSARG00000002747	Sorex_araneus
ENSBIXP00005010344	ENSBIXG00005014998	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000030910	ENSBIXG00000013032	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000009633	ENSBMUG00000007492	Bos_mutus
ENSBTAP00000009075	ENSBTAG00000006914	Bos_taurus
ENSBBBP00000001827	ENSBBBG00000010936	Bison_bison_bison
ENSCHIP00000027525	ENSCHIG00000023414	Capra_hircus	ENSCHIT00000035393
ENSOARP00000014170	ENSOARG00000013225	Ovis_aries	ENSOART00000014377
ENSTTRP00000007852	ENSTTRG00000008296	Tursiops_truncatus
ENSEEUP00000005685	ENSEEUG00000006243	Erinaceus_europaeus
ENSPVAP00000003757	ENSPVAG00000003972	Pteropus_vampyrus
ENSMLUP00000007979	ENSMLUG00000008758	Myotis_lucifugus
ENSPPAP00000041958	ENSPPAG00000043578	Pan_paniscus
ENSPTRP00000063386	ENSPTRG00000043143	Pan_troglodytes
ENSP00000365744	ENSG00000204576	Homo_sapiens
ENSGGOP00000018724	ENSGGOG00000014604	Gorilla_gorilla
ENSPPYP00000018343	ENSPPYG00000016409	Pongo_abelii
ENSNLEP00000048448	ENSNLEG00000029816	Nomascus_leucogenys
ENSTGEP00000014157	ENSTGEG00000011488	Theropithecus_gelada
ENSMNEP00000011337	ENSMNEG00000030018	Macaca_nemestrina
ENSCSAP00000004465	ENSCSAG00000008206	Chlorocebus_sabaeus
ENSPANP00000013938	ENSPANG00000023072	Papio_anubis
ENSMMUP00000080292	ENSMMUG00000013893	Macaca_mulatta
ENSMFAP00000028329	ENSMFAG00000045525	Macaca_fascicularis
ENSCATP00000042228	ENSCATG00000043741	Cercocebus_atys
ENSMLEP00000023608	ENSMLEG00000035986	Mandrillus_leucophaeus
ENSTGEP00000012451	ENSTGEG00000010157	Theropithecus_gelada
ENSRROP00000020156	ENSRROG00000034036	Rhinopithecus_roxellana
ENSRBIP00000001450	ENSRBIG00000007355	Rhinopithecus_bieti
ENSPTEP00000030098	ENSPTEG00000029373	Piliocolobus_tephrosceles
ENSCANP00000039729	ENSCANG00000043540	Colobus_angolensis_palliatus
ENSSBOP00000019624	ENSSBOG00000026415	Saimiri_boliviensis_boliviensis
ENSCCAP00000029135	ENSCCAG00000032612	Cebus_capucinus_imitator
ENSCJAP00000054395	ENSCJAG00000039422	Callithrix_jacchus
ENSANAP00000007560	ENSANAG00000021850	Aotus_nancymaae
ENSTSYP00000026890	ENSTSYG00000000166	Carlito_syrichta
ENSPSMP00000001962	ENSPSMG00000001480	Prolemur_simus
ENSPSMP00000027116	ENSPSMG00000018985	Prolemur_simus
ENSMICP00000041315	ENSMICG00000042955	Microcebus_murinus
ENSPCOP00000014047	ENSPCOG00000018694	Propithecus_coquereli
ENSOGAP00000003956	ENSOGAG00000004430	Otolemur_garnettii
ENSDORP00000025167	ENSDORG00000027875	Dipodomys_ordii
ENSCCNP00000030989	ENSCCNG00000029581	Castor_canadensis
ENSCLAP00000004630	ENSCLAG00000003296	Chinchilla_lanigera
ENSODEP00000024506	ENSODEG00000017937	Octodon_degus
ENSCAPP00000003154	ENSCAPG00000005995	Cavia_aperea
ENSCPOP00000030287	ENSCPOG00000040772	Cavia_porcellus
ENSHGLP00000024102	ENSHGLG00000017179	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100021616	ENSHGLG00100015907	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000019572	ENSFDAG00000009059	Fukomys_damarensis
ENSUPAP00010005411	ENSUPAG00010004367	Urocitellus_parryii
ENSSDAP00000017339	ENSSDAG00000015712	Spermophilus_dauricus
ENSSTOP00000010609	ENSSTOG00000011829	Ictidomys_tridecemlineatus
ENSMMMP00000022855	ENSMMMG00000020039	Marmota_marmota_marmota
ENSUPAP00010010053	ENSUPAG00010008146	Urocitellus_parryii
ENSSDAP00000001332	ENSSDAG00000001304	Spermophilus_dauricus
ENSMMMP00000026282	ENSMMMG00000023020	Marmota_marmota_marmota
ENSMOCP00000014781	ENSMOCG00000014183	Microtus_ochrogaster
ENSPEMP00000001511	ENSPEMG00000001275	Peromyscus_maniculatus_bairdii
ENSCGRP00015037724	ENSCGRG00015028262	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001001053	ENSCGRG00001000806	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000017981	ENSCGRG00000013074	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000012076	ENSMAUG00000012487	Mesocricetus_auratus
ENSMUSP00000052166	ENSMUSG00000038500	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0046548	MGP_SPRETEiJ_G0022451	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0044658	MGP_CAROLIEiJ_G0021546	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0044179	MGP_PahariEiJ_G0020538	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000031469	ENSRNOG00000025806	Rattus_norvegicus
ENSMUGP00000016002	ENSMUGG00000013732	Meriones_unguiculatus
ENSNGAP00000003632	ENSNGAG00000004281	Nannospalax_galili
ENSJJAP00000005738	ENSJJAG00000010607	Jaculus_jaculus
ENSOCUP00000047735	ENSOCUG00000002117	Oryctolagus_cuniculus
ENSOPRP00000000008	ENSOPRG00000000008	Ochotona_princeps
ENSLAFP00000014463	ENSLAFG00000017245	Loxodonta_africana
ENSPCAP00000004276	ENSPCAG00000004585	Procavia_capensis
ENSDNOP00000016015	ENSDNOG00000001943	Dasypus_novemcinctus
