ENSNMEP00000001863	ENSNMEG00000002390	Numida_meleagris
ENSSLDP00000023519	ENSSLDG00000018353	Seriola_lalandi_dorsalis
ENSCANP00000008143	ENSCANG00000026829	Colobus_angolensis_palliatus
ENSMICP00000009681	ENSMICG00000010628	Microcebus_murinus
ENSEASP00005017594	ENSEASG00005012175	Equus_asinus_asinus
ENSCCAP00000026057	ENSCCAG00000030822	Cebus_capucinus_imitator
ENSNBRP00000016856	ENSNBRG00000012956	Neolamprologus_brichardi
ENSAMXP00005034117	ENSAMXG00005016474	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSARWP00000001513	ENSARWG00000001221	Apteryx_rowi	ENSARWT00000001785
ENSVVUP00000025982	ENSVVUG00000019070	Vulpes_vulpes
ENSCHAP00000015917	ENSCHAG00000008506	Clupea_harengus
ENSTNIP00000006568	ENSTNIG00000003960	Tetraodon_nigroviridis
ENSHBUP00000024445	ENSHBUG00000005852	Haplochromis_burtoni
ENSXMAP00000017043	ENSXMAG00000016997	Xiphophorus_maculatus
ENSPTEP00000013834	ENSPTEG00000015446	Piliocolobus_tephrosceles
ENSORLP00000026458	ENSORLG00000017231	Oryzias_latipes_ASM223467v1
ENSHGLP00100015837	ENSHGLG00100011693	Heterocephalus_glaber_HetGla_1.0
ENSECAP00000008268	ENSECAG00000010293	Equus_caballus
ENSCLAP00000003207	ENSCLAG00000002300	Chinchilla_lanigera
ENSLBEP00000022169	ENSLBEG00000017019	Labrus_bergylta
ENSPFOP00000015630	ENSPFOG00000015545	Poecilia_formosa
ENSCSAP00000003492	ENSCSAG00000007224	Chlorocebus_sabaeus
ENSCABP00000027993	ENSCABG00000020568	Chelonoidis_abingdonii
ENSACAP00000017421	ENSACAG00000017693	Anolis_carolinensis
ENSIPUP00000018562	ENSIPUG00000012582	Ictalurus_punctatus
ENSXCOP00000019983	ENSXCOG00000015004	Xiphophorus_couchianus
ENSNSUP00000006952	ENSNSUG00000005501	Notechis_scutatus
ENSSFOP00015013158	ENSSFOG00015008445	Scleropages_formosus
ENSHGLP00000011612	ENSHGLG00000008330	Heterocephalus_glaber_HetGla_female_1.0
ENSSDAP00000022740	ENSSDAG00000020660	Spermophilus_dauricus
ENSLAFP00000008430	ENSLAFG00000010059	Loxodonta_africana
ENSSBOP00000025481	ENSSBOG00000029217	Saimiri_boliviensis_boliviensis
ENSAHAP00000005099	ENSAHAG00000003970	Apteryx_haastii	ENSAHAT00000005728
ENSMOCP00000003356	ENSMOCG00000002677	Microtus_ochrogaster
ENSCHIP00000032711	ENSCHIG00000026577	Capra_hircus
ENSMUGP00000007877	ENSMUGG00000007117	Meriones_unguiculatus
ENSMNEP00000010637	ENSMNEG00000029731	Macaca_nemestrina
ENSBTAP00000008367	ENSBTAG00000006378	Bos_taurus
ENSNLEP00000013466	ENSNLEG00000011075	Nomascus_leucogenys
ENSPMGP00000006766	ENSPMGG00000005633	Periophthalmus_magnuspinnatus
ENSLCRP00005041559	ENSLCRG00005015975	Larimichthys_crocea
MGP_SPRETEiJ_P0035674	MGP_SPRETEiJ_G0019290	Mus_spretus_strain_SPRET/EiJ
ENSNPEP00000013073	ENSNPEG00000009743	Nothoprocta_perdicaria	ENSNPET00000013393
ENSDNVP00000025577	ENSDNVG00000017780	Dromaius_novaehollandiae	ENSDNVT00000030938
ENSCGRP00000007228	ENSCGRG00000005254	Cricetulus_griseus_CriGri_1.0
ENSPSIP00000011918	ENSPSIG00000010708	Pelodiscus_sinensis
ENSTBEP00000005372	ENSTBEG00000006239	Tupaia_belangeri
ENSCPGP00000012521	ENSCPGG00000008866	Calidris_pygmaea
ENSLACP00000011259	ENSLACG00000009905	Latimeria_chalumnae
ENSPPYP00000018096	ENSPPYG00000016178	Pongo_abelii
