ENSCCEP00000024958	ENSCCEG00000022106	Cyanistes_caeruleus
ENSGAFP00000030413	ENSGAFG00000020491	Gambusia_affinis
ENSHBUP00000031063	ENSHBUG00000016521	Haplochromis_burtoni
ENSHHUP00000027265	ENSHHUG00000017172	Hucho_hucho
ENSHBUP00000032171	ENSHBUG00000018299	Haplochromis_burtoni
ENSAPOP00000009629	ENSAPOG00000011956	Acanthochromis_polyacanthus
ENSCHAP00000006154	ENSCHAG00000003852	Clupea_harengus	ENSCHAT00000006959
ENSCPGP00000026826	ENSCPGG00000018489	Calidris_pygmaea
ENSPMEP00000023151	ENSPMEG00000004546	Poecilia_mexicana
ENSKMAP00000015061	ENSKMAG00000011269	Kryptolebias_marmoratus
ENSJHYP00000019371	ENSJHYG00000014719	Junco_hyemalis
ENSLSDP00000020241	ENSLSDG00000014342	Lonchura_striata_domestica
ENSSLDP00000009196	ENSSLDG00000007285	Seriola_lalandi_dorsalis
ENSXMAP00000009336	ENSXMAG00000009313	Xiphophorus_maculatus
ENSELUP00000006734	ENSELUG00000007593	Esox_lucius
ENSCSEP00000031293	ENSCSEG00000020041	Cynoglossus_semilaevis
ENSIPUP00000012603	ENSIPUG00000008586	Ictalurus_punctatus	ENSIPUT00000013134
ENSOMEP00000015494	ENSOMEG00000017073	Oryzias_melastigma
ENSMALP00000010463	ENSMALG00000007435	Monopterus_albus
ENSCSAVP00000014780	ENSCSAVG00000008643	Ciona_savignyi
ENSSCAP00000000266	ENSSCAG00000000245	Serinus_canaria
ENSDARP00000142430	ENSDARG00000105343	Danio_rerio
ENSCVAP00000016624	ENSCVAG00000019602	Cyprinodon_variegatus
ENSGAFP00000024368	ENSGAFG00000016441	Gambusia_affinis
ENSACLP00000002297	ENSACLG00000001569	Astatotilapia_calliptera
ENSORLP00020016414	ENSORLG00020017447	Oryzias_latipes_ASM223471v1
ENSMALP00000010488	ENSMALG00000007464	Monopterus_albus
ENSXMAP00000009315	ENSXMAG00000009296	Xiphophorus_maculatus
ENSSFOP00015020176	ENSSFOG00015012977	Scleropages_formosus
ENSSPAP00000021226	ENSSPAG00000016000	Stegastes_partitus
ENSPNAP00000000856	ENSPNAG00000000453	Pygocentrus_nattereri
ENSPMGP00000021963	ENSPMGG00000017792	Periophthalmus_magnuspinnatus
ENSMAMP00000018260	ENSMAMG00000012324	Mastacembelus_armatus
ENSMZEP00005027463	ENSMZEG00005020471	Maylandia_zebra
ENSSPAP00000031004	ENSSPAG00000023249	Stegastes_partitus
