ENSAHAP00000025306	ENSAHAG00000017589	Apteryx_haastii
ENSARWP00000013253	ENSARWG00000009141	Apteryx_rowi
ENSAOWP00000014618	ENSAOWG00000009916	Apteryx_owenii
ENSDNVP00000015225	ENSDNVG00000010717	Dromaius_novaehollandiae
ENSNPEP00000010517	ENSNPEG00000007894	Nothoprocta_perdicaria
ENSTGUP00000001574	ENSTGUG00000001509	Taeniopygia_guttata
ENSLSDP00000020800	ENSLSDG00000014729	Lonchura_striata_domestica
ENSSCAP00000021079	ENSSCAG00000015184	Serinus_canaria
ENSSCAP00000021073	ENSSCAG00000015183	Serinus_canaria
ENSZALP00000014793	ENSZALG00000012240	Zonotrichia_albicollis
ENSJHYP00000006318	ENSJHYG00000005072	Junco_hyemalis
ENSFALP00000000997	ENSFALG00000000938	Ficedula_albicollis
ENSPMJP00000008443	ENSPMJG00000006857	Parus_major
ENSCCEP00000013191	ENSCCEG00000012691	Cyanistes_caeruleus
ENSLCOP00000000500	ENSLCOG00000000439	Lepidothrix_coronata
ENSMVIP00005019005	ENSMVIG00005013444	Manacus_vitellinus
ENSMUNP00000008965	ENSMUNG00000007073	Melopsittacus_undulatus
ENSCPGP00000013241	ENSCPGG00000009331	Calidris_pygmaea
ENSCPUP00000027698	ENSCPUG00000018646	Calidris_pugnax
ENSABRP00000025174	ENSABRG00000021121	Anser_brachyrhynchus
ENSAPLP00000025807	ENSAPLG00000016384	Anas_platyrhynchos_platyrhynchos
ENSGALP00000047451	ENSGALG00000001912	Gallus_gallus
ENSCJPP00005020392	ENSCJPG00005016367	Coturnix_japonica
ENSMGAP00000002910	ENSMGAG00000003097	Meleagris_gallopavo
ENSNMEP00000006113	ENSNMEG00000006216	Numida_meleagris
ENSCPRP00005003598	ENSCPRG00005002634	Crocodylus_porosus
ENSGAGP00000023605	ENSGAGG00000017301	Gopherus_agassizii
ENSCABP00000017571	ENSCABG00000013052	Chelonoidis_abingdonii
ENSCPBP00000025976	ENSCPBG00000018453	Chrysemys_picta_bellii
ENSPSIP00000007384	ENSPSIG00000006661	Pelodiscus_sinensis
ENSOANP00000015327	ENSOANG00000009652	Ornithorhynchus_anatinus
ENSCMIP00000046410	ENSCMIG00000019084	Callorhinchus_milii
ENSLACP00000011348	ENSLACG00000009983	Latimeria_chalumnae
ENSLACP00000007753	ENSLACG00000006867	Latimeria_chalumnae
ENSXETP00000054539	ENSXETG00000019946	Xenopus_tropicalis
ENSXETP00000054535	ENSXETG00000019944	Xenopus_tropicalis
ENSSPUP00000005084	ENSSPUG00000003925	Sphenodon_punctatus
ENSDCDP00000060464	ENSDCDG00000034716	Denticeps_clupeoides
ENSCHAP00000009461	ENSCHAG00000005305	Clupea_harengus
ENSAMXP00000043770	ENSAMXG00000002680	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005023454	ENSAMXG00005011910	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000014273	ENSPNAG00000020226	Pygocentrus_nattereri
ENSIPUP00000020440	ENSIPUG00000013857	Ictalurus_punctatus
ENSEEEP00000000074	ENSEEEG00000000044	Electrophorus_electricus
ENSCSEP00000016717	ENSCSEG00000010755	Cynoglossus_semilaevis
ENSCSEP00000016724	ENSCSEG00000010762	Cynoglossus_semilaevis
ENSAPEP00000031866	ENSAPEG00000022601	Amphiprion_percula
ENSCVAP00000004603	ENSCVAG00000005896	Cyprinodon_variegatus
ENSPREP00000015400	ENSPREG00000010398	Poecilia_reticulata
ENSPREP00000015409	ENSPREG00000010404	Poecilia_reticulata
ENSPLAP00000014704	ENSPLAG00000018462	Poecilia_latipinna
ENSGAFP00000025147	ENSGAFG00000016973	Gambusia_affinis
ENSFHEP00000033072	ENSFHEG00000019950	Fundulus_heteroclitus
ENSPNYP00000005094	ENSPNYG00000003957	Pundamilia_nyererei
ENSHCOP00000018798	ENSHCOG00000003630	Hippocampus_comes
ENSNBRP00000017314	ENSNBRG00000013384	Neolamprologus_brichardi
ENSMAMP00000005544	ENSMAMG00000003754	Mastacembelus_armatus
ENSSLDP00000004694	ENSSLDG00000003741	Seriola_lalandi_dorsalis
ENSPFOP00000003960	ENSPFOG00000003513	Poecilia_formosa
ENSPFOP00000030957	ENSPFOG00000023464	Poecilia_formosa
ENSPMEP00000006332	ENSPMEG00000007795	Poecilia_mexicana
ENSXMAP00000016840	ENSXMAG00000016808	Xiphophorus_maculatus
ENSKMAP00000014841	ENSKMAG00000011104	Kryptolebias_marmoratus
ENSORLP00000012526	ENSORLG00000009982	Oryzias_latipes_ASM223467v1
ENSORLP00015008143	ENSORLG00015008943	Oryzias_latipes_ASM223469v1
ENSORLP00020016159	ENSORLG00020017180	Oryzias_latipes_ASM223471v1
ENSOMEP00000025344	ENSOMEG00000006525	Oryzias_melastigma
ENSSDUP00000028678	ENSSDUG00000020675	Seriola_dumerili
ENSSLDP00000028342	ENSSLDG00000021902	Seriola_lalandi_dorsalis
ENSSMAP00000033547	ENSSMAG00000020524	Scophthalmus_maximus
ENSLCRP00005022445	ENSLCRG00005009065	Larimichthys_crocea
ENSACLP00000007894	ENSACLG00000005365	Astatotilapia_calliptera
ENSMZEP00005035260	ENSMZEG00005026355	Maylandia_zebra
ENSHBUP00000021683	ENSHBUG00000001492	Haplochromis_burtoni
ENSONIP00000017095	ENSONIG00000013593	Oreochromis_niloticus
ENSGACP00000003532	ENSGACG00000002696	Gasterosteus_aculeatus
ENSGWIP00000024094	ENSGWIG00000012167	Gouania_willdenowi
ENSMMOP00000017733	ENSMMOG00000013463	Mola_mola
ENSTNIP00000020887	ENSTNIG00000017736	Tetraodon_nigroviridis
ENSCGOP00000011200	ENSCGOG00000005598	Cottoperca_gobio
ENSACIP00000018589	ENSACIG00000014482	Amphilophus_citrinellus
ENSSPAP00000017042	ENSSPAG00000012696	Stegastes_partitus
ENSATEP00000009707	ENSATEG00000006784	Anabas_testudineus
ENSLCAP00010043516	ENSLCAG00010020254	Lates_calcarifer
ENSPRNP00000035011	ENSPRNG00000017529	Parambassis_ranga
ENSLBEP00000027510	ENSLBEG00000020835	Labrus_bergylta
ENSBSLP00000040026	ENSBSLG00000019409	Betta_splendens
ENSMALP00000016500	ENSMALG00000011570	Monopterus_albus
