ENSPCIP00000028611	ENSPCIG00000021388	Phascolarctos_cinereus
ENSVURP00010007611	ENSVURG00010005869	Vombatus_ursinus
ENSMEUP00000010737	ENSMEUG00000011795	Notamacropus_eugenii
ENSSHAP00000009370	ENSSHAG00000008106	Sarcophilus_harrisii
ENSSHAP00000012240	ENSSHAG00000010494	Sarcophilus_harrisii
ENSMODP00000051134	ENSMODG00000043387	Monodelphis_domestica
ENSPPAP00000018872	ENSPPAG00000032594	Pan_paniscus
ENSPTRP00000068164	ENSPTRG00000041020	Pan_troglodytes
ENSGGOP00000029554	ENSGGOG00000022560	Gorilla_gorilla
ENSPTRP00000085932	ENSPTRG00000044196	Pan_troglodytes
ENSP00000228136	ENSG00000110696	Homo_sapiens
ENSPPYP00000003971	ENSPPYG00000003458	Pongo_abelii
ENSNLEP00000045670	ENSNLEG00000029419	Nomascus_leucogenys
ENSCCAP00000002906	ENSCCAG00000016741	Cebus_capucinus_imitator
ENSANAP00000019312	ENSANAG00000027455	Aotus_nancymaae
ENSSBOP00000015336	ENSSBOG00000024393	Saimiri_boliviensis_boliviensis
ENSPPAP00000024382	ENSPPAG00000035335	Pan_paniscus
ENSTSYP00000028024	ENSTSYG00000006181	Carlito_syrichta
ENSMICP00000037265	ENSMICG00000009630	Microcebus_murinus
ENSOCUP00000046036	ENSOCUG00000036088	Oryctolagus_cuniculus
ENSOPRP00000000137	ENSOPRG00000000154	Ochotona_princeps
ENSOCUP00000008897	ENSOCUG00000024129	Oryctolagus_cuniculus
ENSOCUP00000019360	ENSOCUG00000026232	Oryctolagus_cuniculus
ENSTBEP00000002401	ENSTBEG00000002784	Tupaia_belangeri
ENSCCAP00000040160	ENSCCAG00000037894	Cebus_capucinus_imitator
ENSGGOP00000050267	ENSGGOG00000038069	Gorilla_gorilla
ENSUMAP00000032517	ENSUMAG00000023447	Ursus_maritimus
ENSUAMP00000000211	ENSUAMG00000000260	Ursus_americanus
ENSAMEP00000002992	ENSAMEG00000002845	Ailuropoda_melanoleuca
