ENSPMAP00000006196	ENSPMAG00000005623	Petromyzon_marinus
ENSEBUP00000022790	ENSEBUG00000014041	Eptatretus_burgeri
ENSPVIP00000032795	ENSPVIG00000024022	Pogona_vitticeps
ENSACAP00000013111	ENSACAG00000013356	Anolis_carolinensis
ENSNSUP00000020548	ENSNSUG00000014958	Notechis_scutatus	ENSNSUT00000021862
ENSSMRP00000014133	ENSSMRG00000011003	Salvator_merianae
ENSSPUP00000016897	ENSSPUG00000013070	Sphenodon_punctatus
ENSTGUP00000011964	ENSTGUG00000011612	Taeniopygia_guttata
ENSLSDP00000014459	ENSLSDG00000010447	Lonchura_striata_domestica
ENSSCAP00000002721	ENSSCAG00000002369	Serinus_canaria
ENSZALP00000010534	ENSZALG00000008919	Zonotrichia_albicollis
ENSJHYP00000022690	ENSJHYG00000017115	Junco_hyemalis
ENSPMJP00000006301	ENSPMJG00000005322	Parus_major
ENSCCEP00000009758	ENSCCEG00000009877	Cyanistes_caeruleus
ENSFALP00000015573	ENSFALG00000014958	Ficedula_albicollis
ENSMVIP00005022582	ENSMVIG00005015835	Manacus_vitellinus
ENSLCOP00000005794	ENSLCOG00000004298	Lepidothrix_coronata
ENSMUNP00000007790	ENSMUNG00000006228	Melopsittacus_undulatus
ENSCPGP00000010874	ENSCPGG00000007735	Calidris_pygmaea
ENSCPUP00000024447	ENSCPUG00000016580	Calidris_pugnax
ENSGALP00000056867	ENSGALG00000035752	Gallus_gallus
ENSCJPP00005014052	ENSCJPG00005011780	Coturnix_japonica
ENSMGAP00000016789	ENSMGAG00000015848	Meleagris_gallopavo
ENSNMEP00000020411	ENSNMEG00000017507	Numida_meleagris
ENSAPLP00000001369	ENSAPLG00000001946	Anas_platyrhynchos_platyrhynchos
ENSARWP00000022900	ENSARWG00000015617	Apteryx_rowi
ENSAHAP00000019575	ENSAHAG00000013841	Apteryx_haastii
ENSDNVP00000012710	ENSDNVG00000008980	Dromaius_novaehollandiae
ENSNPEP00000007486	ENSNPEG00000005604	Nothoprocta_perdicaria
ENSCPRP00005026556	ENSCPRG00005018432	Crocodylus_porosus
ENSGAGP00000023253	ENSGAGG00000017054	Gopherus_agassizii
ENSCABP00000009190	ENSCABG00000006910	Chelonoidis_abingdonii
ENSCPBP00000009232	ENSCPBG00000007147	Chrysemys_picta_bellii
ENSPSIP00000000016	ENSPSIG00000000016	Pelodiscus_sinensis
ENSVURP00010028080	ENSVURG00010021500	Vombatus_ursinus
ENSVURP00010022290	ENSVURG00010017068	Vombatus_ursinus
ENSPCIP00000036458	ENSPCIG00000026897	Phascolarctos_cinereus
ENSMEUP00000008016	ENSMEUG00000008788	Notamacropus_eugenii
ENSSHAP00000015536	ENSSHAG00000013239	Sarcophilus_harrisii
ENSMODP00000036502	ENSMODG00000024987	Monodelphis_domestica
ENSCCNP00000030189	ENSCCNG00000028916	Castor_canadensis
ENSDORP00000015404	ENSDORG00000016372	Dipodomys_ordii
MGP_SPRETEiJ_P0059103	MGP_SPRETEiJ_G0025755	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000018126	ENSMSIG00000015460	Mus_spicilegus
ENSMUSP00000129311	ENSMUSG00000040374	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0056861	MGP_CAROLIEiJ_G0024826	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0067881	MGP_PahariEiJ_G0026274	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000011579	ENSRNOG00000008748	Rattus_norvegicus
ENSMUGP00000001161	ENSMUGG00000001055	Meriones_unguiculatus
ENSCGRP00015024706	ENSCGRG00015018768	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001014339	ENSCGRG00001015243	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000014543	ENSCGRG00000010524	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000016483	ENSMAUG00000015605	Mesocricetus_auratus
ENSMOCP00000024549	ENSMOCG00000020937	Microtus_ochrogaster
ENSPEMP00000018298	ENSPEMG00000016945	Peromyscus_maniculatus_bairdii
ENSNGAP00000020264	ENSNGAG00000019822	Nannospalax_galili
ENSJJAP00000003336	ENSJJAG00000006470	Jaculus_jaculus
ENSSDAP00000007999	ENSSDAG00000007310	Spermophilus_dauricus
ENSSDAP00000008012	ENSSDAG00000007316	Spermophilus_dauricus
ENSSDAP00000011932	ENSSDAG00000010764	Spermophilus_dauricus
ENSSTOP00000023910	ENSSTOG00000025900	Ictidomys_tridecemlineatus
ENSUPAP00010021067	ENSUPAG00010016725	Urocitellus_parryii
ENSMMMP00000006276	ENSMMMG00000005624	Marmota_marmota_marmota
ENSHGLP00000009027	ENSHGLG00000006488	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100014962	ENSHGLG00100011081	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100025460	ENSHGLG00100018675	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000015712	ENSHGLG00000011241	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100013483	ENSHGLG00100009971	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000007646	ENSHGLG00000005546	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000017002	ENSFDAG00000005649	Fukomys_damarensis
ENSODEP00000001543	ENSODEG00000001213	Octodon_degus
ENSCLAP00000015671	ENSCLAG00000010766	Chinchilla_lanigera
ENSCPOP00000022653	ENSCPOG00000034224	Cavia_porcellus
ENSCAPP00000013113	ENSCAPG00000013811	Cavia_aperea
ENSOCUP00000015134	ENSOCUG00000017625	Oryctolagus_cuniculus
ENSOPRP00000014317	ENSOPRG00000015689	Ochotona_princeps
ENSTBEP00000007767	ENSTBEG00000008969	Tupaia_belangeri
ENSPSMP00000017094	ENSPSMG00000012202	Prolemur_simus
ENSOGAP00000018708	ENSOGAG00000032204	Otolemur_garnettii
ENSRROP00000003985	ENSRROG00000016035	Rhinopithecus_roxellana
ENSRBIP00000003552	ENSRBIG00000017006	Rhinopithecus_bieti
ENSCANP00000004711	ENSCANG00000016259	Colobus_angolensis_palliatus
ENSPTEP00000013416	ENSPTEG00000015032	Piliocolobus_tephrosceles
ENSMFAP00000031671	ENSMFAG00000036908	Macaca_fascicularis
ENSMNEP00000011947	ENSMNEG00000030301	Macaca_nemestrina
ENSMMUP00000064901	ENSMMUG00000044796	Macaca_mulatta
ENSMLEP00000002393	ENSMLEG00000009687	Mandrillus_leucophaeus
ENSPANP00000005953	ENSPANG00000013757	Papio_anubis
ENSTGEP00000029613	ENSTGEG00000023812	Theropithecus_gelada
ENSCSAP00000009611	ENSCSAG00000013453	Chlorocebus_sabaeus
ENSCATP00000010017	ENSCATG00000029304	Cercocebus_atys
ENSPPAP00000019956	ENSPPAG00000033195	Pan_paniscus
ENSPTRP00000040762	ENSPTRG00000020359	Pan_troglodytes
ENSP00000349543	ENSG00000164751	Homo_sapiens
ENSGGOP00000043450	ENSGGOG00000038623	Gorilla_gorilla
ENSPPYP00000020963	ENSPPYG00000018688	Pongo_abelii
ENSNLEP00000002410	ENSNLEG00000002007	Nomascus_leucogenys
ENSCJAP00000000871	ENSCJAG00000000512	Callithrix_jacchus
ENSANAP00000026804	ENSANAG00000031161	Aotus_nancymaae
ENSMLUP00000018931	ENSMLUG00000017006	Myotis_lucifugus
ENSSARP00000001011	ENSSARG00000001115	Sorex_araneus
ENSPVAP00000003984	ENSPVAG00000004208	Pteropus_vampyrus
ENSCHIP00000008520	ENSCHIG00000011681	Capra_hircus
ENSOARP00000015642	ENSOARG00000014583	Ovis_aries
ENSBIXP00005036429	ENSBIXG00005017958	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000035293	ENSBIXG00000018540	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000005062	ENSBTAG00000003885	Bos_taurus
ENSBMUP00000014919	ENSBMUG00000011354	Bos_mutus
ENSBBBP00000005134	ENSBBBG00000003023	Bison_bison_bison
ENSTTRP00000002471	ENSTTRG00000002646	Tursiops_truncatus
ENSSSCP00000061023	ENSSSCG00000006168	Sus_scrofa_strain_reference
ENSVPAP00000003302	ENSVPAG00000003562	Vicugna_pacos
ENSECAP00000019750	ENSECAG00000022350	Equus_caballus
ENSEASP00005030191	ENSEASG00005020554	Equus_asinus_asinus
ENSUMAP00000020313	ENSUMAG00000014861	Ursus_maritimus
ENSAMEP00000020180	ENSAMEG00000019103	Ailuropoda_melanoleuca
ENSMPUP00000018244	ENSMPUG00000018362	Mustela_putorius_furo
ENSNVIP00000019025	ENSNVIG00000014914	Neovison_vison
ENSMPUP00000005004	ENSMPUG00000005043	Mustela_putorius_furo
ENSVVUP00000021935	ENSVVUG00000016117	Vulpes_vulpes
ENSPTIP00000005665	ENSPTIG00000007824	Panthera_tigris_altaica
ENSPPRP00000028246	ENSPPRG00000020280	Panthera_pardus
ENSFCAP00000044694	ENSFCAG00000045396	Felis_catus
ENSCHOP00000008065	ENSCHOG00000009125	Choloepus_hoffmanni
ENSCHOP00000000337	ENSCHOG00000000382	Choloepus_hoffmanni
ENSDNOP00000022413	ENSDNOG00000048939	Dasypus_novemcinctus
ENSLAFP00000002801	ENSLAFG00000003366	Loxodonta_africana
ENSETEP00000004410	ENSETEG00000005423	Echinops_telfairi
ENSXETP00000011229	ENSXETG00000016160	Xenopus_tropicalis
ENSOANP00000031579	ENSOANG00000029471	Ornithorhynchus_anatinus
ENSLACP00000022182	ENSLACG00000022294	Latimeria_chalumnae
ENSSFOP00015018071	ENSSFOG00015011623	Scleropages_formosus
ENSPKIP00000021888	ENSPKIG00000006113	Paramormyrops_kingsleyae
ENSDCDP00000063709	ENSDCDG00000035844	Denticeps_clupeoides
ENSCHAP00000018138	ENSCHAG00000009460	Clupea_harengus
ENSAMXP00000053103	ENSAMXG00000040579	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005018502	ENSAMXG00005009638	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000033506	ENSPNAG00000022101	Pygocentrus_nattereri
ENSEEEP00000018498	ENSEEEG00000009086	Electrophorus_electricus
ENSIPUP00000021838	ENSIPUG00000014809	Ictalurus_punctatus
ENSDARP00000123161	ENSDARG00000062421	Danio_rerio
ENSHHUP00000007797	ENSHHUG00000004808	Hucho_hucho
ENSELUP00000008943	ENSELUG00000009530	Esox_lucius
ENSTNIP00000010948	ENSTNIG00000008123	Tetraodon_nigroviridis
ENSTRUP00000000430	ENSTRUG00000000192	Takifugu_rubripes
ENSGACP00000003159	ENSGACG00000002421	Gasterosteus_aculeatus
ENSBSLP00000025838	ENSBSLG00000012887	Betta_splendens
ENSCSEP00000012967	ENSCSEG00000008376	Cynoglossus_semilaevis
ENSLBEP00000028713	ENSLBEG00000021753	Labrus_bergylta
ENSMMOP00000006115	ENSMMOG00000004794	Mola_mola
ENSLCRP00005047271	ENSLCRG00005017921	Larimichthys_crocea
ENSCGOP00000051832	ENSCGOG00000022908	Cottoperca_gobio
ENSSLDP00000013637	ENSSLDG00000010878	Seriola_lalandi_dorsalis
ENSSDUP00000005661	ENSSDUG00000004181	Seriola_dumerili
ENSLCAP00010054087	ENSLCAG00010025187	Lates_calcarifer
ENSSMAP00000031118	ENSSMAG00000019076	Scophthalmus_maximus
ENSMAMP00000032941	ENSMAMG00000022174	Mastacembelus_armatus
ENSMALP00000009793	ENSMALG00000006973	Monopterus_albus
ENSATEP00000023054	ENSATEG00000015987	Anabas_testudineus
ENSAPEP00000034070	ENSAPEG00000024201	Amphiprion_percula
ENSAOCP00000006809	ENSAOCG00000010513	Amphiprion_ocellaris
ENSAPOP00000031235	ENSAPOG00000018294	Acanthochromis_polyacanthus
ENSSPAP00000004472	ENSSPAG00000003476	Stegastes_partitus
ENSPRNP00000042304	ENSPRNG00000020683	Parambassis_ranga
ENSPNYP00000029453	ENSPNYG00000022187	Pundamilia_nyererei
ENSHBUP00000035238	ENSHBUG00000023277	Haplochromis_burtoni
ENSMZEP00005029405	ENSMZEG00005021938	Maylandia_zebra
ENSACLP00000030987	ENSACLG00000021002	Astatotilapia_calliptera
ENSNBRP00000005685	ENSNBRG00000004496	Neolamprologus_brichardi
ENSONIP00000018232	ENSONIG00000014494	Oreochromis_niloticus
ENSACIP00000003507	ENSACIG00000002786	Amphilophus_citrinellus
ENSGWIP00000037689	ENSGWIG00000019364	Gouania_willdenowi
ENSPFOP00000020168	ENSPFOG00000020042	Poecilia_formosa
ENSPMEP00000033748	ENSPMEG00000022467	Poecilia_mexicana
ENSPLAP00000011902	ENSPLAG00000015106	Poecilia_latipinna
ENSPREP00000023986	ENSPREG00000016207	Poecilia_reticulata
ENSGAFP00000014411	ENSGAFG00000009748	Gambusia_affinis
ENSXMAP00000027172	ENSXMAG00000023566	Xiphophorus_maculatus
ENSXCOP00000008421	ENSXCOG00000006458	Xiphophorus_couchianus
ENSCVAP00000021624	ENSCVAG00000003788	Cyprinodon_variegatus
ENSFHEP00000023095	ENSFHEG00000003877	Fundulus_heteroclitus
ENSKMAP00000021914	ENSKMAG00000016289	Kryptolebias_marmoratus
ENSORLP00000035501	ENSORLG00000030021	Oryzias_latipes_ASM223467v1
ENSORLP00020022790	ENSORLG00020000689	Oryzias_latipes_ASM223471v1
ENSORLP00015019275	ENSORLG00015020335	Oryzias_latipes_ASM223469v1
ENSOMEP00000012901	ENSOMEG00000014328	Oryzias_melastigma
ENSHCOP00000010388	ENSHCOG00000012984	Hippocampus_comes
ENSPMGP00000008600	ENSPMGG00000007120	Periophthalmus_magnuspinnatus
ENSGMOP00000002086	ENSGMOG00000001959	Gadus_morhua
ENSLOCP00000016614	ENSLOCG00000013475	Lepisosteus_oculatus
ENSECRP00000007565	ENSECRG00000005038	Erpetoichthys_calabaricus
ENSCMIP00000004473	ENSCMIG00000002669	Callorhinchus_milii
ENSCSAVP00000016171	ENSCSAVG00000009508	Ciona_savignyi
FBpp0076329	FBgn0035876	Drosophila_melanogaster
ZK809.7.1	WBGene00004192	Caenorhabditis_elegans_strain_N2
