ENSSFOP00015015423	ENSSFOG00015009964	Scleropages_formosus	ENSSFOT00015015605
ENSPKIP00000026269	ENSPKIG00000008818	Paramormyrops_kingsleyae	ENSPKIT00000007022
ENSHHUP00000072543	ENSHHUG00000042591	Hucho_hucho
ENSELUP00000006514	ENSELUG00000007390	Esox_lucius
ENSFHEP00000005096	ENSFHEG00000006037	Fundulus_heteroclitus
ENSCVAP00000001615	ENSCVAG00000002609	Cyprinodon_variegatus
ENSXMAP00000020895	ENSXMAG00000024391	Xiphophorus_maculatus
ENSXCOP00000025103	ENSXCOG00000018743	Xiphophorus_couchianus
ENSGAFP00000016386	ENSGAFG00000011064	Gambusia_affinis
ENSPFOP00000020658	ENSPFOG00000020532	Poecilia_formosa
ENSPMEP00000021871	ENSPMEG00000002385	Poecilia_mexicana
ENSPLAP00000018168	ENSPLAG00000022754	Poecilia_latipinna
ENSPREP00000020370	ENSPREG00000013785	Poecilia_reticulata
ENSKMAP00000018015	ENSKMAG00000013422	Kryptolebias_marmoratus
ENSACLP00000035609	ENSACLG00000024120	Astatotilapia_calliptera
ENSMZEP00005015541	ENSMZEG00005011668	Maylandia_zebra
ENSHBUP00000012582	ENSHBUG00000014300	Haplochromis_burtoni
ENSPNYP00000016718	ENSPNYG00000012668	Pundamilia_nyererei
ENSONIP00000026194	ENSONIG00000020891	Oreochromis_niloticus
ENSACIP00000017966	ENSACIG00000014016	Amphilophus_citrinellus
ENSAPEP00000013988	ENSAPEG00000009989	Amphiprion_percula
ENSAOCP00000021469	ENSAOCG00000000298	Amphiprion_ocellaris
ENSAPOP00000030840	ENSAPOG00000017694	Acanthochromis_polyacanthus
ENSSPAP00000014232	ENSSPAG00000010759	Stegastes_partitus
ENSSLDP00000002816	ENSSLDG00000002249	Seriola_lalandi_dorsalis
ENSORLP00015013477	ENSORLG00015014362	Oryzias_latipes_ASM223469v1
ENSORLP00020007199	ENSORLG00020008072	Oryzias_latipes_ASM223471v1
ENSORLP00000019225	ENSORLG00000015354	Oryzias_latipes_ASM223467v1
ENSOMEP00000036326	ENSOMEG00000023822	Oryzias_melastigma
ENSTNIP00000007346	ENSTNIG00000004693	Tetraodon_nigroviridis
ENSTRUP00000024749	ENSTRUG00000009854	Takifugu_rubripes
ENSLCRP00005038790	ENSLCRG00005015029	Larimichthys_crocea
ENSPMGP00000015184	ENSPMGG00000012441	Periophthalmus_magnuspinnatus
ENSNBRP00000000236	ENSNBRG00000000218	Neolamprologus_brichardi
ENSNBRP00000018755	ENSNBRG00000014454	Neolamprologus_brichardi
ENSPRNP00000009143	ENSPRNG00000005373	Parambassis_ranga
ENSHCOP00000007563	ENSHCOG00000009627	Hippocampus_comes
ENSLCAP00010047735	ENSLCAG00010022178	Lates_calcarifer
ENSSDUP00000012086	ENSSDUG00000008792	Seriola_dumerili
ENSMAMP00000000820	ENSMAMG00000000588	Mastacembelus_armatus
ENSMALP00000015335	ENSMALG00000010767	Monopterus_albus
ENSLBEP00000031237	ENSLBEG00000023590	Labrus_bergylta
ENSLBEP00000022229	ENSLBEG00000017082	Labrus_bergylta
ENSGACP00000027545	ENSGACG00000020834	Gasterosteus_aculeatus
ENSATEP00000033331	ENSATEG00000022978	Anabas_testudineus
ENSCSEP00000016345	ENSCSEG00000010506	Cynoglossus_semilaevis
ENSSMAP00000023791	ENSSMAG00000014506	Scophthalmus_maximus
ENSMMOP00000019260	ENSMMOG00000014576	Mola_mola
ENSBSLP00000035635	ENSBSLG00000017430	Betta_splendens
ENSGWIP00000047682	ENSGWIG00000023450	Gouania_willdenowi
ENSAMXP00000025877	ENSAMXG00000025171	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005025741	ENSAMXG00005013030	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000029455	ENSPNAG00000015538	Pygocentrus_nattereri
ENSIPUP00000010866	ENSIPUG00000007394	Ictalurus_punctatus
ENSEEEP00000038195	ENSEEEG00000018159	Electrophorus_electricus
ENSDARP00000065182	ENSDARG00000044387	Danio_rerio
ENSCHAP00000008419	ENSCHAG00000005101	Clupea_harengus
ENSDCDP00000057154	ENSDCDG00000033442	Denticeps_clupeoides
ENSLOCP00000021591	ENSLOCG00000017486	Lepisosteus_oculatus
ENSECRP00000017584	ENSECRG00000011734	Erpetoichthys_calabaricus
ENSPVIP00000020992	ENSPVIG00000015965	Pogona_vitticeps
ENSACAP00000013863	ENSACAG00000014144	Anolis_carolinensis
ENSSMRP00000004157	ENSSMRG00000003466	Salvator_merianae
ENSNSUP00000025406	ENSNSUG00000018292	Notechis_scutatus
