ENSPCIP00000046043	ENSPCIG00000020850	Phascolarctos_cinereus	ENSPCIT00000067401
ENSVURP00010011599	ENSVURG00010008965	Vombatus_ursinus	ENSVURT00010013165
ENSMEUP00000013530	ENSMEUG00000014828	Notamacropus_eugenii	ENSMEUT00000014869
ENSSHAP00000003835	ENSSHAG00000003378	Sarcophilus_harrisii	ENSSHAT00000003874
ENSBIXP00000034135	ENSBIXG00000002776	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005016161	ENSBIXG00005019906	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000041334	ENSBTAG00000030939	Bos_taurus
ENSBMUP00000024855	ENSBMUG00000018680	Bos_mutus
ENSBBBP00000022598	ENSBBBG00000016589	Bison_bison_bison
ENSCHIP00000005951	ENSCHIG00000009921	Capra_hircus
ENSTTRP00000013997	ENSTTRG00000014765	Tursiops_truncatus
ENSSSCP00000003308	ENSSSCG00000003054	Sus_scrofa_strain_reference
ENSECAP00000032698	ENSECAG00000028052	Equus_caballus
ENSEASP00005019276	ENSEASG00005013252	Equus_asinus_asinus
ENSAMEP00000004592	ENSAMEG00000004360	Ailuropoda_melanoleuca	ENSAMET00000004778
ENSUMAP00000031805	ENSUMAG00000022942	Ursus_maritimus	ENSUMAT00000037595
ENSCAFP00000007080	ENSCAFG00000004751	Canis_lupus_familiaris
ENSCAFP00020017484	ENSCAFG00020013996	Canis_lupus_dingo
ENSVVUP00000011943	ENSVVUG00000008814	Vulpes_vulpes
ENSMPUP00000006799	ENSMPUG00000006853	Mustela_putorius_furo
ENSNVIP00000032044	ENSNVIG00000024660	Neovison_vison
ENSPPRP00000018162	ENSPPRG00000009911	Panthera_pardus
ENSPTIP00000000261	ENSPTIG00000000663	Panthera_tigris_altaica
ENSFCAP00000004840	ENSFCAG00000005221	Felis_catus
ENSUAMP00000013088	ENSUAMG00000010553	Ursus_americanus
ENSMLUP00000019772	ENSMLUG00000028273	Myotis_lucifugus
ENSPVAP00000015928	ENSPVAG00000016888	Pteropus_vampyrus
