ENSPMAP00000007023	ENSPMAG00000006376	Petromyzon_marinus	ENSPMAT00000007054
ENSEBUP00000023847	ENSEBUG00000014687	Eptatretus_burgeri	ENSEBUT00000024424
ENSTNIP00000005341	ENSTNIG00000002780	Tetraodon_nigroviridis
ENSTRUP00000037242	ENSTRUG00000014570	Takifugu_rubripes
ENSGACP00000010751	ENSGACG00000008086	Gasterosteus_aculeatus
ENSGWIP00000022393	ENSGWIG00000011431	Gouania_willdenowi
ENSHCOP00000007173	ENSHCOG00000009285	Hippocampus_comes
ENSPMGP00000002685	ENSPMGG00000002334	Periophthalmus_magnuspinnatus
ENSMAMP00000020856	ENSMAMG00000014006	Mastacembelus_armatus
ENSSMAP00000001158	ENSSMAG00000000716	Scophthalmus_maximus
ENSBSLP00000005726	ENSBSLG00000002845	Betta_splendens
ENSPFOP00000014576	ENSPFOG00000014513	Poecilia_formosa
ENSPMEP00000018983	ENSPMEG00000022001	Poecilia_mexicana
ENSPREP00000001744	ENSPREG00000001303	Poecilia_reticulata
ENSXMAP00000036180	ENSXMAG00000022404	Xiphophorus_maculatus
ENSXCOP00000004608	ENSXCOG00000003635	Xiphophorus_couchianus
ENSGAFP00000006004	ENSGAFG00000004065	Gambusia_affinis
ENSFHEP00000015065	ENSFHEG00000000423	Fundulus_heteroclitus
ENSCVAP00000020687	ENSCVAG00000002212	Cyprinodon_variegatus
ENSKMAP00000006633	ENSKMAG00000004978	Kryptolebias_marmoratus
ENSORLP00020023266	ENSORLG00020003999	Oryzias_latipes_ASM223471v1
ENSORLP00015033539	ENSORLG00015019024	Oryzias_latipes_ASM223469v1
ENSORLP00000000984	ENSORLG00000000804	Oryzias_latipes_ASM223467v1
ENSOMEP00000018775	ENSOMEG00000020520	Oryzias_melastigma
ENSMZEP00005032489	ENSMZEG00005024201	Maylandia_zebra
ENSMZEP00005001498	ENSMZEG00005001210	Maylandia_zebra
ENSPLAP00000001364	ENSPLAG00000002397	Poecilia_latipinna
ENSLBEP00000008013	ENSLBEG00000006212	Labrus_bergylta
ENSACLP00000034814	ENSACLG00000023549	Astatotilapia_calliptera
ENSACLP00000035460	ENSACLG00000023999	Astatotilapia_calliptera
ENSMZEP00005000716	ENSMZEG00005000593	Maylandia_zebra
