ENSDORP00000025020	ENSDORG00000025212	Dipodomys_ordii
ENSCCNP00000016226	ENSCCNG00000016545	Castor_canadensis
ENSHGLP00100014371	ENSHGLG00100010627	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000023949	ENSHGLG00000017072	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100027669	ENSHGLG00100020795	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000028206	ENSHGLG00000020403	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000002439	ENSHGLG00000001845	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100008223	ENSHGLG00100006113	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100028040	ENSHGLG00100021256	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000005646	ENSHGLG00000004126	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100012292	ENSHGLG00100009110	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000028578	ENSHGLG00000020889	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100027205	ENSHGLG00100020242	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000009530	ENSFDAG00000017518	Fukomys_damarensis
ENSCLAP00000018556	ENSCLAG00000012730	Chinchilla_lanigera
ENSCLAP00000015689	ENSCLAG00000010780	Chinchilla_lanigera
ENSODEP00000026793	ENSODEG00000020274	Octodon_degus
ENSODEP00000023004	ENSODEG00000016869	Octodon_degus
ENSCPOP00000030136	ENSCPOG00000032603	Cavia_porcellus
ENSCGRP00015037435	ENSCGRG00015028040	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001017603	ENSCGRG00001017602	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000010372	ENSCGRG00000007607	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000024955	ENSMAUG00000021654	Mesocricetus_auratus
ENSMOCP00000013207	ENSMOCG00000013077	Microtus_ochrogaster
ENSPEMP00000022719	ENSPEMG00000020001	Peromyscus_maniculatus_bairdii
ENSMSIP00000023923	ENSMSIG00000020257	Mus_spicilegus
ENSMUSP00000112044	ENSMUSG00000045973	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0062205	MGP_CAROLIEiJ_G0025973	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0077346	MGP_PahariEiJ_G0028309	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000056892	ENSRNOG00000039278	Rattus_norvegicus
ENSRNOP00000065025	ENSRNOG00000050061	Rattus_norvegicus
ENSMUGP00000029229	ENSMUGG00000024238	Meriones_unguiculatus
ENSMUGP00000029214	ENSMUGG00000024227	Meriones_unguiculatus
ENSNGAP00000006483	ENSNGAG00000009671	Nannospalax_galili
ENSOPRP00000005425	ENSOPRG00000005919	Ochotona_princeps
ENSOCUP00000003320	ENSOCUG00000003830	Oryctolagus_cuniculus
ENSTBEP00000014809	ENSTBEG00000017048	Tupaia_belangeri
ENSMICP00000023988	ENSMICG00000032970	Microcebus_murinus
ENSMFAP00000016241	ENSMFAG00000031297	Macaca_fascicularis
ENSMNEP00000001395	ENSMNEG00000006166	Macaca_nemestrina
ENSRROP00000041063	ENSRROG00000043735	Rhinopithecus_roxellana
ENSCANP00000007478	ENSCANG00000024519	Colobus_angolensis_palliatus
ENSCATP00000035541	ENSCATG00000040628	Cercocebus_atys
ENSNLEP00000033274	ENSNLEG00000031911	Nomascus_leucogenys
ENSGGOP00000046659	ENSGGOG00000042265	Gorilla_gorilla
ENSPPAP00000011847	ENSPPAG00000029118	Pan_paniscus
ENSPANP00000033801	ENSPANG00000030731	Papio_anubis
ENSCATP00000004706	ENSCATG00000016166	Cercocebus_atys
ENSMNEP00000014112	ENSMNEG00000031237	Macaca_nemestrina
ENSMLEP00000017465	ENSMLEG00000032935	Mandrillus_leucophaeus
ENSRBIP00000007736	ENSRBIG00000027784	Rhinopithecus_bieti
ENSPPAP00000028583	ENSPPAG00000037323	Pan_paniscus
ENSPTRP00000068900	ENSPTRG00000048644	Pan_troglodytes
ENSGGOP00000033463	ENSGGOG00000040617	Gorilla_gorilla
ENSPTRP00000035839	ENSPTRG00000020954	Pan_troglodytes
ENSP00000366945	ENSG00000122696	Homo_sapiens
ENSPPYP00000021354	ENSPPYG00000019053	Pongo_abelii
ENSNLEP00000049062	ENSNLEG00000031078	Nomascus_leucogenys
ENSCANP00000029133	ENSCANG00000038123	Colobus_angolensis_palliatus
ENSPTEP00000024322	ENSPTEG00000024830	Piliocolobus_tephrosceles
ENSRROP00000005269	ENSRROG00000021760	Rhinopithecus_roxellana
ENSMMUP00000075226	ENSMMUG00000052842	Macaca_mulatta
ENSMFAP00000011992	ENSMFAG00000020470	Macaca_fascicularis
ENSMNEP00000001570	ENSMNEG00000007076	Macaca_nemestrina
ENSMLEP00000001141	ENSMLEG00000004500	Mandrillus_leucophaeus
ENSCATP00000006481	ENSCATG00000020233	Cercocebus_atys
ENSCSAP00000017546	ENSCSAG00000000457	Chlorocebus_sabaeus
ENSTGEP00000004347	ENSTGEG00000003653	Theropithecus_gelada
ENSPPAP00000025264	ENSPPAG00000035767	Pan_paniscus
ENSP00000500333	ENSG00000141437	Homo_sapiens
ENSGGOP00000040992	ENSGGOG00000017008	Gorilla_gorilla
ENSPPYP00000010208	ENSPPYG00000009092	Pongo_abelii
ENSNLEP00000026104	ENSNLEG00000033993	Nomascus_leucogenys
ENSPTEP00000027437	ENSPTEG00000027291	Piliocolobus_tephrosceles
ENSRBIP00000001424	ENSRBIG00000007307	Rhinopithecus_bieti
ENSTGEP00000023896	ENSTGEG00000019321	Theropithecus_gelada
ENSMMUP00000065434	ENSMMUG00000008669	Macaca_mulatta
ENSCSAP00000018104	ENSCSAG00000018571	Chlorocebus_sabaeus
ENSPTRP00000069944	ENSPTRG00000050361	Pan_troglodytes
ENSGGOP00000029678	ENSGGOG00000025669	Gorilla_gorilla
ENSRROP00000012061	ENSRROG00000030356	Rhinopithecus_roxellana
ENSMNEP00000024005	ENSMNEG00000035570	Macaca_nemestrina
ENSSBOP00000002901	ENSSBOG00000014734	Saimiri_boliviensis_boliviensis
ENSCCAP00000004945	ENSCCAG00000020102	Cebus_capucinus_imitator
ENSCJAP00000019619	ENSCJAG00000010651	Callithrix_jacchus
ENSANAP00000033679	ENSANAG00000034499	Aotus_nancymaae
