ENSAOWP00000008270	ENSAOWG00000005675	Apteryx_owenii
ENSAHAP00000001554	ENSAHAG00000001323	Apteryx_haastii
ENSARWP00000027062	ENSARWG00000018293	Apteryx_rowi
ENSDNVP00000020447	ENSDNVG00000014311	Dromaius_novaehollandiae
ENSNPEP00000001341	ENSNPEG00000001047	Nothoprocta_perdicaria
ENSCJPP00005021097	ENSCJPG00005016900	Coturnix_japonica
ENSMGAP00000015491	ENSMGAG00000014623	Meleagris_gallopavo
ENSGALP00000026172	ENSGALG00000016261	Gallus_gallus
ENSNMEP00000021455	ENSNMEG00000018348	Numida_meleagris
ENSABRP00000010501	ENSABRG00000009463	Anser_brachyrhynchus
ENSAPLP00000008673	ENSAPLG00000008961	Anas_platyrhynchos_platyrhynchos
ENSLCOP00000004811	ENSLCOG00000003639	Lepidothrix_coronata
ENSMVIP00005019199	ENSMVIG00005013620	Manacus_vitellinus
ENSTGUP00000014678	ENSTGUG00000014288	Taeniopygia_guttata
ENSTGUP00000007030	ENSTGUG00000006788	Taeniopygia_guttata
ENSLSDP00000009185	ENSLSDG00000006830	Lonchura_striata_domestica
ENSSCAP00000015829	ENSSCAG00000011590	Serinus_canaria
ENSJHYP00000016206	ENSJHYG00000012413	Junco_hyemalis
ENSZALP00000023528	ENSZALG00000018198	Zonotrichia_albicollis
ENSFALP00000001661	ENSFALG00000001596	Ficedula_albicollis
ENSCCEP00000013269	ENSCCEG00000012788	Cyanistes_caeruleus
ENSPMJP00000014656	ENSPMJG00000011120	Parus_major
ENSCPGP00000022672	ENSCPGG00000015751	Calidris_pygmaea
ENSCPUP00000027600	ENSCPUG00000018591	Calidris_pugnax
ENSMUNP00000012280	ENSMUNG00000009661	Melopsittacus_undulatus
ENSCPRP00005004004	ENSCPRG00005002940	Crocodylus_porosus
ENSCABP00000009007	ENSCABG00000006773	Chelonoidis_abingdonii
ENSCABP00000009009	ENSCABG00000006775	Chelonoidis_abingdonii
ENSCPBP00000035463	ENSCPBG00000024700	Chrysemys_picta_bellii
ENSPSIP00000008373	ENSPSIG00000007475	Pelodiscus_sinensis
ENSACAP00000014601	ENSACAG00000014880	Anolis_carolinensis
ENSPVIP00000001827	ENSPVIG00000000525	Pogona_vitticeps
ENSPVIP00000015248	ENSPVIG00000011754	Pogona_vitticeps
ENSNSUP00000011454	ENSNSUG00000008640	Notechis_scutatus
ENSSMRP00000029731	ENSSMRG00000022861	Salvator_merianae
ENSSPUP00000016699	ENSSPUG00000012921	Sphenodon_punctatus
ENSPPAP00000010305	ENSPPAG00000028375	Pan_paniscus
ENSPTRP00000047447	ENSPTRG00000021792	Pan_troglodytes
ENSGGOP00000007702	ENSGGOG00000007874	Gorilla_gorilla
ENSP00000367851	ENSG00000165168	Homo_sapiens
ENSPPYP00000022649	ENSPPYG00000020240	Pongo_abelii
ENSNLEP00000001146	ENSNLEG00000000927	Nomascus_leucogenys
ENSCANP00000009368	ENSCANG00000028091	Colobus_angolensis_palliatus
ENSPTEP00000023096	ENSPTEG00000023893	Piliocolobus_tephrosceles
ENSRBIP00000025881	ENSRBIG00000036822	Rhinopithecus_bieti
ENSRROP00000014891	ENSRROG00000031633	Rhinopithecus_roxellana
ENSMFAP00000006893	ENSMFAG00000040813	Macaca_fascicularis
ENSMNEP00000006171	ENSMNEG00000027049	Macaca_nemestrina
ENSMMUP00000074296	ENSMMUG00000013220	Macaca_mulatta
ENSTGEP00000013541	ENSTGEG00000011009	Theropithecus_gelada
ENSMLEP00000000219	ENSMLEG00000000510	Mandrillus_leucophaeus
ENSCATP00000019373	ENSCATG00000033480	Cercocebus_atys
ENSPANP00000002509	ENSPANG00000009957	Papio_anubis
ENSCSAP00000014069	ENSCSAG00000018050	Chlorocebus_sabaeus
ENSCJAP00000009523	ENSCJAG00000005191	Callithrix_jacchus
ENSCCAP00000009502	ENSCCAG00000022490	Cebus_capucinus_imitator
ENSSBOP00000020385	ENSSBOG00000026782	Saimiri_boliviensis_boliviensis
ENSANAP00000025749	ENSANAG00000030601	Aotus_nancymaae
ENSTSYP00000001731	ENSTSYG00000001858	Carlito_syrichta
ENSPSMP00000000203	ENSPSMG00000000187	Prolemur_simus
ENSMICP00000018025	ENSMICG00000026872	Microcebus_murinus
ENSPCOP00000002143	ENSPCOG00000006604	Propithecus_coquereli
ENSOGAP00000009573	ENSOGAG00000010695	Otolemur_garnettii
ENSOCUP00000035279	ENSOCUG00000032490	Oryctolagus_cuniculus
ENSCCNP00000003834	ENSCCNG00000004056	Castor_canadensis
ENSDORP00000011879	ENSDORG00000012634	Dipodomys_ordii
ENSMUSP00000015484	ENSMUSG00000015340	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0094729	MGP_SPRETEiJ_G0034076	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000001384	ENSMSIG00000001332	Mus_spicilegus
MGP_CAROLIEiJ_P0090986	MGP_CAROLIEiJ_G0032925	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0088626	MGP_PahariEiJ_G0031472	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000031063	ENSRNOG00000003622	Rattus_norvegicus
ENSMUGP00000032619	ENSMUGG00000027098	Meriones_unguiculatus
ENSCGRP00000007542	ENSCGRG00000005491	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015008161	ENSCGRG00015006345	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001012785	ENSCGRG00001014092	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000010984	ENSMAUG00000011704	Mesocricetus_auratus
ENSPEMP00000004991	ENSPEMG00000007459	Peromyscus_maniculatus_bairdii
ENSMOCP00000005794	ENSMOCG00000005328	Microtus_ochrogaster
ENSNGAP00000006056	ENSNGAG00000008847	Nannospalax_galili
ENSJJAP00000000589	ENSJJAG00000000492	Jaculus_jaculus
ENSHGLP00000019040	ENSHGLG00000013641	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100002434	ENSHGLG00100001885	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000020753	ENSFDAG00000008203	Fukomys_damarensis
ENSCLAP00000000183	ENSCLAG00000000184	Chinchilla_lanigera
ENSODEP00000001028	ENSODEG00000000820	Octodon_degus
ENSCPOP00000001740	ENSCPOG00000001930	Cavia_porcellus
ENSSTOP00000022599	ENSSTOG00000019548	Ictidomys_tridecemlineatus
ENSSDAP00000001342	ENSSDAG00000001320	Spermophilus_dauricus
ENSMMMP00000011204	ENSMMMG00000009990	Marmota_marmota_marmota
ENSUPAP00010021931	ENSUPAG00010017438	Urocitellus_parryii
ENSTBEP00000012622	ENSTBEG00000014542	Tupaia_belangeri
ENSPPRP00000020470	ENSPPRG00000011521	Panthera_pardus
ENSUAMP00000032219	ENSUAMG00000024626	Ursus_americanus
ENSUMAP00000023930	ENSUMAG00000017421	Ursus_maritimus
ENSAMEP00000007704	ENSAMEG00000007284	Ailuropoda_melanoleuca
ENSNVIP00000018282	ENSNVIG00000014317	Neovison_vison
ENSMPUP00000012336	ENSMPUG00000012430	Mustela_putorius_furo
ENSCAFP00000020532	ENSCAFG00000013933	Canis_lupus_familiaris
ENSCAFP00020010341	ENSCAFG00020008365	Canis_lupus_dingo
ENSVVUP00000015139	ENSVVUG00000011104	Vulpes_vulpes
ENSPTIP00000004538	ENSPTIG00000007020	Panthera_tigris_altaica
ENSPPRP00000008715	ENSPPRG00000003423	Panthera_pardus
ENSPPRP00000009236	ENSPPRG00000003758	Panthera_pardus
ENSFCAP00000002896	ENSFCAG00000003145	Felis_catus
ENSEASP00005026407	ENSEASG00005018016	Equus_asinus_asinus
ENSECAP00000046091	ENSECAG00000017917	Equus_caballus
ENSEEUP00000010482	ENSEEUG00000011488	Erinaceus_europaeus
ENSSARP00000010030	ENSSARG00000011105	Sorex_araneus
ENSBIXP00005014224	ENSBIXG00005018235	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000016904	ENSBTAG00000019953	Bos_taurus
ENSBIXP00000027760	ENSBIXG00000008686	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000013869	ENSBMUG00000010563	Bos_mutus
ENSBBBP00000024009	ENSBBBG00000008387	Bison_bison_bison
ENSOARP00000020346	ENSOARG00000018943	Ovis_aries
ENSCHIP00000009847	ENSCHIG00000012563	Capra_hircus
ENSTTRP00000006387	ENSTTRG00000006752	Tursiops_truncatus
ENSSSCP00000028450	ENSSSCG00000036246	Sus_scrofa_strain_reference
ENSVPAP00000002282	ENSVPAG00000002468	Vicugna_pacos
ENSMLUP00000001694	ENSMLUG00000001861	Myotis_lucifugus
ENSPVAP00000012802	ENSPVAG00000013569	Pteropus_vampyrus
ENSLAFP00000010542	ENSLAFG00000012609	Loxodonta_africana
