ENSTRUP00000056106	ENSTRUG00000024065	Takifugu_rubripes	ENSTRUT00000050366
ENSPMGP00000013367	ENSPMGG00000011009	Periophthalmus_magnuspinnatus
ENSBSLP00000033735	ENSBSLG00000016361	Betta_splendens
ENSCVAP00000003551	ENSCVAG00000004758	Cyprinodon_variegatus
ENSFHEP00000021441	ENSFHEG00000000049	Fundulus_heteroclitus
ENSXCOP00000004849	ENSXCOG00000003802	Xiphophorus_couchianus
ENSXMAP00000021376	ENSXMAG00000000182	Xiphophorus_maculatus
ENSGAFP00000021019	ENSGAFG00000014171	Gambusia_affinis
ENSPLAP00000009891	ENSPLAG00000012721	Poecilia_latipinna
ENSPFOP00000013018	ENSPFOG00000013015	Poecilia_formosa
ENSPMEP00000013201	ENSPMEG00000015455	Poecilia_mexicana
ENSPREP00000018488	ENSPREG00000012526	Poecilia_reticulata
ENSKMAP00000004085	ENSKMAG00000003119	Kryptolebias_marmoratus
ENSORLP00020032035	ENSORLG00020017378	Oryzias_latipes_ASM223471v1
ENSORLP00015023510	ENSORLG00015003514	Oryzias_latipes_ASM223469v1
ENSORLP00000034736	ENSORLG00000028949	Oryzias_latipes_ASM223467v1
ENSOMEP00000020808	ENSOMEG00000022699	Oryzias_melastigma
ENSAPOP00000014840	ENSAPOG00000017762	Acanthochromis_polyacanthus
ENSCGOP00000032063	ENSCGOG00000014937	Cottoperca_gobio	ENSCGOT00000034486
ENSGACP00000014521	ENSGACG00000010976	Gasterosteus_aculeatus	ENSGACT00000014547
ENSGMOP00000015408	ENSGMOG00000014406	Gadus_morhua
ENSNBRP00000013384	ENSNBRG00000010374	Neolamprologus_brichardi
ENSACIP00000003750	ENSACIG00000002956	Amphilophus_citrinellus
ENSHHUP00000057742	ENSHHUG00000034399	Hucho_hucho
ENSECRP00000016847	ENSECRG00000011180	Erpetoichthys_calabaricus
