ENSRBIP00000029096	ENSRBIG00000038433	Rhinopithecus_bieti
ENSPPYP00000021098	ENSPPYG00000018808	Pongo_abelii
ENSPSMP00000019101	ENSPSMG00000013458	Prolemur_simus
ENSMMUP00000061660	ENSMMUG00000019404	Macaca_mulatta
ENSORLP00000002906	ENSORLG00000002345	Oryzias_latipes_ASM223467v1
ENSSSCP00000064770	ENSSSCG00000006049	Sus_scrofa_strain_reference
ENSMLEP00000037620	ENSMLEG00000042902	Mandrillus_leucophaeus
ENSGACP00000006503	ENSGACG00000004881	Gasterosteus_aculeatus
ENSJHYP00000003061	ENSJHYG00000002519	Junco_hyemalis
ENSHBUP00000013926	ENSHBUG00000015762	Haplochromis_burtoni
ENSLOCP00000011619	ENSLOCG00000009507	Lepisosteus_oculatus
ENSCCEP00000005938	ENSCCEG00000006458	Cyanistes_caeruleus
ENSPNAP00000029864	ENSPNAG00000016224	Pygocentrus_nattereri
MGP_CAROLIEiJ_P0038125	MGP_CAROLIEiJ_G0019756	Mus_caroli_strain_CAROLI_EIJ
ENSSCAP00000007963	ENSSCAG00000006106	Serinus_canaria
ENSSMAP00000015577	ENSSMAG00000009529	Scophthalmus_maximus
ENSDCDP00000031713	ENSDCDG00000021961	Denticeps_clupeoides
ENSPTIP00000018725	ENSPTIG00000016767	Panthera_tigris_altaica
ENSTSYP00000021191	ENSTSYG00000003303	Carlito_syrichta
ENSSLDP00000013291	ENSSLDG00000010587	Seriola_lalandi_dorsalis
ENSSPUP00000011905	ENSSPUG00000009133	Sphenodon_punctatus	ENSSPUT00000012695
ENSDARP00000104898	ENSDARG00000089791	Danio_rerio
ENSCAPP00000009358	ENSCAPG00000010845	Cavia_aperea
MGP_PahariEiJ_P0041506	MGP_PahariEiJ_G0019765	Mus_pahari_strain_PAHARI_EIJ
ENSNMEP00000004291	ENSNMEG00000004730	Numida_meleagris
ENSTNIP00000011046	ENSTNIG00000008216	Tetraodon_nigroviridis
ENSCATP00000019338	ENSCATG00000033455	Cercocebus_atys
ENSAMXP00000029510	ENSAMXG00000005337	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPMJP00000013435	ENSPMJG00000010211	Parus_major
ENSCPOP00000025519	ENSCPOG00000033503	Cavia_porcellus
ENSCSAP00000008086	ENSCSAG00000011893	Chlorocebus_sabaeus
ENSGAGP00000035586	ENSGAGG00000025285	Gopherus_agassizii
ENSEASP00005001571	ENSEASG00005001280	Equus_asinus_asinus
ENSXMAP00000004034	ENSXMAG00000004016	Xiphophorus_maculatus
ENSLAFP00000005110	ENSLAFG00000006098	Loxodonta_africana
ENSMZEP00005016290	ENSMZEG00005012238	Maylandia_zebra
ENSFDAP00000021830	ENSFDAG00000007424	Fukomys_damarensis
ENSMLUP00000006709	ENSMLUG00000007363	Myotis_lucifugus
ENSSDAP00000002662	ENSSDAG00000002559	Spermophilus_dauricus
ENSMGAP00000012988	ENSMGAG00000012337	Meleagris_gallopavo
ENSVVUP00000023053	ENSVVUG00000016846	Vulpes_vulpes
ENSOPRP00000008219	ENSOPRG00000008981	Ochotona_princeps
ENSMMOP00000023519	ENSMMOG00000017902	Mola_mola
ENSGGOP00000027023	ENSGGOG00000015117	Gorilla_gorilla
ENSECAP00000028606	ENSECAG00000022060	Equus_caballus
ENSBSLP00000045593	ENSBSLG00000021691	Betta_splendens
ENSCABP00000018702	ENSCABG00000013817	Chelonoidis_abingdonii
ENSELUP00000014610	ENSELUG00000014643	Esox_lucius
ENSCPRP00005007422	ENSCPRG00005005255	Crocodylus_porosus
ENSLBEP00000003211	ENSLBEG00000002486	Labrus_bergylta
ENSONIP00000000174	ENSONIG00000000139	Oreochromis_niloticus
ENSPCIP00000035435	ENSPCIG00000026187	Phascolarctos_cinereus
ENSAMXP00005028369	ENSAMXG00005014154	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSSDUP00000012020	ENSSDUG00000008739	Seriola_dumerili
ENSAOCP00000008069	ENSAOCG00000012002	Amphiprion_ocellaris
ENSSFOP00015009532	ENSSFOG00015006183	Scleropages_formosus
ENSCHOP00000002658	ENSCHOG00000003002	Choloepus_hoffmanni
ENSSHAP00000002790	ENSSHAG00000002468	Sarcophilus_harrisii
ENSVURP00010023838	ENSVURG00010018272	Vombatus_ursinus
ENSPCOP00000017868	ENSPCOG00000020780	Propithecus_coquereli
ENSPPRP00000011192	ENSPPRG00000005112	Panthera_pardus
ENSAPLP00000002467	ENSAPLG00000003013	Anas_platyrhynchos_platyrhynchos
ENSNBRP00000009071	ENSNBRG00000007084	Neolamprologus_brichardi
ENSMODP00000006888	ENSMODG00000005569	Monodelphis_domestica
ENSNLEP00000004563	ENSNLEG00000003777	Nomascus_leucogenys
ENSCGRP00000006466	ENSCGRG00000004733	Cricetulus_griseus_CriGri_1.0
ENSPFOP00000019563	ENSPFOG00000019440	Poecilia_formosa
ENSLACP00000015541	ENSLACG00000013681	Latimeria_chalumnae
ENSHHUP00000017751	ENSHHUG00000011056	Hucho_hucho
ENSORLP00020000459	ENSORLG00020001152	Oryzias_latipes_ASM223471v1
ENSGALP00000058542	ENSGALG00000039882	Gallus_gallus
ENSUAMP00000022873	ENSUAMG00000017930	Ursus_americanus
ENSCJAP00000059621	ENSCJAG00000043411	Callithrix_jacchus
ENSEEUP00000002974	ENSEEUG00000003260	Erinaceus_europaeus
ENSDARP00000032745	ENSDARG00000026835	Danio_rerio
ENSSLDP00000014579	ENSSLDG00000011653	Seriola_lalandi_dorsalis
ENSLCOP00000011492	ENSLCOG00000008350	Lepidothrix_coronata	ENSLCOT00000012190
ENSBBBP00000004791	ENSBBBG00000013671	Bison_bison_bison
ENSPNAP00000019259	ENSPNAG00000025807	Pygocentrus_nattereri
ENSCPBP00000037621	ENSCPBG00000026054	Chrysemys_picta_bellii
ENSORLP00015031608	ENSORLG00015015932	Oryzias_latipes_ASM223469v1
ENSGWIP00000013013	ENSGWIG00000007501	Gouania_willdenowi
ENSETEP00000003902	ENSETEG00000004776	Echinops_telfairi
ENSACLP00000037198	ENSACLG00000025194	Astatotilapia_calliptera
ENSHHUP00000053528	ENSHHUG00000032129	Hucho_hucho
ENSCVAP00000008528	ENSCVAG00000010353	Cyprinodon_variegatus
ENSSTOP00000007148	ENSSTOG00000007983	Ictidomys_tridecemlineatus
ENSLCRP00005031332	ENSLCRG00005012385	Larimichthys_crocea
ENSMVIP00005020630	ENSMVIG00005014563	Manacus_vitellinus	ENSMVIT00005023260
ENSCCAP00000006645	ENSCCAG00000021065	Cebus_capucinus_imitator
ENSMICP00000006281	ENSMICG00000006898	Microcebus_murinus
ENSMNEP00000033461	ENSMNEG00000039981	Macaca_nemestrina
ENSCANP00000039679	ENSCANG00000043506	Colobus_angolensis_palliatus
ENSFALP00000006231	ENSFALG00000005964	Ficedula_albicollis
ENSAMEP00000001691	ENSAMEG00000001599	Ailuropoda_melanoleuca
ENSMAMP00000004697	ENSMAMG00000003174	Mastacembelus_armatus
ENSIPUP00000008171	ENSIPUG00000005619	Ictalurus_punctatus
ENSSPAP00000026347	ENSSPAG00000019864	Stegastes_partitus
ENSMVIP00005022368	ENSMVIG00005015688	Manacus_vitellinus	ENSMVIT00005025177
ENSTRUP00000056697	ENSTRUG00000025767	Takifugu_rubripes
ENSMAUP00000020728	ENSMAUG00000018679	Mesocricetus_auratus
MGP_SPRETEiJ_P0039907	MGP_SPRETEiJ_G0020653	Mus_spretus_strain_SPRET/EiJ
ENSSARP00000003544	ENSSARG00000003918	Sorex_araneus
ENSDNOP00000027971	ENSDNOG00000040672	Dasypus_novemcinctus
ENSCSEP00000021266	ENSCSEG00000013575	Cynoglossus_semilaevis
ENSPVIP00000008760	ENSPVIG00000007039	Pogona_vitticeps	ENSPVIT00000011207
ENSMMMP00000018579	ENSMMMG00000016463	Marmota_marmota_marmota
ENSBTAP00000045203	ENSBTAG00000033902	Bos_taurus
ENSPCAP00000007085	ENSPCAG00000007583	Procavia_capensis
ENSLCAP00010032462	ENSLCAG00010015276	Lates_calcarifer
ENSPANP00000005802	ENSPANG00000005632	Papio_anubis
ENSRNOP00000006029	ENSRNOG00000004403	Rattus_norvegicus
ENSEEEP00000000189	ENSEEEG00000000143	Electrophorus_electricus
ENSACAP00000009246	ENSACAG00000009436	Anolis_carolinensis	ENSACAT00000009439
ENSUPAP00010015441	ENSUPAG00010012365	Urocitellus_parryii
ENSPPAP00000036069	ENSPPAG00000040806	Pan_paniscus
ENSPTEP00000007149	ENSPTEG00000008158	Piliocolobus_tephrosceles
ENSODEP00000001151	ENSODEG00000000912	Octodon_degus
ENSKMAP00000003174	ENSKMAG00000002412	Kryptolebias_marmoratus
ENSOGAP00000002031	ENSOGAG00000002276	Otolemur_garnettii
ENSTBEP00000013586	ENSTBEG00000015658	Tupaia_belangeri
ENSMSIP00000007171	ENSMSIG00000006379	Mus_spicilegus
ENSTTRP00000014115	ENSTTRG00000014889	Tursiops_truncatus
ENSMALP00000018800	ENSMALG00000013120	Monopterus_albus
K01C8.7a.1	WBGene00010459	Caenorhabditis_elegans_strain_N2
ENSMPUP00000014989	ENSMPUG00000015100	Mustela_putorius_furo
ENSCGRP00001004967	ENSCGRG00001006441	Cricetulus_griseus_CHOK1GS_HDv1
ENSCJPP00005001494	ENSCJPG00005001508	Coturnix_japonica
ENSCHAP00000005208	ENSCHAG00000003289	Clupea_harengus
ENSPREP00000023756	ENSPREG00000016034	Poecilia_reticulata
ENSAMXP00005001760	ENSAMXG00005000991	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSHGLP00000010952	ENSHGLG00000007857	Heterocephalus_glaber_HetGla_female_1.0
ENSCHIP00000014343	ENSCHIG00000015415	Capra_hircus
ENSOANP00000021864	ENSOANG00000013863	Ornithorhynchus_anatinus
ENSDCDP00000038974	ENSDCDG00000026027	Denticeps_clupeoides
ENSAPEP00000029731	ENSAPEG00000021127	Amphiprion_percula
ENSOCUP00000038467	ENSOCUG00000009191	Oryctolagus_cuniculus
FBpp0291674	FBgn0033391	Drosophila_melanogaster
ENSJJAP00000001162	ENSJJAG00000001066	Jaculus_jaculus
ENSCCNP00000026730	ENSCCNG00000025901	Castor_canadensis
ENSTGUP00000012513	ENSTGUG00000012149	Taeniopygia_guttata	ENSTGUT00000012652
ENSSMRP00000027409	ENSSMRG00000021135	Salvator_merianae	ENSSMRT00000032025
ENSCPGP00000009700	ENSCPGG00000006899	Calidris_pygmaea	ENSCPGT00000010647
ENSCGOP00000024507	ENSCGOG00000011615	Cottoperca_gobio
ENSOARP00000017597	ENSOARG00000016387	Ovis_aries
ENSPNYP00000005072	ENSPNYG00000003923	Pundamilia_nyererei
ENSVURP00010009436	ENSVURG00010007308	Vombatus_ursinus
ENSARWP00000026504	ENSARWG00000017936	Apteryx_rowi	ENSARWT00000029980
ENSAMXP00000017421	ENSAMXG00000016918	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSSHAP00000007216	ENSSHAG00000006270	Sarcophilus_harrisii
ENSTGUP00000016069	ENSTGUG00000015746	Taeniopygia_guttata	ENSTGUT00000016367
ENSCAFP00020003611	ENSCAFG00020003015	Canis_lupus_dingo
ENSPRNP00000024701	ENSPRNG00000012561	Parambassis_ranga
ENSPTRP00000035043	ENSPTRG00000020492	Pan_troglodytes
ENSECRP00000027929	ENSECRG00000018896	Erpetoichthys_calabaricus
ENSSBOP00000021356	ENSSBOG00000027220	Saimiri_boliviensis_boliviensis
ENSMODP00000013099	ENSMODG00000010451	Monodelphis_domestica
ENSPMGP00000027435	ENSPMGG00000022137	Periophthalmus_magnuspinnatus
ENSOMEP00000005022	ENSOMEG00000006021	Oryzias_melastigma
ENSPVAP00000016204	ENSPVAG00000017176	Pteropus_vampyrus
ENSNPEP00000020690	ENSNPEG00000015393	Nothoprocta_perdicaria	ENSNPET00000021232
ENSHGLP00100003543	ENSHGLG00100002698	Heterocephalus_glaber_HetGla_1.0
ENSACIP00000003902	ENSACIG00000003090	Amphilophus_citrinellus
ENSCLAP00000008495	ENSCLAG00000005938	Chinchilla_lanigera
ENSMUNP00000005666	ENSMUNG00000004633	Melopsittacus_undulatus	ENSMUNT00000006567
ENSANAP00000011951	ENSANAG00000023911	Aotus_nancymaae
ENSP00000496817	ENSG00000285982	Homo_sapiens
ENSABRP00000016543	ENSABRG00000014513	Anser_brachyrhynchus
ENSGAFP00000000560	ENSGAFG00000000430	Gambusia_affinis
ENSP00000297578	ENSG00000164933	Homo_sapiens
ENSATEP00000036011	ENSATEG00000024748	Anabas_testudineus
ENSCGRP00015036324	ENSCGRG00015027224	Cricetulus_griseus_CriGri-PICR
ENSCPUP00000009851	ENSCPUG00000006991	Calidris_pugnax	ENSCPUT00000011773
ENSLSDP00000007367	ENSLSDG00000005525	Lonchura_striata_domestica
ENSEBUP00000005910	ENSEBUG00000003959	Eptatretus_burgeri
ENSVPAP00000006245	ENSVPAG00000006723	Vicugna_pacos
ENSAHAP00000012136	ENSAHAG00000008785	Apteryx_haastii	ENSAHAT00000013437
