ENSHHUP00000016263	ENSHHUG00000010122	Hucho_hucho	ENSHHUT00000016836
ENSELUP00000042813	ENSELUG00000001538	Esox_lucius	ENSELUT00000043599
ENSPNYP00000023341	ENSPNYG00000017640	Pundamilia_nyererei	ENSPNYT00000023911
ENSHBUP00000027064	ENSHBUG00000010053	Haplochromis_burtoni	ENSHBUT00000001756
ENSNBRP00000031481	ENSNBRG00000023929	Neolamprologus_brichardi	ENSNBRT00000032277
ENSAPEP00000006508	ENSAPEG00000004685	Amphiprion_percula	ENSAPET00000006678
ENSXCOP00000013184	ENSXCOG00000009991	Xiphophorus_couchianus	ENSXCOT00000013345
ENSCVAP00000005645	ENSCVAG00000007066	Cyprinodon_variegatus	ENSCVAT00000006332
ENSKMAP00000014331	ENSKMAG00000010753	Kryptolebias_marmoratus	ENSKMAT00000014543
ENSCGOP00000050019	ENSCGOG00000022231	Cottoperca_gobio	ENSCGOT00000053365
ENSSMAP00000011165	ENSSMAG00000006894	Scophthalmus_maximus	ENSSMAT00000011312
ENSHCOP00000024169	ENSHCOG00000013270	Hippocampus_comes	ENSHCOT00000017086
ENSTRUP00000049336	ENSTRUG00000024000	Takifugu_rubripes
ENSBSLP00000023270	ENSBSLG00000011695	Betta_splendens	ENSBSLT00000025968
ENSCHAP00000038422	ENSCHAG00000017975	Clupea_harengus
ENSEEEP00000043255	ENSEEEG00000020430	Electrophorus_electricus
ENSPKIP00000027432	ENSPKIG00000009497	Paramormyrops_kingsleyae
ENSMVIP00005004824	ENSMVIG00005003696	Manacus_vitellinus
ENSMVIP00005001628	ENSMVIG00005001270	Manacus_vitellinus
ENSLCOP00000008921	ENSLCOG00000006528	Lepidothrix_coronata
ENSTGUP00000015369	ENSTGUG00000015023	Taeniopygia_guttata
ENSNPEP00000009624	ENSNPEG00000007222	Nothoprocta_perdicaria
ENSNSUP00000000682	ENSNSUG00000000658	Notechis_scutatus
ENSEASP00005000147	ENSEASG00005000170	Equus_asinus_asinus
ENSCCAP00000038159	ENSCCAG00000036919	Cebus_capucinus_imitator
ENSMAUP00000006628	ENSMAUG00000008516	Mesocricetus_auratus
ENSOANP00000026044	ENSOANG00000020481	Ornithorhynchus_anatinus
ENSEBUP00000017866	ENSEBUG00000011168	Eptatretus_burgeri
ENSCSAVP00000005855	ENSCSAVG00000003495	Ciona_savignyi
