ENSMNEP00000022126	ENSMNEG00000034748	Macaca_nemestrina	ENSMNET00000046379
ENSCATP00000025268	ENSCATG00000036122	Cercocebus_atys	ENSCATT00000049498
ENSTGEP00000012708	ENSTGEG00000010378	Theropithecus_gelada	ENSTGET00000015288
ENSMLEP00000006321	ENSMLEG00000026468	Mandrillus_leucophaeus	ENSMLET00000029023
ENSPANP00000047150	ENSPANG00000035713	Papio_anubis	ENSPANT00000055330
ENSMFAP00000038517	ENSMFAG00000038615	Macaca_fascicularis	ENSMFAT00000012772
ENSGGOP00000013917	ENSGGOG00000014270	Gorilla_gorilla	ENSGGOT00000014318
ENSPTRP00000013067	ENSPTRG00000007646	Pan_troglodytes	ENSPTRT00000014103
ENSPTRP00000093135	ENSPTRG00000047064	Pan_troglodytes	ENSPTRT00000086896
ENSCANP00000032358	ENSCANG00000039848	Colobus_angolensis_palliatus
ENSANAP00000027586	ENSANAG00000031650	Aotus_nancymaae
ENSOPRP00000014982	ENSOPRG00000016409	Ochotona_princeps
ENSEEUP00000005215	ENSEEUG00000005711	Erinaceus_europaeus
ENSSARP00000001410	ENSSARG00000001559	Sorex_araneus
ENSPPRP00000020885	ENSPPRG00000011827	Panthera_pardus
ENSTTRP00000007781	ENSTTRG00000008219	Tursiops_truncatus
ENSVPAP00000009283	ENSVPAG00000009975	Vicugna_pacos
ENSPVAP00000004827	ENSPVAG00000005103	Pteropus_vampyrus
ENSCHOP00000004315	ENSCHOG00000004876	Choloepus_hoffmanni
ENSPCAP00000004179	ENSPCAG00000004471	Procavia_capensis
ENSPEMP00000035862	ENSPEMG00000024569	Peromyscus_maniculatus_bairdii
ENSMEUP00000008092	ENSMEUG00000008866	Notamacropus_eugenii
ENSGALP00000070163	ENSGALG00000051727	Gallus_gallus
ENSCJPP00005023215	ENSCJPG00005018447	Coturnix_japonica
ENSNMEP00000025660	ENSNMEG00000021709	Numida_meleagris
ENSAPLP00000024416	ENSAPLG00000025549	Anas_platyrhynchos_platyrhynchos
ENSCPRP00005000952	ENSCPRG00005000734	Crocodylus_porosus
ENSLBEP00000020702	ENSLBEG00000015933	Labrus_bergylta
