ENSCHAP00000030762	ENSCHAG00000014510	Clupea_harengus	ENSCHAT00000033388
ENSDCDP00000010662	ENSDCDG00000005328	Denticeps_clupeoides	ENSDCDT00000011717
ENSPNAP00000021358	ENSPNAG00000005427	Pygocentrus_nattereri	ENSPNAT00000032557
ENSAMXP00000036326	ENSAMXG00000035687	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000045470
ENSIPUP00000001515	ENSIPUG00000001003	Ictalurus_punctatus	ENSIPUT00000001590
ENSEEEP00000012884	ENSEEEG00000006473	Electrophorus_electricus	ENSEEET00000013032
ENSDARP00000137146	ENSDARG00000098330	Danio_rerio
ENSHHUP00000000088	ENSHHUG00000000066	Hucho_hucho
ENSELUP00000022270	ENSELUG00000021279	Esox_lucius
ENSPMEP00000007095	ENSPMEG00000009052	Poecilia_mexicana
ENSPLAP00000012748	ENSPLAG00000016505	Poecilia_latipinna
ENSPFOP00000001950	ENSPFOG00000001952	Poecilia_formosa
ENSPREP00000019179	ENSPREG00000012976	Poecilia_reticulata
ENSXMAP00000016573	ENSXMAG00000016495	Xiphophorus_maculatus
ENSXCOP00000011390	ENSXCOG00000008595	Xiphophorus_couchianus
ENSGAFP00000003381	ENSGAFG00000002223	Gambusia_affinis
ENSFHEP00000018897	ENSFHEG00000021227	Fundulus_heteroclitus
ENSCVAP00000032694	ENSCVAG00000022956	Cyprinodon_variegatus
ENSORLP00000004164	ENSORLG00000003349	Oryzias_latipes_ASM223467v1
ENSORLP00020003216	ENSORLG00020004002	Oryzias_latipes_ASM223471v1
ENSORLP00015012718	ENSORLG00015013746	Oryzias_latipes_ASM223469v1
ENSOMEP00000033292	ENSOMEG00000019266	Oryzias_melastigma
ENSCSEP00000029130	ENSCSEG00000018648	Cynoglossus_semilaevis
ENSTNIP00000019811	ENSTNIG00000016702	Tetraodon_nigroviridis
ENSTRUP00000042792	ENSTRUG00000016716	Takifugu_rubripes
ENSCGOP00000004737	ENSCGOG00000002432	Cottoperca_gobio
ENSGACP00000008110	ENSGACG00000006116	Gasterosteus_aculeatus
ENSLCRP00005006172	ENSLCRG00005003136	Larimichthys_crocea
ENSLCRP00005043669	ENSLCRG00005016733	Larimichthys_crocea
ENSLBEP00000017794	ENSLBEG00000013670	Labrus_bergylta
ENSMALP00000027501	ENSMALG00000019034	Monopterus_albus
ENSMAMP00000023328	ENSMAMG00000015598	Mastacembelus_armatus
ENSATEP00000027968	ENSATEG00000019290	Anabas_testudineus
ENSBSLP00000011140	ENSBSLG00000005442	Betta_splendens
ENSLCAP00010009053	ENSLCAG00010004339	Lates_calcarifer
ENSSMAP00000008447	ENSSMAG00000005190	Scophthalmus_maximus
ENSSLDP00000030791	ENSSLDG00000023671	Seriola_lalandi_dorsalis
ENSSDUP00000005684	ENSSDUG00000004108	Seriola_dumerili
ENSPRNP00000036001	ENSPRNG00000018014	Parambassis_ranga
ENSKMAP00000002082	ENSKMAG00000001568	Kryptolebias_marmoratus
ENSAPEP00000027430	ENSAPEG00000019443	Amphiprion_percula
ENSAOCP00000012481	ENSAOCG00000017034	Amphiprion_ocellaris
ENSAPOP00000022215	ENSAPOG00000003339	Acanthochromis_polyacanthus
ENSSPAP00000015292	ENSSPAG00000011491	Stegastes_partitus
ENSPNYP00000023530	ENSPNYG00000017718	Pundamilia_nyererei
ENSHBUP00000022141	ENSHBUG00000002462	Haplochromis_burtoni
ENSMZEP00005011958	ENSMZEG00005008970	Maylandia_zebra
ENSACLP00000018588	ENSACLG00000012693	Astatotilapia_calliptera
ENSNBRP00000022478	ENSNBRG00000017118	Neolamprologus_brichardi
ENSONIP00000018195	ENSONIG00000014471	Oreochromis_niloticus
ENSACIP00000006863	ENSACIG00000005389	Amphilophus_citrinellus
ENSMMOP00000017112	ENSMMOG00000013032	Mola_mola
ENSGWIP00000041435	ENSGWIG00000020876	Gouania_willdenowi
ENSHCOP00000019526	ENSHCOG00000004955	Hippocampus_comes
ENSPMGP00000010159	ENSPMGG00000008426	Periophthalmus_magnuspinnatus
ENSGMOP00000007747	ENSGMOG00000007234	Gadus_morhua
ENSPKIP00000038197	ENSPKIG00000016017	Paramormyrops_kingsleyae
ENSSFOP00015030825	ENSSFOG00015019714	Scleropages_formosus
ENSLOCP00000015737	ENSLOCG00000012789	Lepisosteus_oculatus
ENSECRP00000003739	ENSECRG00000002548	Erpetoichthys_calabaricus
ENSLACP00000002608	ENSLACG00000002334	Latimeria_chalumnae
ENSPVIP00000019511	ENSPVIG00000014883	Pogona_vitticeps
ENSACAP00000008699	ENSACAG00000008901	Anolis_carolinensis
ENSNSUP00000020783	ENSNSUG00000015097	Notechis_scutatus
ENSSMRP00000022728	ENSSMRG00000017581	Salvator_merianae
ENSSPUP00000000557	ENSSPUG00000000440	Sphenodon_punctatus
ENSCCEP00000010754	ENSCCEG00000010309	Cyanistes_caeruleus
ENSPMJP00000021281	ENSPMJG00000015799	Parus_major
ENSFALP00000002174	ENSFALG00000002091	Ficedula_albicollis
ENSZALP00000009609	ENSZALG00000008229	Zonotrichia_albicollis
ENSSCAP00000010371	ENSSCAG00000007859	Serinus_canaria
ENSLSDP00000014524	ENSLSDG00000010491	Lonchura_striata_domestica
ENSTGUP00000002047	ENSTGUG00000001981	Taeniopygia_guttata
ENSMVIP00005013888	ENSMVIG00005009479	Manacus_vitellinus
ENSLCOP00000009726	ENSLCOG00000007070	Lepidothrix_coronata
ENSCPUP00000027438	ENSCPUG00000018472	Calidris_pugnax
ENSCPGP00000012085	ENSCPGG00000008602	Calidris_pygmaea
ENSMUNP00000018634	ENSMUNG00000014246	Melopsittacus_undulatus
ENSABRP00000004703	ENSABRG00000002953	Anser_brachyrhynchus
ENSAPLP00000006861	ENSAPLG00000007062	Anas_platyrhynchos_platyrhynchos
ENSGALP00000038362	ENSGALG00000023552	Gallus_gallus
ENSCJPP00005007251	ENSCJPG00005006619	Coturnix_japonica
ENSMGAP00000004538	ENSMGAG00000004715	Meleagris_gallopavo
ENSNMEP00000002897	ENSNMEG00000001699	Numida_meleagris
ENSAHAP00000014417	ENSAHAG00000010343	Apteryx_haastii
ENSARWP00000018265	ENSARWG00000012560	Apteryx_rowi
ENSAOWP00000012820	ENSAOWG00000008743	Apteryx_owenii
ENSDNVP00000018909	ENSDNVG00000013085	Dromaius_novaehollandiae
ENSNPEP00000002611	ENSNPEG00000002009	Nothoprocta_perdicaria
ENSCPRP00005022550	ENSCPRG00005015730	Crocodylus_porosus
ENSGAGP00000035972	ENSGAGG00000025502	Gopherus_agassizii
ENSCABP00000030000	ENSCABG00000021993	Chelonoidis_abingdonii
ENSCPBP00000030305	ENSCPBG00000021328	Chrysemys_picta_bellii
ENSPSIP00000007368	ENSPSIG00000006594	Pelodiscus_sinensis
ENSOANP00000006572	ENSOANG00000004143	Ornithorhynchus_anatinus
ENSOANP00000006573	ENSOANG00000030365	Ornithorhynchus_anatinus
ENSP00000348314	ENSG00000152582	Homo_sapiens
ENSPPYP00000017196	ENSPPYG00000015395	Pongo_abelii
ENSMNEP00000017263	ENSMNEG00000032522	Macaca_nemestrina
ENSMMUP00000024660	ENSMMUG00000018739	Macaca_mulatta
ENSPTEP00000024839	ENSPTEG00000025238	Piliocolobus_tephrosceles
ENSSBOP00000024997	ENSSBOG00000028933	Saimiri_boliviensis_boliviensis
ENSCCAP00000027013	ENSCCAG00000031269	Cebus_capucinus_imitator
ENSCJAP00000034198	ENSCJAG00000018398	Callithrix_jacchus
ENSANAP00000002768	ENSANAG00000019062	Aotus_nancymaae
ENSPTRP00000066420	ENSPTRG00000016788	Pan_troglodytes
ENSPPAP00000028448	ENSPPAG00000037233	Pan_paniscus
ENSGGOP00000033803	ENSGGOG00000011332	Gorilla_gorilla
ENSNLEP00000038618	ENSNLEG00000015937	Nomascus_leucogenys
ENSRROP00000044576	ENSRROG00000045242	Rhinopithecus_roxellana
ENSRBIP00000029934	ENSRBIG00000038843	Rhinopithecus_bieti
ENSCANP00000017170	ENSCANG00000032025	Colobus_angolensis_palliatus
ENSCATP00000033761	ENSCATG00000039845	Cercocebus_atys
ENSMLEP00000026452	ENSMLEG00000037353	Mandrillus_leucophaeus
ENSTGEP00000008330	ENSTGEG00000006788	Theropithecus_gelada
ENSPANP00000023073	ENSPANG00000013351	Papio_anubis
ENSMFAP00000006713	ENSMFAG00000036146	Macaca_fascicularis
ENSCSAP00000013093	ENSCSAG00000017093	Chlorocebus_sabaeus
ENSTSYP00000000388	ENSTSYG00000000421	Carlito_syrichta
ENSOGAP00000012867	ENSOGAG00000014357	Otolemur_garnettii
ENSOPRP00000006383	ENSOPRG00000006941	Ochotona_princeps
ENSTBEP00000006514	ENSTBEG00000007490	Tupaia_belangeri
ENSCLAP00000013059	ENSCLAG00000009013	Chinchilla_lanigera
ENSODEP00000024371	ENSODEG00000017833	Octodon_degus
ENSCPOP00000008499	ENSCPOG00000009468	Cavia_porcellus
ENSCAPP00000010310	ENSCAPG00000011607	Cavia_aperea
ENSHGLP00000008273	ENSHGLG00000005985	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000006543	ENSFDAG00000015283	Fukomys_damarensis
ENSUPAP00010003030	ENSUPAG00010002493	Urocitellus_parryii
ENSSTOP00000019340	ENSSTOG00000011158	Ictidomys_tridecemlineatus
ENSSDAP00000001028	ENSSDAG00000000988	Spermophilus_dauricus
ENSMMMP00000003181	ENSMMMG00000002868	Marmota_marmota_marmota
ENSCCNP00000013881	ENSCCNG00000014358	Castor_canadensis
ENSDORP00000008981	ENSDORG00000009555	Dipodomys_ordii
MGP_SPRETEiJ_P0039602	MGP_SPRETEiJ_G0020557	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000035762	ENSMUSG00000072663	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000031417	ENSMSIG00000026280	Mus_spicilegus
MGP_CAROLIEiJ_P0037839	MGP_CAROLIEiJ_G0019660	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0027346	MGP_PahariEiJ_G0016040	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000070321	ENSRNOG00000058275	Rattus_norvegicus
ENSMUGP00000032740	ENSMUGG00000027183	Meriones_unguiculatus
ENSCGRP00001025543	ENSCGRG00001023075	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000013745	ENSCGRG00000009967	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015021759	ENSCGRG00015016426	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000014187	ENSMAUG00000013955	Mesocricetus_auratus
ENSMOCP00000000411	ENSMOCG00000000309	Microtus_ochrogaster
ENSPEMP00000014518	ENSPEMG00000014243	Peromyscus_maniculatus_bairdii
ENSNGAP00000017979	ENSNGAG00000018242	Nannospalax_galili
ENSJJAP00000004896	ENSJJAG00000009870	Jaculus_jaculus
ENSOCUP00000040847	ENSOCUG00000006774	Oryctolagus_cuniculus
ENSPSMP00000005243	ENSPSMG00000004026	Prolemur_simus
ENSPCOP00000024895	ENSPCOG00000024659	Propithecus_coquereli
ENSMICP00000047185	ENSMICG00000001636	Microcebus_murinus
ENSECAP00000029516	ENSECAG00000011898	Equus_caballus
ENSEASP00005021868	ENSEASG00005014828	Equus_asinus_asinus
ENSSSCP00000066091	ENSSSCG00000016831	Sus_scrofa_strain_reference
ENSUMAP00000017518	ENSUMAG00000012225	Ursus_maritimus
ENSNVIP00000003956	ENSNVIG00000003001	Neovison_vison
ENSCAFP00000041712	ENSCAFG00000018767	Canis_lupus_familiaris
ENSCAFP00020021180	ENSCAFG00020016703	Canis_lupus_dingo
ENSPTIP00000017576	ENSPTIG00000015915	Panthera_tigris_altaica
ENSPPRP00000008723	ENSPPRG00000003503	Panthera_pardus
ENSFCAP00000038639	ENSFCAG00000009197	Felis_catus
ENSPVAP00000001422	ENSPVAG00000001509	Pteropus_vampyrus
ENSMLUP00000008938	ENSMLUG00000009767	Myotis_lucifugus
ENSBIXP00005001626	ENSBIXG00005008122	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000033316	ENSBIXG00000002454	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000002739	ENSBMUG00000002106	Bos_mutus
ENSBBBP00000015210	ENSBBBG00000006068	Bison_bison_bison
ENSBTAP00000071967	ENSBTAG00000023529	Bos_taurus
ENSOARP00000012146	ENSOARG00000011315	Ovis_aries
ENSCHIP00000033565	ENSCHIG00000027077	Capra_hircus
ENSTTRP00000015289	ENSTTRG00000016120	Tursiops_truncatus
ENSVPAP00000007039	ENSVPAG00000007567	Vicugna_pacos
ENSAMEP00000009248	ENSAMEG00000008773	Ailuropoda_melanoleuca
ENSMPUP00000014954	ENSMPUG00000015065	Mustela_putorius_furo
ENSVVUP00000014875	ENSVVUG00000010917	Vulpes_vulpes
ENSEEUP00000010209	ENSEEUG00000011108	Erinaceus_europaeus
ENSSARP00000009030	ENSSARG00000009949	Sorex_araneus
ENSCHOP00000004734	ENSCHOG00000005319	Choloepus_hoffmanni
ENSDNOP00000002421	ENSDNOG00000003121	Dasypus_novemcinctus
ENSLAFP00000010808	ENSLAFG00000012912	Loxodonta_africana
ENSPCAP00000013828	ENSPCAG00000014660	Procavia_capensis
ENSETEP00000005872	ENSETEG00000007231	Echinops_telfairi
ENSVURP00010019726	ENSVURG00010014908	Vombatus_ursinus
ENSVURP00010000040	ENSVURG00010000032	Vombatus_ursinus
ENSPCIP00000045435	ENSPCIG00000019690	Phascolarctos_cinereus
ENSMEUP00000009287	ENSMEUG00000010138	Notamacropus_eugenii
ENSSHAP00000014320	ENSSHAG00000012235	Sarcophilus_harrisii
ENSMODP00000035775	ENSMODG00000020370	Monodelphis_domestica
ENSOANP00000029977	ENSOANG00000031795	Ornithorhynchus_anatinus
ENSXETP00000033608	ENSXETG00000015439	Xenopus_tropicalis
ENSOANP00000030085	ENSOANG00000029213	Ornithorhynchus_anatinus
ENSPMGP00000003576	ENSPMGG00000003077	Periophthalmus_magnuspinnatus
ENSPMAP00000002899	ENSPMAG00000002646	Petromyzon_marinus	ENSPMAT00000002913
ENSEBUP00000017479	ENSEBUG00000010924	Eptatretus_burgeri	ENSEBUT00000018055
ENSEBUP00000025238	ENSEBUG00000015572	Eptatretus_burgeri	ENSEBUT00000025814
ENSEBUP00000013580	ENSEBUG00000008576	Eptatretus_burgeri	ENSEBUT00000014156
ENSDNOP00000030508	ENSDNOG00000036848	Dasypus_novemcinctus
ENSSPUP00000000572	ENSSPUG00000000513	Sphenodon_punctatus
ENSCINP00000022848	ENSCING00000012156	Ciona_intestinalis
ENSCINP00000016585	ENSCING00000008117	Ciona_intestinalis
ENSCINP00000036064	ENSCING00000019931	Ciona_intestinalis
ENSCSAVP00000018611	ENSCSAVG00000010939	Ciona_savignyi
