ENSCAFP00020000343	ENSCAFG00020000388	Canis_lupus_dingo
ENSCAFP00000006361	ENSCAFG00000004282	Canis_lupus_familiaris
ENSVVUP00000033216	ENSVVUG00000024024	Vulpes_vulpes
ENSSARP00000005023	ENSSARG00000005557	Sorex_araneus
MGP_SPRETEiJ_P0038808	MGP_SPRETEiJ_G0020286	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0038808
ENSMUSP00000014691	ENSMUSG00000014547	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000014691
ENSMSIP00000016181	ENSMSIG00000013924	Mus_spicilegus
MGP_CAROLIEiJ_P0037078	MGP_CAROLIEiJ_G0019394	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0085182	MGP_PahariEiJ_G0030412	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000074718	ENSRNOG00000010042	Rattus_norvegicus
ENSMUGP00000031437	ENSMUGG00000026144	Meriones_unguiculatus
ENSCGRP00015013842	ENSCGRG00015010584	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000025216	ENSCGRG00000018258	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001015736	ENSCGRG00001016257	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000008141	ENSMAUG00000009631	Mesocricetus_auratus
ENSMOCP00000025466	ENSMOCG00000021575	Microtus_ochrogaster
ENSPEMP00000000677	ENSPEMG00000000485	Peromyscus_maniculatus_bairdii
ENSNGAP00000015683	ENSNGAG00000016638	Nannospalax_galili
ENSCCNP00000026742	ENSCCNG00000025914	Castor_canadensis
ENSDORP00000010318	ENSDORG00000010977	Dipodomys_ordii
ENSSTOP00000003019	ENSSTOG00000003365	Ictidomys_tridecemlineatus
ENSUPAP00010004703	ENSUPAG00010003818	Urocitellus_parryii
ENSSDAP00000003562	ENSSDAG00000003360	Spermophilus_dauricus
ENSMMMP00000026150	ENSMMMG00000022905	Marmota_marmota_marmota
ENSCLAP00000006047	ENSCLAG00000004280	Chinchilla_lanigera
ENSODEP00000013082	ENSODEG00000009682	Octodon_degus
ENSCPOP00000002918	ENSCPOG00000003222	Cavia_porcellus
ENSCAPP00000009030	ENSCAPG00000010603	Cavia_aperea
ENSHGLP00000003223	ENSHGLG00000002396	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100013614	ENSHGLG00100010067	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000001505	ENSFDAG00000011464	Fukomys_damarensis
ENSOPRP00000012207	ENSOPRG00000013382	Ochotona_princeps
ENSOCUP00000030236	ENSOCUG00000010151	Oryctolagus_cuniculus
ENSTBEP00000013247	ENSTBEG00000015253	Tupaia_belangeri
ENSCANP00000010570	ENSCANG00000028696	Colobus_angolensis_palliatus
ENSGGOP00000022824	ENSGGOG00000025072	Gorilla_gorilla
ENSP00000298125	ENSG00000139668	Homo_sapiens
ENSPTRP00000010018	ENSPTRG00000005892	Pan_troglodytes
