ENSSPUP00000002993	ENSSPUG00000002328	Sphenodon_punctatus	ENSSPUT00000003178
ENSACAP00000000063	ENSACAG00000000064	Anolis_carolinensis	ENSACAT00000000064
ENSPCAP00000000625	ENSPCAG00000000693	Procavia_capensis
ENSETEP00000005290	ENSETEG00000006510	Echinops_telfairi
ENSCHOP00000007432	ENSCHOG00000008407	Choloepus_hoffmanni
ENSDNOP00000020246	ENSDNOG00000034564	Dasypus_novemcinctus
ENSHGLP00000011550	ENSHGLG00000008282	Heterocephalus_glaber_HetGla_female_1.0
ENSNGAP00000005533	ENSNGAG00000007901	Nannospalax_galili
ENSSDAP00000012939	ENSSDAG00000011653	Spermophilus_dauricus
ENSUPAP00010011136	ENSUPAG00010009029	Urocitellus_parryii
ENSTSYP00000010694	ENSTSYG00000011672	Carlito_syrichta
ENSTBEP00000013375	ENSTBEG00000015421	Tupaia_belangeri
ENSTTRP00000013052	ENSTTRG00000013760	Tursiops_truncatus
ENSSSCP00000043248	ENSSSCG00000013361	Sus_scrofa_strain_reference
ENSMLUP00000014929	ENSMLUG00000016373	Myotis_lucifugus
ENSVURP00010000132	ENSVURG00010000119	Vombatus_ursinus
ENSVURP00010025401	ENSVURG00010019438	Vombatus_ursinus
ENSMEUP00000000535	ENSMEUG00000000581	Notamacropus_eugenii
ENSMODP00000007907	ENSMODG00000006373	Monodelphis_domestica
ENSCSAVP00000012732	ENSCSAVG00000007474	Ciona_savignyi
ENSCINP00000026671	ENSCING00000014845	Ciona_intestinalis
ENSEBUP00000026618	ENSEBUG00000016396	Eptatretus_burgeri
ENSAPOP00000028310	ENSAPOG00000013452	Acanthochromis_polyacanthus
ENSACIP00000000393	ENSACIG00000000333	Amphilophus_citrinellus
ENSBSLP00000008316	ENSBSLG00000004232	Betta_splendens
ENSPKIP00000013300	ENSPKIG00000000785	Paramormyrops_kingsleyae
