ENSGACP00000012429	ENSGACG00000009430	Gasterosteus_aculeatus
ENSCGOP00000027498	ENSCGOG00000012931	Cottoperca_gobio
ENSPFOP00000026480	ENSPFOG00000023077	Poecilia_formosa
ENSPMEP00000021887	ENSPMEG00000002398	Poecilia_mexicana
ENSPREP00000029990	ENSPREG00000020306	Poecilia_reticulata
ENSXMAP00000034624	ENSXMAG00000025199	Xiphophorus_maculatus
ENSXCOP00000011640	ENSXCOG00000008790	Xiphophorus_couchianus
ENSFHEP00000000135	ENSFHEG00000023346	Fundulus_heteroclitus
ENSCVAP00000026846	ENSCVAG00000012701	Cyprinodon_variegatus
ENSORLP00020005793	ENSORLG00020006621	Oryzias_latipes_ASM223471v1
ENSORLP00015021123	ENSORLG00015022330	Oryzias_latipes_ASM223469v1
ENSORLP00000034891	ENSORLG00000027670	Oryzias_latipes_ASM223467v1
ENSOMEP00000014477	ENSOMEG00000015989	Oryzias_melastigma
ENSACLP00000010120	ENSACLG00000006920	Astatotilapia_calliptera
ENSMZEP00005036412	ENSMZEG00005027176	Maylandia_zebra
ENSPNYP00000022659	ENSPNYG00000017101	Pundamilia_nyererei
ENSHBUP00000004319	ENSHBUG00000005626	Haplochromis_burtoni
ENSNBRP00000024043	ENSNBRG00000018397	Neolamprologus_brichardi
ENSSDUP00000018945	ENSSDUG00000013839	Seriola_dumerili
ENSLCAP00010051548	ENSLCAG00010024009	Lates_calcarifer
ENSCSEP00000011864	ENSCSEG00000007650	Cynoglossus_semilaevis
ENSLBEP00000013175	ENSLBEG00000010138	Labrus_bergylta
ENSMAMP00000011177	ENSMAMG00000007575	Mastacembelus_armatus
ENSMALP00000020216	ENSMALG00000014117	Monopterus_albus
ENSAPEP00000005717	ENSAPEG00000004115	Amphiprion_percula
ENSAPOP00000016184	ENSAPOG00000019282	Acanthochromis_polyacanthus
ENSSPAP00000029582	ENSSPAG00000022236	Stegastes_partitus
ENSPRNP00000040560	ENSPRNG00000019915	Parambassis_ranga
ENSGMOP00000019262	ENSGMOG00000017920	Gadus_morhua
ENSHHUP00000004461	ENSHHUG00000002784	Hucho_hucho
ENSCSAVP00000003330	ENSCSAVG00000001985	Ciona_savignyi
ENSCINP00000014296	ENSCING00000006963	Ciona_intestinalis
