ENSBMUP00000006319	ENSBMUG00000004965	Bos_mutus
ENSBTAP00000073143	ENSBTAG00000052931	Bos_taurus
ENSBBBP00000006789	ENSBBBG00000015021	Bison_bison_bison
ENSMOCP00000014789	ENSMOCG00000014174	Microtus_ochrogaster
ENSCGRP00001006703	ENSCGRG00001009112	Cricetulus_griseus_CHOK1GS_HDv1
ENSMMMP00000009269	ENSMMMG00000008308	Marmota_marmota_marmota
ENSRNOP00000065164	ENSRNOG00000047236	Rattus_norvegicus
ENSMSIP00000018796	ENSMSIG00000016016	Mus_spicilegus
ENSCCNP00000005910	ENSCCNG00000006271	Castor_canadensis
ENSTGEP00000018102	ENSTGEG00000014644	Theropithecus_gelada
ENSMUGP00000017705	ENSMUGG00000015051	Meriones_unguiculatus
ENSVVUP00000029713	ENSVVUG00000021726	Vulpes_vulpes
ENSCAFP00000055897	ENSCAFG00000041038	Canis_lupus_familiaris
ENSUMAP00000012006	ENSUMAG00000008990	Ursus_maritimus
ENSPTEP00000016192	ENSPTEG00000017803	Piliocolobus_tephrosceles
ENSCJAP00000061897	ENSCJAG00000045962	Callithrix_jacchus
ENSPSMP00000023167	ENSPSMG00000016391	Prolemur_simus
ENSSDAP00000016904	ENSSDAG00000015308	Spermophilus_dauricus
ENSFCAP00000057719	ENSFCAG00000049224	Felis_catus
ENSMODP00000044610	ENSMODG00000047984	Monodelphis_domestica
