ENSPMAP00000008905	ENSPMAG00000008081	Petromyzon_marinus	ENSPMAT00000008944
ENSEBUP00000021269	ENSEBUG00000013142	Eptatretus_burgeri	ENSEBUT00000021845
ENSPCOP00000006310	ENSPCOG00000014298	Propithecus_coquereli
ENSPSMP00000035051	ENSPSMG00000024153	Prolemur_simus
ENSMICP00000016982	ENSMICG00000026886	Microcebus_murinus
ENSOGAP00000014827	ENSOGAG00000016564	Otolemur_garnettii
ENSPTRP00000021620	ENSPTRG00000012652	Pan_troglodytes
ENSPPAP00000037438	ENSPPAG00000041485	Pan_paniscus
ENSP00000339723	ENSG00000138433	Homo_sapiens
ENSPPYP00000014454	ENSPPYG00000012945	Pongo_abelii
ENSNLEP00000007113	ENSNLEG00000005869	Nomascus_leucogenys
ENSNLEP00000037984	ENSNLEG00000002490	Nomascus_leucogenys
ENSCSAP00000010710	ENSCSAG00000014627	Chlorocebus_sabaeus
ENSMMUP00000030291	ENSMMUG00000023006	Macaca_mulatta
ENSTGEP00000024891	ENSTGEG00000020102	Theropithecus_gelada
ENSRROP00000006802	ENSRROG00000026441	Rhinopithecus_roxellana
ENSRBIP00000001061	ENSRBIG00000005606	Rhinopithecus_bieti
ENSRROP00000029401	ENSRROG00000038503	Rhinopithecus_roxellana
ENSCANP00000022586	ENSCANG00000034721	Colobus_angolensis_palliatus
ENSPTEP00000042505	ENSPTEG00000038775	Piliocolobus_tephrosceles
ENSMNEP00000045230	ENSMNEG00000045151	Macaca_nemestrina
ENSMFAP00000041256	ENSMFAG00000041382	Macaca_fascicularis
ENSPANP00000023926	ENSPANG00000033102	Papio_anubis
ENSMLEP00000002239	ENSMLEG00000009014	Mandrillus_leucophaeus
ENSCATP00000022369	ENSCATG00000034814	Cercocebus_atys
ENSRBIP00000040212	ENSRBIG00000043539	Rhinopithecus_bieti
ENSRBIP00000031856	ENSRBIG00000039741	Rhinopithecus_bieti
ENSRROP00000023911	ENSRROG00000035775	Rhinopithecus_roxellana
ENSSBOP00000024072	ENSSBOG00000028527	Saimiri_boliviensis_boliviensis
ENSCCAP00000025414	ENSCCAG00000030492	Cebus_capucinus_imitator
ENSCJAP00000060373	ENSCJAG00000007884	Callithrix_jacchus
ENSANAP00000004316	ENSANAG00000020255	Aotus_nancymaae
ENSTSYP00000011344	ENSTSYG00000012363	Carlito_syrichta
ENSTSYP00000025647	ENSTSYG00000033356	Carlito_syrichta
ENSOCUP00000026357	ENSOCUG00000029298	Oryctolagus_cuniculus
ENSOPRP00000009586	ENSOPRG00000010492	Ochotona_princeps
ENSPVAP00000009909	ENSPVAG00000010517	Pteropus_vampyrus
ENSSARP00000009507	ENSSARG00000010527	Sorex_araneus
ENSDNOP00000032041	ENSDNOG00000033913	Dasypus_novemcinctus
ENSCHOP00000003974	ENSCHOG00000004493	Choloepus_hoffmanni
ENSETEP00000008170	ENSETEG00000010061	Echinops_telfairi
ENSMPUP00000018640	ENSMPUG00000018760	Mustela_putorius_furo
ENSMPUP00000013838	ENSMPUG00000013943	Mustela_putorius_furo
ENSNVIP00000010671	ENSNVIG00000008463	Neovison_vison
ENSUMAP00000021093	ENSUMAG00000015415	Ursus_maritimus
ENSUAMP00000033628	ENSUAMG00000025622	Ursus_americanus
ENSAMEP00000012865	ENSAMEG00000012211	Ailuropoda_melanoleuca
ENSCAFP00020007231	ENSCAFG00020005869	Canis_lupus_dingo
ENSCAFP00000063913	ENSCAFG00000042181	Canis_lupus_familiaris
ENSVVUP00000017595	ENSVVUG00000012957	Vulpes_vulpes
ENSPTIP00000006931	ENSPTIG00000008708	Panthera_tigris_altaica
ENSPPRP00000008905	ENSPPRG00000003553	Panthera_pardus
