ENSCVAP00000008396	ENSCVAG00000010203	Cyprinodon_variegatus
ENSLBEP00000036294	ENSLBEG00000027121	Labrus_bergylta
ENSXETP00000052026	ENSXETG00000019080	Xenopus_tropicalis
ENSBIXP00005010992	ENSBIXG00005015514	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCANP00000022004	ENSCANG00000034443	Colobus_angolensis_palliatus
ENSMVIP00005018395	ENSMVIG00005013071	Manacus_vitellinus
ENSATEP00000013822	ENSATEG00000009339	Anabas_testudineus
ENSBIXP00000001111	ENSBIXG00000028939	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSORLP00000010240	ENSORLG00000008154	Oryzias_latipes_ASM223467v1
ENSUAMP00000018375	ENSUAMG00000014574	Ursus_americanus
ENSMZEP00005019865	ENSMZEG00005014915	Maylandia_zebra
ENSMOCP00000009776	ENSMOCG00000009961	Microtus_ochrogaster
ENSPSIP00000004556	ENSPSIG00000004275	Pelodiscus_sinensis
ENSPNYP00000021205	ENSPNYG00000016021	Pundamilia_nyererei
ENSMMMP00000003718	ENSMMMG00000003394	Marmota_marmota_marmota
ENSCAFP00000027857	ENSCAFG00000018885	Canis_lupus_familiaris
ENSSPAP00000028859	ENSSPAG00000021402	Stegastes_partitus
ENSMLEP00000000651	ENSMLEG00000002189	Mandrillus_leucophaeus
ENSMUGP00000004968	ENSMUGG00000004577	Meriones_unguiculatus
ENSTNIP00000008263	ENSTNIG00000005564	Tetraodon_nigroviridis
ENSPMEP00000003209	ENSPMEG00000004323	Poecilia_mexicana
ENSLACP00000014353	ENSLACG00000012633	Latimeria_chalumnae
ENSSTOP00000030523	ENSSTOG00000003669	Ictidomys_tridecemlineatus
ENSPVAP00000011923	ENSPVAG00000012644	Pteropus_vampyrus	ENSPVAT00000012644
ENSPMGP00000026110	ENSPMGG00000021064	Periophthalmus_magnuspinnatus
ENSBTAP00000007037	ENSBTAG00000005352	Bos_taurus
ENSNGAP00000011009	ENSNGAG00000013276	Nannospalax_galili
ENSVVUP00000028705	ENSVVUG00000020995	Vulpes_vulpes
ENSGALP00000006416	ENSGALG00000004035	Gallus_gallus
ENSPSMP00000036589	ENSPSMG00000025174	Prolemur_simus
ENSSMAP00000029773	ENSSMAG00000018250	Scophthalmus_maximus
ENSPCIP00000019517	ENSPCIG00000014910	Phascolarctos_cinereus	ENSPCIT00000024111
ENSXMAP00000011765	ENSXMAG00000011723	Xiphophorus_maculatus
ENSEEUP00000007646	ENSEEUG00000008402	Erinaceus_europaeus
ENSNBRP00000017287	ENSNBRG00000013366	Neolamprologus_brichardi
ENSSSCP00000067493	ENSSSCG00000040641	Sus_scrofa_strain_reference
ENSOCUP00000010566	ENSOCUG00000012276	Oryctolagus_cuniculus
ENSMMUP00000016888	ENSMMUG00000012855	Macaca_mulatta
ENSTRUP00000041164	ENSTRUG00000016104	Takifugu_rubripes
ENSTGUP00000006460	ENSTGUG00000006292	Taeniopygia_guttata
ENSCSAP00000003291	ENSCSAG00000007018	Chlorocebus_sabaeus
ENSELUP00000006450	ENSELUG00000007327	Esox_lucius
ENSEEEP00000019107	ENSEEEG00000009304	Electrophorus_electricus
ENSNVIP00000020299	ENSNVIG00000015889	Neovison_vison
ENSBBBP00000012171	ENSBBBG00000020034	Bison_bison_bison
ENSPTIP00000017143	ENSPTIG00000015671	Panthera_tigris_altaica
ENSOGAP00000012596	ENSOGAG00000014064	Otolemur_garnettii
ENSAPEP00000020830	ENSAPEG00000014865	Amphiprion_percula
ENSHCOP00000025771	ENSHCOG00000016152	Hippocampus_comes
ENSMUSP00000077693	ENSMUSG00000000724	Mus_musculus_strain_reference_(CL57BL6)
ENSFHEP00000018823	ENSFHEG00000020726	Fundulus_heteroclitus
ENSPEMP00000024714	ENSPEMG00000021356	Peromyscus_maniculatus_bairdii
ENSNPEP00000014663	ENSNPEG00000010957	Nothoprocta_perdicaria
ENSVPAP00000004960	ENSVPAG00000005342	Vicugna_pacos
ENSPCAP00000005854	ENSPCAG00000006293	Procavia_capensis
ENSIPUP00000034714	ENSIPUG00000023326	Ictalurus_punctatus
ENSDARP00000048719	ENSDARG00000041141	Danio_rerio
ENSORLP00015022523	ENSORLG00015001960	Oryzias_latipes_ASM223469v1
ENSPTRP00000015273	ENSPTRG00000008946	Pan_troglodytes
ENSPMEP00000019700	ENSPMEG00000023343	Poecilia_mexicana
ENSKMAP00000021988	ENSKMAG00000016338	Kryptolebias_marmoratus
ENSVURP00010012404	ENSVURG00010009583	Vombatus_ursinus	ENSVURT00010014121
ENSTGEP00000012676	ENSTGEG00000010349	Theropithecus_gelada
ENSSPUP00000006638	ENSSPUG00000005105	Sphenodon_punctatus
ENSLSDP00000020971	ENSLSDG00000014839	Lonchura_striata_domestica
ENSCHOP00000002998	ENSCHOG00000003390	Choloepus_hoffmanni
ENSOARP00000007013	ENSOARG00000006550	Ovis_aries
ENSSFOP00015022273	ENSSFOG00015014332	Scleropages_formosus
ENSAPLP00000027605	ENSAPLG00000023591	Anas_platyrhynchos_platyrhynchos
ENSFALP00000006539	ENSFALG00000006270	Ficedula_albicollis
ENSRROP00000045354	ENSRROG00000045584	Rhinopithecus_roxellana
ENSODEP00000012840	ENSODEG00000009503	Octodon_degus
ENSPRNP00000012285	ENSPRNG00000006848	Parambassis_ranga
ENSMODP00000024119	ENSMODG00000019325	Monodelphis_domestica	ENSMODT00000024546
ENSSBOP00000020133	ENSSBOG00000026676	Saimiri_boliviensis_boliviensis
ENSORLP00020019851	ENSORLG00020020835	Oryzias_latipes_ASM223471v1
ENSCGRP00015021954	ENSCGRG00015016733	Cricetulus_griseus_CriGri-PICR
ENSPPAP00000001467	ENSPPAG00000006625	Pan_paniscus
ENSAOCP00000020763	ENSAOCG00000005098	Amphiprion_ocellaris
ENSLAFP00000010277	ENSLAFG00000012297	Loxodonta_africana
ENSGGOP00000002257	ENSGGOG00000002292	Gorilla_gorilla
ENSJHYP00000007853	ENSJHYG00000006251	Junco_hyemalis
ENSMSIP00000034369	ENSMSIG00000028664	Mus_spicilegus
ENSCLAP00000014667	ENSCLAG00000010128	Chinchilla_lanigera
ENSEASP00005014065	ENSEASG00005009803	Equus_asinus_asinus
ENSSARP00000006524	ENSSARG00000007204	Sorex_araneus
ENSSFOP00015010462	ENSSFOG00015006780	Scleropages_formosus
MGP_SPRETEiJ_P0029838	MGP_SPRETEiJ_G0017623	Mus_spretus_strain_SPRET/EiJ
ENSANAP00000023824	ENSANAG00000029654	Aotus_nancymaae
ENSACAP00000012681	ENSACAG00000012895	Anolis_carolinensis
ENSCABP00000011156	ENSCABG00000008343	Chelonoidis_abingdonii
ENSHBUP00000013826	ENSHBUG00000015641	Haplochromis_burtoni
ENSXCOP00000016922	ENSXCOG00000012761	Xiphophorus_couchianus
ENSGAFP00000015084	ENSGAFG00000010196	Gambusia_affinis
ENSCGOP00000014680	ENSCGOG00000007151	Cottoperca_gobio
ENSSLDP00000021545	ENSSLDG00000016828	Seriola_lalandi_dorsalis
ENSSDAP00000001090	ENSSDAG00000001088	Spermophilus_dauricus
ENSCPUP00000029742	ENSCPUG00000019920	Calidris_pugnax
ENSCCAP00000029126	ENSCCAG00000032609	Cebus_capucinus_imitator
ENSCHAP00000031946	ENSCHAG00000015233	Clupea_harengus
ENSOMEP00000031993	ENSOMEG00000017164	Oryzias_melastigma
MGP_CAROLIEiJ_P0028442	MGP_CAROLIEiJ_G0016780	Mus_caroli_strain_CAROLI_EIJ
ENSCJPP00005014614	ENSCJPG00005012185	Coturnix_japonica
ENSECAP00000001721	ENSECAG00000001331	Equus_caballus
ENSPPRP00000008871	ENSPPRG00000003519	Panthera_pardus
ENSHHUP00000069881	ENSHHUG00000041130	Hucho_hucho
ENSTBEP00000006945	ENSTBEG00000008023	Tupaia_belangeri
ENSSDUP00000003522	ENSSDUG00000002674	Seriola_dumerili
ENSBMUP00000011511	ENSBMUG00000008839	Bos_mutus
MGP_PahariEiJ_P0035181	MGP_PahariEiJ_G0017917	Mus_pahari_strain_PAHARI_EIJ
ENSACIP00000023058	ENSACIG00000017670	Amphilophus_citrinellus
