ENSDCDP00000044086	ENSDCDG00000028062	Denticeps_clupeoides
ENSCHAP00000021860	ENSCHAG00000010995	Clupea_harengus
ENSHHUP00000063336	ENSHHUG00000037428	Hucho_hucho
ENSCSEP00000028697	ENSCSEG00000018375	Cynoglossus_semilaevis
ENSELUP00000011165	ENSELUG00000011613	Esox_lucius
ENSHHUP00000000676	ENSHHUG00000000466	Hucho_hucho
ENSLOCP00000014243	ENSLOCG00000011589	Lepisosteus_oculatus
ENSECRP00000018211	ENSECRG00000012177	Erpetoichthys_calabaricus
ENSPSIP00000014252	ENSPSIG00000012778	Pelodiscus_sinensis	ENSPSIT00000014319
ENSPSIP00000015995	ENSPSIG00000014267	Pelodiscus_sinensis	ENSPSIT00000016070
ENSCABP00000013362	ENSCABG00000009994	Chelonoidis_abingdonii	ENSCABT00000014657
ENSGAGP00000007515	ENSGAGG00000006013	Gopherus_agassizii	ENSGAGT00000008679
ENSCPBP00000027598	ENSCPBG00000019502	Chrysemys_picta_bellii
ENSCPRP00005009685	ENSCPRG00005006891	Crocodylus_porosus
ENSPVIP00000015709	ENSPVIG00000012104	Pogona_vitticeps
ENSNSUP00000003559	ENSNSUG00000002887	Notechis_scutatus
ENSACAP00000012709	ENSACAG00000012921	Anolis_carolinensis
ENSSMRP00000010704	ENSSMRG00000008464	Salvator_merianae
ENSSPUP00000009786	ENSSPUG00000007576	Sphenodon_punctatus
ENSABRP00000016271	ENSABRG00000014272	Anser_brachyrhynchus
ENSAPLP00000024037	ENSAPLG00000022561	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000010297	ENSMGAG00000009940	Meleagris_gallopavo
ENSCJPP00005001020	ENSCJPG00005001104	Coturnix_japonica
ENSGALP00000053331	ENSGALG00000031160	Gallus_gallus
ENSNMEP00000022191	ENSNMEG00000018974	Numida_meleagris
ENSCPUP00000000415	ENSCPUG00000000363	Calidris_pugnax
ENSCPGP00000004581	ENSCPGG00000003346	Calidris_pygmaea
ENSMVIP00005008257	ENSMVIG00005006176	Manacus_vitellinus
ENSLCOP00000016370	ENSLCOG00000011669	Lepidothrix_coronata
ENSTGUP00000001699	ENSTGUG00000001644	Taeniopygia_guttata
ENSLSDP00000025878	ENSLSDG00000018068	Lonchura_striata_domestica
ENSFALP00000008755	ENSFALG00000008394	Ficedula_albicollis
ENSJHYP00000000319	ENSJHYG00000000315	Junco_hyemalis
ENSZALP00000003228	ENSZALG00000003281	Zonotrichia_albicollis
ENSSCAP00000005499	ENSSCAG00000004385	Serinus_canaria
ENSPMJP00000001271	ENSPMJG00000001058	Parus_major
ENSCCEP00000025012	ENSCCEG00000022136	Cyanistes_caeruleus
ENSMUNP00000015599	ENSMUNG00000012025	Melopsittacus_undulatus
ENSAHAP00000010466	ENSAHAG00000007586	Apteryx_haastii
ENSARWP00000004156	ENSARWG00000003055	Apteryx_rowi
ENSAOWP00000028327	ENSAOWG00000019070	Apteryx_owenii
ENSDNVP00000010697	ENSDNVG00000007567	Dromaius_novaehollandiae
ENSNPEP00000011837	ENSNPEG00000008877	Nothoprocta_perdicaria
ENSLAFP00000014278	ENSLAFG00000017032	Loxodonta_africana
ENSPCAP00000013034	ENSPCAG00000013949	Procavia_capensis
ENSETEP00000011183	ENSETEG00000013786	Echinops_telfairi
ENSSDAP00000027093	ENSSDAG00000024550	Spermophilus_dauricus
ENSUPAP00010013661	ENSUPAG00010011010	Urocitellus_parryii
ENSSTOP00000010381	ENSSTOG00000011569	Ictidomys_tridecemlineatus
ENSUPAP00010014473	ENSUPAG00010011612	Urocitellus_parryii
ENSMMMP00000028317	ENSMMMG00000024677	Marmota_marmota_marmota
ENSCHOP00000006639	ENSCHOG00000007496	Choloepus_hoffmanni
ENSUMAP00000004681	ENSUMAG00000003757	Ursus_maritimus
ENSUAMP00000010871	ENSUAMG00000008901	Ursus_americanus
ENSAMEP00000006244	ENSAMEG00000005896	Ailuropoda_melanoleuca
ENSNVIP00000020918	ENSNVIG00000016382	Neovison_vison
ENSMPUP00000009423	ENSMPUG00000009499	Mustela_putorius_furo
ENSCAFP00020034931	ENSCAFG00020027060	Canis_lupus_dingo
ENSCAFP00000004324	ENSCAFG00000002922	Canis_lupus_familiaris
ENSVVUP00000005279	ENSVVUG00000004150	Vulpes_vulpes
ENSPPRP00000003236	ENSPPRG00000022913	Panthera_pardus
ENSPTIP00000006039	ENSPTIG00000008060	Panthera_tigris_altaica
ENSFCAP00000029745	ENSFCAG00000007270	Felis_catus
ENSEASP00005024554	ENSEASG00005016685	Equus_asinus_asinus
ENSECAP00000042874	ENSECAG00000024208	Equus_caballus
ENSSARP00000010559	ENSSARG00000011681	Sorex_araneus
ENSOARP00000012757	ENSOARG00000011898	Ovis_aries
ENSCHIP00000024381	ENSCHIG00000021580	Capra_hircus
ENSBIXP00005043841	ENSBIXG00005027615	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00005034960	ENSBIXG00005016014	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000022620	ENSBIXG00000025418	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000011313	ENSBTAG00000008577	Bos_taurus
ENSBMUP00000009160	ENSBMUG00000007139	Bos_mutus
ENSBBBP00000021717	ENSBBBG00000015321	Bison_bison_bison
ENSTTRP00000007964	ENSTTRG00000008405	Tursiops_truncatus
ENSSSCP00000009540	ENSSSCG00000008940	Sus_scrofa_strain_reference
ENSVPAP00000011062	ENSVPAG00000011889	Vicugna_pacos
ENSPVAP00000004106	ENSPVAG00000004338	Pteropus_vampyrus
ENSMLUP00000017884	ENSMLUG00000028158	Myotis_lucifugus
ENSLAFP00000026901	ENSLAFG00000031150	Loxodonta_africana
ENSDNOP00000023536	ENSDNOG00000042192	Dasypus_novemcinctus
ENSPPAP00000039529	ENSPPAG00000042456	Pan_paniscus
ENSPTRP00000027739	ENSPTRG00000016136	Pan_troglodytes
ENSP00000254799	ENSG00000132463	Homo_sapiens
ENSGGOP00000014489	ENSGGOG00000014852	Gorilla_gorilla
ENSPPYP00000016541	ENSPPYG00000014812	Pongo_abelii
ENSNLEP00000027245	ENSNLEG00000004596	Nomascus_leucogenys
ENSNLEP00000042398	ENSNLEG00000007721	Nomascus_leucogenys
ENSCCAP00000012792	ENSCCAG00000024189	Cebus_capucinus_imitator
ENSMFAP00000006484	ENSMFAG00000037346	Macaca_fascicularis
ENSMNEP00000005085	ENSMNEG00000023162	Macaca_nemestrina
ENSMLEP00000001839	ENSMLEG00000007180	Mandrillus_leucophaeus
ENSTGEP00000020127	ENSTGEG00000016189	Theropithecus_gelada
ENSPANP00000006829	ENSPANG00000018597	Papio_anubis
ENSCATP00000024604	ENSCATG00000035808	Cercocebus_atys
ENSCSAP00000001177	ENSCSAG00000004856	Chlorocebus_sabaeus
ENSPTEP00000008689	ENSPTEG00000009857	Piliocolobus_tephrosceles
ENSCANP00000028962	ENSCANG00000037992	Colobus_angolensis_palliatus
ENSRBIP00000025223	ENSRBIG00000036494	Rhinopithecus_bieti
ENSRROP00000023825	ENSRROG00000035735	Rhinopithecus_roxellana
ENSMMUP00000035108	ENSMMUG00000000380	Macaca_mulatta
ENSCJAP00000026657	ENSCJAG00000014477	Callithrix_jacchus
ENSCCAP00000021814	ENSCCAG00000028735	Cebus_capucinus_imitator
ENSSBOP00000031895	ENSSBOG00000032141	Saimiri_boliviensis_boliviensis
ENSANAP00000008186	ENSANAG00000022114	Aotus_nancymaae
ENSTSYP00000007777	ENSTSYG00000008487	Carlito_syrichta
ENSTSYP00000021931	ENSTSYG00000028860	Carlito_syrichta
ENSTSYP00000023336	ENSTSYG00000027344	Carlito_syrichta
ENSPSMP00000020389	ENSPSMG00000014371	Prolemur_simus
ENSPCOP00000027567	ENSPCOG00000026298	Propithecus_coquereli
ENSMICP00000027422	ENSMICG00000005385	Microcebus_murinus
ENSOGAP00000000125	ENSOGAG00000000141	Otolemur_garnettii
ENSOGAP00000015980	ENSOGAG00000026370	Otolemur_garnettii
ENSCCNP00000001041	ENSCCNG00000001139	Castor_canadensis
ENSDORP00000022797	ENSDORG00000015145	Dipodomys_ordii
MGP_SPRETEiJ_P0071634	MGP_SPRETEiJ_G0028374	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000020330	ENSMSIG00000017215	Mus_spicilegus
ENSMUSP00000077972	ENSMUSG00000044221	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0068972	MGP_CAROLIEiJ_G0027377	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0032138	MGP_PahariEiJ_G0017155	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000004551	ENSRNOG00000003392	Rattus_norvegicus
ENSMUGP00000011079	ENSMUGG00000009705	Meriones_unguiculatus
ENSCGRP00000007366	ENSCGRG00000005357	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001020967	ENSCGRG00001019953	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015025412	ENSCGRG00015019290	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000012488	ENSPEMG00000012814	Peromyscus_maniculatus_bairdii
ENSMOCP00000012777	ENSMOCG00000012769	Microtus_ochrogaster
ENSNGAP00000023624	ENSNGAG00000022132	Nannospalax_galili
ENSOCUP00000008638	ENSOCUG00000010029	Oryctolagus_cuniculus
ENSOPRP00000009268	ENSOPRG00000010148	Ochotona_princeps
ENSHGLP00100008031	ENSHGLG00100005974	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000000794	ENSHGLG00000000661	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000020805	ENSFDAG00000008167	Fukomys_damarensis
ENSODEP00000002346	ENSODEG00000001826	Octodon_degus
ENSODEP00000006555	ENSODEG00000004897	Octodon_degus
ENSODEP00000014563	ENSODEG00000010775	Octodon_degus
ENSCLAP00000004297	ENSCLAG00000003057	Chinchilla_lanigera
ENSCAPP00000000195	ENSCAPG00000000156	Cavia_aperea
ENSCPOP00000010488	ENSCPOG00000011662	Cavia_porcellus
ENSJJAP00000002898	ENSJJAG00000005325	Jaculus_jaculus
ENSTBEP00000008794	ENSTBEG00000010173	Tupaia_belangeri
ENSEEUP00000000913	ENSEEUG00000001022	Erinaceus_europaeus
ENSVURP00010011820	ENSVURG00010009146	Vombatus_ursinus
ENSPCIP00000000761	ENSPCIG00000000627	Phascolarctos_cinereus
ENSMEUP00000014558	ENSMEUG00000015942	Notamacropus_eugenii
ENSSHAP00000021688	ENSSHAG00000018365	Sarcophilus_harrisii
ENSMODP00000023826	ENSMODG00000019088	Monodelphis_domestica
ENSOANP00000021600	ENSOANG00000013696	Ornithorhynchus_anatinus
ENSXETP00000050587	ENSXETG00000020358	Xenopus_tropicalis
ENSLACP00000010797	ENSLACG00000009507	Latimeria_chalumnae
ENSCMIP00000040560	ENSCMIG00000016902	Callorhinchus_milii
