ENSPCIP00000020617	ENSPCIG00000015677	Phascolarctos_cinereus
ENSVURP00010016879	ENSVURG00010012184	Vombatus_ursinus
ENSMEUP00000007117	ENSMEUG00000007791	Notamacropus_eugenii
ENSSHAP00000008204	ENSSHAG00000007111	Sarcophilus_harrisii
ENSMODP00000002624	ENSMODG00000002158	Monodelphis_domestica
ENSUPAP00010009932	ENSUPAG00010008040	Urocitellus_parryii
ENSSTOP00000006199	ENSSTOG00000006940	Ictidomys_tridecemlineatus
ENSMMMP00000017382	ENSMMMG00000015427	Marmota_marmota_marmota
ENSSDAP00000015338	ENSSDAG00000013769	Spermophilus_dauricus
ENSCPOP00000010141	ENSCPOG00000011278	Cavia_porcellus
ENSCAPP00000014910	ENSCAPG00000015175	Cavia_aperea
ENSCLAP00000016261	ENSCLAG00000011192	Chinchilla_lanigera
ENSODEP00000007342	ENSODEG00000005476	Octodon_degus
ENSHGLP00100013424	ENSHGLG00100009930	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000005663	ENSHGLG00000004139	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000015949	ENSFDAG00000004165	Fukomys_damarensis
ENSCGRP00001000188	ENSCGRG00001000173	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015009283	ENSCGRG00015007157	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000007991	ENSCGRG00000005828	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000022751	ENSMAUG00000020078	Mesocricetus_auratus
ENSPEMP00000015880	ENSPEMG00000015283	Peromyscus_maniculatus_bairdii
ENSMOCP00000024986	ENSMOCG00000021240	Microtus_ochrogaster
ENSMSIP00000019057	ENSMSIG00000016226	Mus_spicilegus
ENSMUSP00000129186	ENSMUSG00000022752	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0043791	MGP_SPRETEiJ_G0021720	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0041915	MGP_CAROLIEiJ_G0020820	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0029275	MGP_PahariEiJ_G0016520	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000002238	ENSRNOG00000001640	Rattus_norvegicus
ENSMUGP00000032701	ENSMUGG00000027147	Meriones_unguiculatus
ENSMUGP00000032648	ENSMUGG00000027119	Meriones_unguiculatus
ENSNGAP00000006618	ENSNGAG00000009885	Nannospalax_galili
ENSJJAP00000011700	ENSJJAG00000014958	Jaculus_jaculus
ENSDORP00000008450	ENSDORG00000009000	Dipodomys_ordii
ENSTBEP00000005681	ENSTBEG00000006591	Tupaia_belangeri
ENSRROP00000001253	ENSRROG00000004838	Rhinopithecus_roxellana
ENSRBIP00000039512	ENSRBIG00000043212	Rhinopithecus_bieti
ENSCANP00000035436	ENSCANG00000041400	Colobus_angolensis_palliatus
ENSPTEP00000030169	ENSPTEG00000029448	Piliocolobus_tephrosceles
ENSTGEP00000029170	ENSTGEG00000023461	Theropithecus_gelada
ENSCSAP00000002360	ENSCSAG00000006060	Chlorocebus_sabaeus
ENSPANP00000003197	ENSPANG00000025904	Papio_anubis
ENSMFAP00000043701	ENSMFAG00000039250	Macaca_fascicularis
ENSMMUP00000026330	ENSMMUG00000020025	Macaca_mulatta
ENSMNEP00000004094	ENSMNEG00000019074	Macaca_nemestrina
ENSCATP00000018079	ENSCATG00000032909	Cercocebus_atys
ENSMLEP00000014819	ENSMLEG00000031546	Mandrillus_leucophaeus
ENSPTRP00000026165	ENSPTRG00000015162	Pan_troglodytes
ENSPPAP00000014473	ENSPPAG00000030393	Pan_paniscus
ENSP00000284320	ENSG00000154174	Homo_sapiens
ENSGGOP00000003669	ENSGGOG00000003732	Gorilla_gorilla
ENSPPYP00000015206	ENSPPYG00000013603	Pongo_abelii
ENSNLEP00000003292	ENSNLEG00000002680	Nomascus_leucogenys
ENSCJAP00000001017	ENSCJAG00000000584	Callithrix_jacchus
ENSSBOP00000015458	ENSSBOG00000024449	Saimiri_boliviensis_boliviensis
ENSCCAP00000028569	ENSCCAG00000032264	Cebus_capucinus_imitator
ENSANAP00000005549	ENSANAG00000020825	Aotus_nancymaae
ENSTSYP00000003437	ENSTSYG00000003752	Carlito_syrichta
ENSPCOP00000004885	ENSPCOG00000013243	Propithecus_coquereli
ENSMICP00000051550	ENSMICG00000049013	Microcebus_murinus
ENSPSMP00000025373	ENSPSMG00000017804	Prolemur_simus
ENSOGAP00000014018	ENSOGAG00000015645	Otolemur_garnettii
ENSSARP00000010107	ENSSARG00000011175	Sorex_araneus
ENSEEUP00000007597	ENSEEUG00000008345	Erinaceus_europaeus
ENSPVAP00000009952	ENSPVAG00000010564	Pteropus_vampyrus
ENSMLUP00000003957	ENSMLUG00000004351	Myotis_lucifugus
ENSBIXP00000025838	ENSBIXG00000027946	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005014488	ENSBIXG00005002989	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000019001	ENSBTAG00000014302	Bos_taurus
ENSBMUP00000012540	ENSBMUG00000009593	Bos_mutus
ENSBBBP00000013570	ENSBBBG00000021250	Bison_bison_bison
ENSOARP00000019333	ENSOARG00000018010	Ovis_aries
ENSCHIP00000019725	ENSCHIG00000018620	Capra_hircus
ENSTTRP00000007751	ENSTTRG00000008190	Tursiops_truncatus
ENSSSCP00000065385	ENSSSCG00000011963	Sus_scrofa_strain_reference
ENSVPAP00000004995	ENSVPAG00000005378	Vicugna_pacos
ENSUAMP00000032875	ENSUAMG00000025060	Ursus_americanus
ENSAMEP00000004189	ENSAMEG00000003947	Ailuropoda_melanoleuca
ENSMPUP00000011364	ENSMPUG00000011454	Mustela_putorius_furo
ENSNVIP00000021974	ENSNVIG00000017175	Neovison_vison
ENSCAFP00000013696	ENSCAFG00000009301	Canis_lupus_familiaris
ENSCAFP00020011651	ENSCAFG00020009383	Canis_lupus_dingo
ENSVVUP00000029625	ENSVVUG00000021667	Vulpes_vulpes
ENSPPRP00000017270	ENSPPRG00000009283	Panthera_pardus
ENSPTIP00000019277	ENSPTIG00000017112	Panthera_tigris_altaica
ENSFCAP00000020289	ENSFCAG00000030491	Felis_catus
ENSEASP00005015794	ENSEASG00005010992	Equus_asinus_asinus
ENSECAP00000013027	ENSECAG00000015142	Equus_caballus
ENSUMAP00000002333	ENSUMAG00000002032	Ursus_maritimus
ENSCCNP00000021578	ENSCCNG00000021343	Castor_canadensis
ENSPCAP00000008670	ENSPCAG00000009275	Procavia_capensis
ENSDNOP00000033602	ENSDNOG00000035215	Dasypus_novemcinctus
ENSCHOP00000003792	ENSCHOG00000004283	Choloepus_hoffmanni
ENSOPRP00000002834	ENSOPRG00000003077	Ochotona_princeps
ENSOCUP00000001094	ENSOCUG00000001266	Oryctolagus_cuniculus
ENSLAFP00000005325	ENSLAFG00000006338	Loxodonta_africana
ENSETEP00000002973	ENSETEG00000003620	Echinops_telfairi
ENSOANP00000030132	ENSOANG00000007525	Ornithorhynchus_anatinus
ENSCABP00000016293	ENSCABG00000011998	Chelonoidis_abingdonii
ENSGAGP00000009065	ENSGAGG00000007156	Gopherus_agassizii
ENSCPBP00000004955	ENSCPBG00000003983	Chrysemys_picta_bellii
ENSPSIP00000004175	ENSPSIG00000003924	Pelodiscus_sinensis	ENSPSIT00000004198
ENSCPRP00005006557	ENSCPRG00005004539	Crocodylus_porosus
ENSLCOP00000012498	ENSLCOG00000008928	Lepidothrix_coronata
ENSMVIP00005015682	ENSMVIG00005011207	Manacus_vitellinus
ENSLSDP00000002680	ENSLSDG00000002119	Lonchura_striata_domestica
ENSTGUP00000014038	ENSTGUG00000013631	Taeniopygia_guttata
ENSPMJP00000014710	ENSPMJG00000011162	Parus_major
ENSJHYP00000012731	ENSJHYG00000009896	Junco_hyemalis
ENSZALP00000019397	ENSZALG00000015388	Zonotrichia_albicollis
ENSFALP00000006174	ENSFALG00000005904	Ficedula_albicollis
ENSCCEP00000016896	ENSCCEG00000015534	Cyanistes_caeruleus
ENSSCAP00000023338	ENSSCAG00000016729	Serinus_canaria
ENSMUNP00000006449	ENSMUNG00000005036	Melopsittacus_undulatus
ENSCPGP00000004006	ENSCPGG00000002366	Calidris_pygmaea
ENSCPUP00000006532	ENSCPUG00000004750	Calidris_pugnax
ENSGALP00000024624	ENSGALG00000015285	Gallus_gallus
ENSCJPP00005022018	ENSCJPG00005017590	Coturnix_japonica
ENSMGAP00000015197	ENSMGAG00000014364	Meleagris_gallopavo
ENSNMEP00000020090	ENSNMEG00000017254	Numida_meleagris
ENSABRP00000009788	ENSABRG00000008770	Anser_brachyrhynchus
ENSAPLP00000025103	ENSAPLG00000021587	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000022017	ENSAHAG00000015422	Apteryx_haastii
ENSARWP00000021339	ENSARWG00000014587	Apteryx_rowi
ENSAOWP00000026198	ENSAOWG00000017663	Apteryx_owenii
ENSNPEP00000007314	ENSNPEG00000005479	Nothoprocta_perdicaria
ENSDNVP00000010799	ENSDNVG00000007612	Dromaius_novaehollandiae
ENSACAP00000011250	ENSACAG00000011389	Anolis_carolinensis
ENSPVIP00000025950	ENSPVIG00000019406	Pogona_vitticeps
ENSNSUP00000014415	ENSNSUG00000010681	Notechis_scutatus
ENSSMRP00000005992	ENSSMRG00000004825	Salvator_merianae
ENSSPUP00000004912	ENSSPUG00000003805	Sphenodon_punctatus
ENSXETP00000033319	ENSXETG00000015474	Xenopus_tropicalis
ENSLACP00000006401	ENSLACG00000005679	Latimeria_chalumnae
ENSPKIP00000005822	ENSPKIG00000022338	Paramormyrops_kingsleyae
ENSSFOP00015006004	ENSSFOG00015003872	Scleropages_formosus
ENSIPUP00000014960	ENSIPUG00000010157	Ictalurus_punctatus
ENSEEEP00000011952	ENSEEEG00000005859	Electrophorus_electricus
ENSAMXP00000004957	ENSAMXG00000004840	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005030349	ENSAMXG00005014826	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000036523	ENSPNAG00000027449	Pygocentrus_nattereri
ENSDARP00000117083	ENSDARG00000029639	Danio_rerio
ENSDCDP00000038555	ENSDCDG00000025076	Denticeps_clupeoides
ENSHHUP00000002387	ENSHHUG00000001542	Hucho_hucho
ENSELUP00000016744	ENSELUG00000016514	Esox_lucius
ENSGMOP00000005294	ENSGMOG00000004999	Gadus_morhua
ENSMMOP00000007660	ENSMMOG00000005959	Mola_mola
ENSTNIP00000013577	ENSTNIG00000010662	Tetraodon_nigroviridis
ENSLCRP00005015918	ENSLCRG00005005664	Larimichthys_crocea
ENSCGOP00000002537	ENSCGOG00000001180	Cottoperca_gobio
ENSGACP00000018412	ENSGACG00000013911	Gasterosteus_aculeatus
ENSLBEP00000031803	ENSLBEG00000024001	Labrus_bergylta
ENSTRUP00000028993	ENSTRUG00000011483	Takifugu_rubripes
ENSHCOP00000023805	ENSHCOG00000012641	Hippocampus_comes
ENSPMGP00000026088	ENSPMGG00000021046	Periophthalmus_magnuspinnatus
ENSONIP00000012185	ENSONIG00000009701	Oreochromis_niloticus
ENSONIP00000009258	ENSONIG00000007339	Oreochromis_niloticus
ENSHBUP00000029116	ENSHBUG00000013352	Haplochromis_burtoni
ENSACLP00000002999	ENSACLG00000002036	Astatotilapia_calliptera
ENSNBRP00000023242	ENSNBRG00000017768	Neolamprologus_brichardi
ENSACIP00000001749	ENSACIG00000001330	Amphilophus_citrinellus
ENSPRNP00000013359	ENSPRNG00000006315	Parambassis_ranga
ENSAOCP00000026637	ENSAOCG00000014994	Amphiprion_ocellaris
ENSAPEP00000024953	ENSAPEG00000017732	Amphiprion_percula
ENSAPOP00000000177	ENSAPOG00000001359	Acanthochromis_polyacanthus
ENSSPAP00000023293	ENSSPAG00000017573	Stegastes_partitus
ENSXMAP00000015965	ENSXMAG00000015930	Xiphophorus_maculatus
ENSXCOP00000011017	ENSXCOG00000008321	Xiphophorus_couchianus
ENSGAFP00000026906	ENSGAFG00000018178	Gambusia_affinis
ENSPFOP00000015943	ENSPFOG00000015877	Poecilia_formosa
ENSPLAP00000026990	ENSPLAG00000015229	Poecilia_latipinna
ENSPMEP00000007204	ENSPMEG00000008841	Poecilia_mexicana
ENSPREP00000026402	ENSPREG00000017841	Poecilia_reticulata
ENSFHEP00000028238	ENSFHEG00000012250	Fundulus_heteroclitus
ENSCVAP00000028493	ENSCVAG00000015603	Cyprinodon_variegatus
ENSKMAP00000022446	ENSKMAG00000016655	Kryptolebias_marmoratus
ENSORLP00020032794	ENSORLG00020018531	Oryzias_latipes_ASM223471v1
ENSORLP00000020191	ENSORLG00000016134	Oryzias_latipes_ASM223467v1
ENSORLP00015030421	ENSORLG00015000727	Oryzias_latipes_ASM223469v1
ENSOMEP00000024154	ENSOMEG00000004614	Oryzias_melastigma
ENSGWIP00000019610	ENSGWIG00000009751	Gouania_willdenowi
ENSMALP00000021176	ENSMALG00000014783	Monopterus_albus
ENSMAMP00000018907	ENSMAMG00000012727	Mastacembelus_armatus
ENSATEP00000018650	ENSATEG00000012955	Anabas_testudineus
ENSBSLP00000007023	ENSBSLG00000003448	Betta_splendens
ENSSLDP00000030831	ENSSLDG00000023730	Seriola_lalandi_dorsalis
ENSSDUP00000003257	ENSSDUG00000002495	Seriola_dumerili
ENSLCAP00010030943	ENSLCAG00010014428	Lates_calcarifer
ENSSMAP00000031744	ENSSMAG00000019440	Scophthalmus_maximus
ENSLOCP00000013012	ENSLOCG00000010625	Lepisosteus_oculatus
ENSECRP00000003859	ENSECRG00000002621	Erpetoichthys_calabaricus
ENSCMIP00000047278	ENSCMIG00000019388	Callorhinchus_milii
ENSEBUP00000007224	ENSEBUG00000004717	Eptatretus_burgeri
ENSCSAVP00000007780	ENSCSAVG00000004648	Ciona_savignyi
ENSCINP00000018366	ENSCING00000009049	Ciona_intestinalis
FBpp0079895	FBgn0032397	Drosophila_melanogaster
