ENSJHYP00000012242	ENSJHYG00000009563	Junco_hyemalis
ENSSSCP00000057805	ENSSSCG00000028033	Sus_scrofa_strain_reference
ENSEASP00005020282	ENSEASG00005013960	Equus_asinus_asinus
ENSPANP00000014025	ENSPANG00000017735	Papio_anubis
ENSMPUP00000012225	ENSMPUG00000012321	Mustela_putorius_furo
ENSGACP00000022163	ENSGACG00000016786	Gasterosteus_aculeatus
ENSAMXP00000016461	ENSAMXG00000015953	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCGRP00000015695	ENSCGRG00000011372	Cricetulus_griseus_CriGri_1.0
ENSACLP00000025018	ENSACLG00000017020	Astatotilapia_calliptera
ENSBIXP00000036094	ENSBIXG00000003479	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSGALP00000047183	ENSGALG00000041362	Gallus_gallus
ENSCGRP00015022114	ENSCGRG00015016851	Cricetulus_griseus_CriGri-PICR
ENSXMAP00000037146	ENSXMAG00000002266	Xiphophorus_maculatus
ENSMALP00000006891	ENSMALG00000004907	Monopterus_albus
ENSCPGP00000007187	ENSCPGG00000005155	Calidris_pygmaea
ENSPRNP00000000940	ENSPRNG00000000681	Parambassis_ranga
ENSELUP00000027718	ENSELUG00000004052	Esox_lucius
ENSPMJP00000002664	ENSPMJG00000002311	Parus_major
ENSCSEP00000015918	ENSCSEG00000010220	Cynoglossus_semilaevis
ENSSSCP00000005013	ENSSSCG00000004653	Sus_scrofa_strain_reference
ENSCPRP00005021022	ENSCPRG00005014638	Crocodylus_porosus
ENSMEUP00000002855	ENSMEUG00000003127	Notamacropus_eugenii
ENSMLEP00000032059	ENSMLEG00000040214	Mandrillus_leucophaeus
ENSPTRP00000076063	ENSPTRG00000021094	Pan_troglodytes
ENSARWP00000018474	ENSARWG00000012714	Apteryx_rowi
ENSHCOP00000000876	ENSHCOG00000001763	Hippocampus_comes
ENSSPAP00000026368	ENSSPAG00000019869	Stegastes_partitus
ENSMZEP00005016092	ENSMZEG00005012079	Maylandia_zebra
ENSFCAP00000052446	ENSFCAG00000004214	Felis_catus
MGP_PahariEiJ_P0040947	MGP_PahariEiJ_G0019584	Mus_pahari_strain_PAHARI_EIJ
ENSFDAP00000022907	ENSFDAG00000021183	Fukomys_damarensis
ENSDNOP00000007316	ENSDNOG00000009432	Dasypus_novemcinctus
ENSUAMP00000020702	ENSUAMG00000016243	Ursus_americanus
ENSGMOP00000015967	ENSGMOG00000014876	Gadus_morhua
ENSPPAP00000002875	ENSPPAG00000012385	Pan_paniscus
ENSHHUP00000040092	ENSHHUG00000024819	Hucho_hucho
ENSHGLP00100021425	ENSHGLG00100015772	Heterocephalus_glaber_HetGla_1.0
ENSGWIP00000010633	ENSGWIG00000006251	Gouania_willdenowi
ENSCINP00000032566	ENSCING00000024077	Ciona_intestinalis
ENSSFOP00015016139	ENSSFOG00015010409	Scleropages_formosus
MGP_CAROLIEiJ_P0054321	MGP_CAROLIEiJ_G0024231	Mus_caroli_strain_CAROLI_EIJ
ENSTNIP00000018648	ENSTNIG00000015576	Tetraodon_nigroviridis
ENSOGAP00000011903	ENSOGAG00000013280	Otolemur_garnettii
ENSLOCP00000016239	ENSLOCG00000013180	Lepisosteus_oculatus
ENSSFOP00015027534	ENSSFOG00015017673	Scleropages_formosus
ENSELUP00000014781	ENSELUG00000014795	Esox_lucius
ENSSDUP00000002729	ENSSDUG00000002089	Seriola_dumerili
ENSOPRP00000009963	ENSOPRG00000010893	Ochotona_princeps
ENSMICP00000001070	ENSMICG00000001176	Microcebus_murinus
ENSORLP00015020445	ENSORLG00015021578	Oryzias_latipes_ASM223469v1
ENSCGRP00001019475	ENSCGRG00001018900	Cricetulus_griseus_CHOK1GS_HDv1
ENSCCEP00000009852	ENSCCEG00000009955	Cyanistes_caeruleus
ENSMPUP00000008430	ENSMPUG00000008495	Mustela_putorius_furo
ENSLAFP00000019151	ENSLAFG00000006484	Loxodonta_africana
ENSUPAP00010010559	ENSUPAG00010008546	Urocitellus_parryii
ENSMUNP00000009081	ENSMUNG00000007148	Melopsittacus_undulatus
ENSSCAP00000019236	ENSSCAG00000013888	Serinus_canaria
ENSPREP00000012756	ENSPREG00000008660	Poecilia_reticulata
ENSNGAP00000002576	ENSNGAG00000002364	Nannospalax_galili
ENSBBBP00000016076	ENSBBBG00000024009	Bison_bison_bison
ENSPEMP00000009207	ENSPEMG00000010577	Peromyscus_maniculatus_bairdii
ENSORLP00020011949	ENSORLG00020012878	Oryzias_latipes_ASM223471v1
ENSCJAP00000002960	ENSCJAG00000001637	Callithrix_jacchus
ENSETEP00000015856	ENSETEG00000019519	Echinops_telfairi
ENSXMAP00000003098	ENSXMAG00000003090	Xiphophorus_maculatus
ENSGWIP00000049452	ENSGWIG00000024108	Gouania_willdenowi
ENSCAFP00020024695	ENSCAFG00020019427	Canis_lupus_dingo
ENSONIP00000021351	ENSONIG00000016931	Oreochromis_niloticus
ENSCGOP00000027632	ENSCGOG00000013003	Cottoperca_gobio
ENSPSMP00000031637	ENSPSMG00000021920	Prolemur_simus
ENSPVAP00000010385	ENSPVAG00000011013	Pteropus_vampyrus
ENSRBIP00000041589	ENSRBIG00000044115	Rhinopithecus_bieti
ENSCAPP00000006330	ENSCAPG00000008522	Cavia_aperea
ENSPSIP00000018284	ENSPSIG00000016257	Pelodiscus_sinensis
ENSPRNP00000034030	ENSPRNG00000017113	Parambassis_ranga
