ENSPKIP00000038329	ENSPKIG00000016150	Paramormyrops_kingsleyae
ENSSFOP00015005246	ENSSFOG00015003419	Scleropages_formosus
ENSPNAP00000007933	ENSPNAG00000013602	Pygocentrus_nattereri
ENSAMXP00000049995	ENSAMXG00000041351	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSIPUP00000028474	ENSIPUG00000019290	Ictalurus_punctatus
ENSDARP00000096390	ENSDARG00000071439	Danio_rerio
ENSCHAP00000035889	ENSCHAG00000017003	Clupea_harengus
ENSXMAP00000029037	ENSXMAG00000026577	Xiphophorus_maculatus
ENSXCOP00000008342	ENSXCOG00000006397	Xiphophorus_couchianus
ENSGAFP00000010218	ENSGAFG00000006942	Gambusia_affinis
ENSPMEP00000031630	ENSPMEG00000018886	Poecilia_mexicana
ENSPLAP00000007074	ENSPLAG00000000206	Poecilia_latipinna
ENSPFOP00000029362	ENSPFOG00000024633	Poecilia_formosa
ENSFHEP00000002436	ENSFHEG00000003224	Fundulus_heteroclitus
ENSCVAP00000027855	ENSCVAG00000014534	Cyprinodon_variegatus
ENSKMAP00000005677	ENSKMAG00000004323	Kryptolebias_marmoratus
ENSORLP00015027328	ENSORLG00015009352	Oryzias_latipes_ASM223469v1
ENSORLP00000039875	ENSORLG00000023817	Oryzias_latipes_ASM223467v1
ENSORLP00020013064	ENSORLG00020014001	Oryzias_latipes_ASM223471v1
ENSOMEP00000003667	ENSOMEG00000004571	Oryzias_melastigma
ENSGWIP00000054220	ENSGWIG00000025952	Gouania_willdenowi
ENSMMOP00000009228	ENSMMOG00000007141	Mola_mola
ENSSMAP00000034317	ENSSMAG00000020994	Scophthalmus_maximus
ENSCSEP00000025829	ENSCSEG00000016506	Cynoglossus_semilaevis
ENSLCRP00005035398	ENSLCRG00005013826	Larimichthys_crocea
ENSCGOP00000024404	ENSCGOG00000011611	Cottoperca_gobio
ENSSDUP00000014178	ENSSDUG00000010329	Seriola_dumerili
ENSSLDP00000002761	ENSSLDG00000002217	Seriola_lalandi_dorsalis
ENSACLP00000018698	ENSACLG00000012757	Astatotilapia_calliptera
ENSHBUP00000032221	ENSHBUG00000018384	Haplochromis_burtoni
ENSPNYP00000018891	ENSPNYG00000014270	Pundamilia_nyererei
ENSMZEP00005025103	ENSMZEG00005018743	Maylandia_zebra
ENSNBRP00000028691	ENSNBRG00000021864	Neolamprologus_brichardi
ENSATEP00000024822	ENSATEG00000017236	Anabas_testudineus
ENSLBEP00000036489	ENSLBEG00000027308	Labrus_bergylta
ENSTRUP00000002523	ENSTRUG00000001078	Takifugu_rubripes
ENSAOCP00000022594	ENSAOCG00000008089	Amphiprion_ocellaris
ENSAPEP00000009860	ENSAPEG00000007089	Amphiprion_percula
ENSAPOP00000027878	ENSAPOG00000012701	Acanthochromis_polyacanthus
ENSSPAP00000004510	ENSSPAG00000003498	Stegastes_partitus
ENSMAMP00000010241	ENSMAMG00000006911	Mastacembelus_armatus
ENSMALP00000024864	ENSMALG00000017309	Monopterus_albus
ENSHCOP00000005942	ENSHCOG00000007661	Hippocampus_comes
ENSHHUP00000033552	ENSHHUG00000021195	Hucho_hucho
ENSELUP00000020754	ENSELUG00000019911	Esox_lucius
ENSLOCP00000009200	ENSLOCG00000007585	Lepisosteus_oculatus
ENSLACP00000014443	ENSLACG00000012710	Latimeria_chalumnae
ENSCPBP00000041195	ENSCPBG00000028274	Chrysemys_picta_bellii
ENSGAGP00000035495	ENSGAGG00000025233	Gopherus_agassizii
ENSCJPP00005027220	ENSCJPG00005021118	Coturnix_japonica
ENSNMEP00000023747	ENSNMEG00000020203	Numida_meleagris
ENSDNVP00000011040	ENSDNVG00000007811	Dromaius_novaehollandiae
ENSCPRP00005025767	ENSCPRG00005017868	Crocodylus_porosus
ENSCABP00000002155	ENSCABG00000001700	Chelonoidis_abingdonii
ENSPVIP00000009006	ENSPVIG00000007208	Pogona_vitticeps
ENSSMRP00000018584	ENSSMRG00000014455	Salvator_merianae
ENSODEP00000013800	ENSODEG00000010198	Octodon_degus
ENSCLAP00000014378	ENSCLAG00000009911	Chinchilla_lanigera
ENSHGLP00000005233	ENSHGLG00000003830	Heterocephalus_glaber_HetGla_female_1.0
ENSCCNP00000031460	ENSCCNG00000029979	Castor_canadensis
ENSMOCP00000020368	ENSMOCG00000018071	Microtus_ochrogaster
ENSPEMP00000018506	ENSPEMG00000017082	Peromyscus_maniculatus_bairdii
ENSCGRP00001013055	ENSCGRG00001014299	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015029385	ENSCGRG00015022180	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000025121	ENSMAUG00000021756	Mesocricetus_auratus
MGP_SPRETEiJ_P0021233	MGP_SPRETEiJ_G0015471	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000034925	ENSMSIG00000029137	Mus_spicilegus
ENSMSIP00000031391	ENSMSIG00000026274	Mus_spicilegus
ENSMUSP00000107656	ENSMUSG00000079283	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0020177	MGP_CAROLIEiJ_G0014664	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0075468	MGP_PahariEiJ_G0027900	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000062192	ENSRNOG00000043374	Rattus_norvegicus
ENSNGAP00000017960	ENSNGAG00000018229	Nannospalax_galili
ENSPSMP00000000498	ENSPSMG00000000400	Prolemur_simus
ENSCHIP00000002467	ENSCHIG00000005784	Capra_hircus
ENSCHIP00000017916	ENSCHIG00000017570	Capra_hircus
ENSBIXP00000031070	ENSBIXG00000013226	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005018289	ENSBIXG00005021701	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000061890	ENSBTAG00000051004	Bos_taurus
ENSBBBP00000000056	ENSBBBG00000009228	Bison_bison_bison
ENSSSCP00000052430	ENSSSCG00000032380	Sus_scrofa_strain_reference
ENSPVAP00000016041	ENSPVAG00000017005	Pteropus_vampyrus
ENSAMEP00000018579	ENSAMEG00000017591	Ailuropoda_melanoleuca
ENSUMAP00000035285	ENSUMAG00000025361	Ursus_maritimus
ENSMPUP00000010327	ENSMPUG00000010402	Mustela_putorius_furo
ENSCAFP00020015147	ENSCAFG00020012189	Canis_lupus_dingo
ENSCAFP00000043015	ENSCAFG00000032715	Canis_lupus_familiaris
ENSFCAP00000047799	ENSFCAG00000044924	Felis_catus
ENSPPRP00000004185	ENSPPRG00000000379	Panthera_pardus
ENSPCOP00000018573	ENSPCOG00000021183	Propithecus_coquereli
ENSMICP00000025357	ENSMICG00000026611	Microcebus_murinus
ENSPPAP00000011632	ENSPPAG00000029026	Pan_paniscus
ENSPTRP00000051365	ENSPTRG00000030241	Pan_troglodytes
ENSP00000356363	ENSG00000203724	Homo_sapiens
ENSGGOP00000006703	ENSGGOG00000006849	Gorilla_gorilla
ENSPPYP00000000435	ENSPPYG00000000385	Pongo_abelii
ENSNLEP00000021944	ENSNLEG00000018061	Nomascus_leucogenys
ENSMFAP00000008442	ENSMFAG00000001268	Macaca_fascicularis
ENSMMUP00000063351	ENSMMUG00000060620	Macaca_mulatta
ENSMLEP00000025537	ENSMLEG00000036966	Mandrillus_leucophaeus
ENSCATP00000011771	ENSCATG00000030091	Cercocebus_atys
ENSTGEP00000028798	ENSTGEG00000023188	Theropithecus_gelada
ENSPANP00000012032	ENSPANG00000025040	Papio_anubis
ENSCSAP00000009791	ENSCSAG00000013637	Chlorocebus_sabaeus
ENSCANP00000013729	ENSCANG00000030307	Colobus_angolensis_palliatus
ENSPTEP00000042921	ENSPTEG00000039175	Piliocolobus_tephrosceles
ENSRROP00000004963	ENSRROG00000020628	Rhinopithecus_roxellana
ENSRBIP00000038450	ENSRBIG00000042749	Rhinopithecus_bieti
ENSCCAP00000001847	ENSCCAG00000011859	Cebus_capucinus_imitator
ENSCJAP00000008966	ENSCJAG00000004910	Callithrix_jacchus
ENSANAP00000004951	ENSANAG00000020587	Aotus_nancymaae
ENSUPAP00010003309	ENSUPAG00010002739	Urocitellus_parryii
ENSMMMP00000005657	ENSMMMG00000005120	Marmota_marmota_marmota
ENSSTOP00000030189	ENSSTOG00000033649	Ictidomys_tridecemlineatus
ENSEASP00005004237	ENSEASG00005003209	Equus_asinus_asinus
ENSECAP00000039634	ENSECAG00000038174	Equus_caballus
ENSLAFP00000013422	ENSLAFG00000016002	Loxodonta_africana
ENSETEP00000009921	ENSETEG00000012234	Echinops_telfairi
ENSDNOP00000026503	ENSDNOG00000046589	Dasypus_novemcinctus
ENSVURP00010006258	ENSVURG00010004852	Vombatus_ursinus
ENSPCIP00000027080	ENSPCIG00000020249	Phascolarctos_cinereus
ENSMODP00000039166	ENSMODG00000028784	Monodelphis_domestica
ENSXETP00000006126	ENSXETG00000009256	Xenopus_tropicalis
ENSECRP00000018140	ENSECRG00000012130	Erpetoichthys_calabaricus
ENSCMIP00000024187	ENSCMIG00000010753	Callorhinchus_milii
F45E12.5a.1	WBGene00018475	Caenorhabditis_elegans_strain_N2
