ENSMMOP00000024859	ENSMMOG00000018889	Mola_mola
ENSKMAP00000029916	ENSKMAG00000022120	Kryptolebias_marmoratus
ENSPRNP00000035187	ENSPRNG00000017640	Parambassis_ranga
ENSEEEP00000005999	ENSEEEG00000003187	Electrophorus_electricus
ENSSPAP00000009106	ENSSPAG00000006954	Stegastes_partitus
ENSCVAP00000028579	ENSCVAG00000015697	Cyprinodon_variegatus
ENSOMEP00000021265	ENSOMEG00000023137	Oryzias_melastigma
ENSCMIP00000032643	ENSCMIG00000013964	Callorhinchus_milii
ENSHHUP00000019082	ENSHHUG00000011904	Hucho_hucho
ENSDARP00000090537	ENSDARG00000068876	Danio_rerio
ENSAPEP00000016262	ENSAPEG00000011610	Amphiprion_percula
ENSPNAP00000013445	ENSPNAG00000003587	Pygocentrus_nattereri
ENSLBEP00000013425	ENSLBEG00000010359	Labrus_bergylta
ENSGACP00000017823	ENSGACG00000013483	Gasterosteus_aculeatus
ENSPKIP00000009553	ENSPKIG00000024624	Paramormyrops_kingsleyae	ENSPKIT00000033665
ENSDCDP00000013952	ENSDCDG00000010013	Denticeps_clupeoides
ENSPMEP00000010993	ENSPMEG00000013013	Poecilia_mexicana
ENSGAFP00000032454	ENSGAFG00000021859	Gambusia_affinis
ENSGWIP00000036417	ENSGWIG00000018766	Gouania_willdenowi
ENSTNIP00000011191	ENSTNIG00000008360	Tetraodon_nigroviridis
ENSFHEP00000025955	ENSFHEG00000008487	Fundulus_heteroclitus
ENSLCAP00010041143	ENSLCAG00010019310	Lates_calcarifer
ENSXCOP00000002660	ENSXCOG00000002122	Xiphophorus_couchianus
ENSPLAP00000030038	ENSPLAG00000020755	Poecilia_latipinna
ENSHBUP00000016411	ENSHBUG00000018355	Haplochromis_burtoni
ENSXETP00000004883	ENSXETG00000003490	Xenopus_tropicalis	ENSXETT00000015101
ENSHHUP00000084402	ENSHHUG00000048946	Hucho_hucho
ENSELUP00000039993	ENSELUG00000020328	Esox_lucius
ENSLOCP00000018790	ENSLOCG00000015270	Lepisosteus_oculatus
ENSXMAP00000019334	ENSXMAG00000019287	Xiphophorus_maculatus
ENSIPUP00000024512	ENSIPUG00000016538	Ictalurus_punctatus
ENSACIP00000011029	ENSACIG00000008624	Amphilophus_citrinellus
ENSACLP00000006486	ENSACLG00000004382	Astatotilapia_calliptera
ENSAMXP00005046383	ENSAMXG00005021372	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSGMOP00000020056	ENSGMOG00000018663	Gadus_morhua
ENSAOCP00000017299	ENSAOCG00000001628	Amphiprion_ocellaris
ENSECRP00000008942	ENSECRG00000006001	Erpetoichthys_calabaricus
ENSSMAP00000016461	ENSSMAG00000010104	Scophthalmus_maximus
ENSSLDP00000013413	ENSSLDG00000010677	Seriola_lalandi_dorsalis
ENSORLP00000020523	ENSORLG00000016391	Oryzias_latipes_ASM223467v1
ENSLBEP00000000100	ENSLBEG00000000085	Labrus_bergylta
ENSCSEP00000015533	ENSCSEG00000009990	Cynoglossus_semilaevis
ENSAPOP00000004918	ENSAPOG00000006545	Acanthochromis_polyacanthus
ENSPREP00000031007	ENSPREG00000021000	Poecilia_reticulata
ENSTRUP00000008113	ENSTRUG00000003460	Takifugu_rubripes
ENSORLP00020026609	ENSORLG00020000821	Oryzias_latipes_ASM223471v1
ENSBSLP00000023203	ENSBSLG00000011707	Betta_splendens
ENSPMGP00000016058	ENSPMGG00000013175	Periophthalmus_magnuspinnatus
ENSATEP00000026701	ENSATEG00000018425	Anabas_testudineus
ENSCHAP00000018072	ENSCHAG00000009397	Clupea_harengus
ENSCGOP00000005862	ENSCGOG00000003094	Cottoperca_gobio
ENSSDUP00000028157	ENSSDUG00000020355	Seriola_dumerili
ENSMAMP00000003505	ENSMAMG00000002403	Mastacembelus_armatus
ENSPNYP00000028484	ENSPNYG00000021451	Pundamilia_nyererei
ENSPFOP00000011606	ENSPFOG00000011636	Poecilia_formosa
ENSAMXP00000047328	ENSAMXG00000041628	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMZEP00005023007	ENSMZEG00005017228	Maylandia_zebra
ENSSFOP00015002693	ENSSFOG00015001770	Scleropages_formosus	ENSSFOT00015002738
ENSLACP00000008378	ENSLACG00000007419	Latimeria_chalumnae	ENSLACT00000008446
ENSLCRP00005040568	ENSLCRG00005015656	Larimichthys_crocea
