ENSPPAP00000017219	ENSPPAG00000031690	Pan_paniscus	ENSPPAT00000039920
ENSPTRP00000011379	ENSPTRG00000006675	Pan_troglodytes	ENSPTRT00000012290
ENSP00000483430	ENSG00000165949	Homo_sapiens
ENSGGOP00000006605	ENSGGOG00000006752	Gorilla_gorilla
ENSPPYP00000006933	ENSPPYG00000006097	Pongo_abelii
ENSCATP00000033130	ENSCATG00000039581	Cercocebus_atys
ENSMLEP00000026315	ENSMLEG00000037355	Mandrillus_leucophaeus
ENSTGEP00000005395	ENSTGEG00000004483	Theropithecus_gelada
ENSPANP00000046127	ENSPANG00000032229	Papio_anubis
ENSMFAP00000032477	ENSMFAG00000002816	Macaca_fascicularis
ENSMMUP00000076501	ENSMMUG00000023780	Macaca_mulatta
ENSMNEP00000010172	ENSMNEG00000029506	Macaca_nemestrina
ENSCSAP00000007194	ENSCSAG00000010970	Chlorocebus_sabaeus
ENSCATP00000010582	ENSCATG00000029578	Cercocebus_atys
ENSMNEP00000029611	ENSMNEG00000038291	Macaca_nemestrina
ENSMLEP00000030953	ENSMLEG00000039663	Mandrillus_leucophaeus
ENSTGEP00000036328	ENSTGEG00000028914	Theropithecus_gelada
ENSPANP00000036042	ENSPANG00000034201	Papio_anubis
ENSCSAP00000017972	ENSCSAG00000018430	Chlorocebus_sabaeus
ENSCANP00000036734	ENSCANG00000042042	Colobus_angolensis_palliatus
ENSPTEP00000009233	ENSPTEG00000010471	Piliocolobus_tephrosceles
ENSRROP00000023293	ENSRROG00000035487	Rhinopithecus_roxellana
ENSRBIP00000033885	ENSRBIG00000040678	Rhinopithecus_bieti
ENSSBOP00000021569	ENSSBOG00000027336	Saimiri_boliviensis_boliviensis
ENSCCAP00000022759	ENSCCAG00000029176	Cebus_capucinus_imitator
ENSCJAP00000017784	ENSCJAG00000009712	Callithrix_jacchus
ENSANAP00000013178	ENSANAG00000024502	Aotus_nancymaae
