ENSBIXP00000021411	ENSBIXG00000004951	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSHHUP00000030344	ENSHHUG00000019320	Hucho_hucho
ENSPSMP00000019295	ENSPSMG00000013604	Prolemur_simus
ENSHGLP00100016320	ENSHGLG00100012052	Heterocephalus_glaber_HetGla_1.0
ENSPSMP00000015938	ENSPSMG00000011349	Prolemur_simus	ENSPSMT00000018504
ENSCJPP00005002920	ENSCJPG00005003199	Coturnix_japonica
ENSAMXP00005053740	ENSAMXG00005024072	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCATP00000023792	ENSCATG00000035451	Cercocebus_atys
ENSZALP00000000528	ENSZALG00000000632	Zonotrichia_albicollis
ENSCGRP00015025060	ENSCGRG00015018978	Cricetulus_griseus_CriGri-PICR
ENSCCEP00000000604	ENSCCEG00000000762	Cyanistes_caeruleus	ENSCCET00000001071
ENSHGLP00000026515	ENSHGLG00000018860	Heterocephalus_glaber_HetGla_female_1.0
ENSCCNP00000023245	ENSCCNG00000022847	Castor_canadensis
ENSTBEP00000008301	ENSTBEG00000009586	Tupaia_belangeri
ENSMODP00000054165	ENSMODG00000005254	Monodelphis_domestica	ENSMODT00000061753
ENSMMMP00000017846	ENSMMMG00000015835	Marmota_marmota_marmota
ENSJHYP00000007337	ENSJHYG00000005872	Junco_hyemalis
ENSTGEP00000009331	ENSTGEG00000007689	Theropithecus_gelada
ENSPTRP00000074825	ENSPTRG00000046598	Pan_troglodytes
ENSFCAP00000061088	ENSFCAG00000015654	Felis_catus
ENSEBUP00000009399	ENSEBUG00000006051	Eptatretus_burgeri
ENSCCAP00000011093	ENSCCAG00000023304	Cebus_capucinus_imitator
ENSSMRP00000018445	ENSSMRG00000014345	Salvator_merianae
ENSSBOP00000007546	ENSSBOG00000020705	Saimiri_boliviensis_boliviensis
ENSPSMP00000015929	ENSPSMG00000011340	Prolemur_simus
ENSCPGP00000007162	ENSCPGG00000005128	Calidris_pygmaea
ENSJJAP00000003412	ENSJJAG00000006701	Jaculus_jaculus
ENSCAFP00020006215	ENSCAFG00020005045	Canis_lupus_dingo
ENSSDAP00000008193	ENSSDAG00000007490	Spermophilus_dauricus
ENSVVUP00000003178	ENSVVUG00000002461	Vulpes_vulpes
ENSOPRP00000015316	ENSOPRG00000016775	Ochotona_princeps
ENSFDAP00000014045	ENSFDAG00000001052	Fukomys_damarensis
ENSOCUP00000020041	ENSOCUG00000022997	Oryctolagus_cuniculus
ENSAOWP00000008863	ENSAOWG00000006080	Apteryx_owenii
ENSCANP00000003798	ENSCANG00000013366	Colobus_angolensis_palliatus
ENSPTIP00000013900	ENSPTIG00000013481	Panthera_tigris_altaica
ENSCAPP00000009369	ENSCAPG00000010859	Cavia_aperea
MGP_PahariEiJ_P0048544	MGP_PahariEiJ_G0021820	Mus_pahari_strain_PAHARI_EIJ
ENSCGRP00000008250	ENSCGRG00000006021	Cricetulus_griseus_CriGri_1.0
MGP_SPRETEiJ_P0069731	MGP_SPRETEiJ_G0028043	Mus_spretus_strain_SPRET/EiJ
ENSOCUP00000000057	ENSOCUG00000000064	Oryctolagus_cuniculus
ENSMOCP00000008314	ENSMOCG00000008286	Microtus_ochrogaster
ENSELUP00000013344	ENSELUG00000013473	Esox_lucius
ENSPVIP00000003867	ENSPVIG00000003161	Pogona_vitticeps
ENSPEMP00000008230	ENSPEMG00000009950	Peromyscus_maniculatus_bairdii
ENSCPOP00000027431	ENSCPOG00000031435	Cavia_porcellus
ENSEASP00005002865	ENSEASG00005002196	Equus_asinus_asinus
ENSMAMP00000014315	ENSMAMG00000009718	Mastacembelus_armatus
ENSPPRP00000024005	ENSPPRG00000014279	Panthera_pardus
ENSHGLP00100019346	ENSHGLG00100014264	Heterocephalus_glaber_HetGla_1.0
ENSAMXP00000008613	ENSAMXG00000008377	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSBMUP00000002814	ENSBMUG00000002227	Bos_mutus
ENSOGAP00000021075	ENSOGAG00000026816	Otolemur_garnettii
ENSODEP00000025900	ENSODEG00000019237	Octodon_degus	ENSODET00000026302
ENSLAFP00000021227	ENSLAFG00000013384	Loxodonta_africana
ENSMVIP00005014160	ENSMVIG00005010226	Manacus_vitellinus
ENSTSYP00000028075	ENSTSYG00000005448	Carlito_syrichta
