ENSACIP00000010116	ENSACIG00000007931	Amphilophus_citrinellus
ENSAOCP00000004863	ENSAOCG00000008305	Amphiprion_ocellaris
ENSSLDP00000002552	ENSSLDG00000002056	Seriola_lalandi_dorsalis
ENSATEP00000020976	ENSATEG00000014586	Anabas_testudineus
ENSMAMP00000023175	ENSMAMG00000015583	Mastacembelus_armatus
ENSPRNP00000016753	ENSPRNG00000008936	Parambassis_ranga
ENSLCAP00010012941	ENSLCAG00010006129	Lates_calcarifer
ENSMALP00000015847	ENSMALG00000011121	Monopterus_albus
ENSLCRP00005027618	ENSLCRG00005010991	Larimichthys_crocea
ENSXMAP00000007019	ENSXMAG00000007011	Xiphophorus_maculatus	ENSXMAT00000007027
ENSPFOP00000001540	ENSPFOG00000001554	Poecilia_formosa	ENSPFOT00000001543
ENSFHEP00000025821	ENSFHEG00000008255	Fundulus_heteroclitus	ENSFHET00000004262
ENSOMEP00000034231	ENSOMEG00000020719	Oryzias_melastigma	ENSOMET00000028142
ENSACLP00000035098	ENSACLG00000023770	Astatotilapia_calliptera	ENSACLT00000035924
ENSMZEP00005027322	ENSMZEG00005020383	Maylandia_zebra	ENSMZET00005028194
ENSHBUP00000009868	ENSHBUG00000011399	Haplochromis_burtoni	ENSHBUT00000016588
ENSPNYP00000021535	ENSPNYG00000016262	Pundamilia_nyererei
ENSCGOP00000046749	ENSCGOG00000021003	Cottoperca_gobio
ENSBSLP00000046831	ENSBSLG00000022286	Betta_splendens
ENSXCOP00000026752	ENSXCOG00000019982	Xiphophorus_couchianus
ENSIPUP00000019599	ENSIPUG00000013312	Ictalurus_punctatus
ENSLOCP00000015621	ENSLOCG00000012698	Lepisosteus_oculatus
ENSGALP00000051648	ENSGALG00000039224	Gallus_gallus
ENSMGAP00000019531	ENSMGAG00000012827	Meleagris_gallopavo
ENSCJPP00005009354	ENSCJPG00005008230	Coturnix_japonica
ENSNMEP00000008993	ENSNMEG00000008756	Numida_meleagris
ENSAPLP00000003884	ENSAPLG00000004380	Anas_platyrhynchos_platyrhynchos
ENSABRP00000004239	ENSABRG00000003912	Anser_brachyrhynchus
ENSMUNP00000022186	ENSMUNG00000016693	Melopsittacus_undulatus
ENSPMJP00000015470	ENSPMJG00000011755	Parus_major
ENSCCEP00000010152	ENSCCEG00000010171	Cyanistes_caeruleus
ENSZALP00000018109	ENSZALG00000014554	Zonotrichia_albicollis
ENSFALP00000002710	ENSFALG00000002598	Ficedula_albicollis
ENSTGUP00000012912	ENSTGUG00000012544	Taeniopygia_guttata
ENSSCAP00000010557	ENSSCAG00000007989	Serinus_canaria
ENSLSDP00000001143	ENSLSDG00000000903	Lonchura_striata_domestica
ENSJHYP00000017801	ENSJHYG00000013593	Junco_hyemalis
ENSMVIP00005016901	ENSMVIG00005012097	Manacus_vitellinus
ENSLCOP00000020056	ENSLCOG00000014211	Lepidothrix_coronata
ENSAOWP00000019598	ENSAOWG00000013306	Apteryx_owenii
ENSAHAP00000002599	ENSAHAG00000002112	Apteryx_haastii
ENSARWP00000017265	ENSARWG00000011879	Apteryx_rowi
ENSNPEP00000009962	ENSNPEG00000007472	Nothoprocta_perdicaria
ENSCPRP00005016127	ENSCPRG00005011256	Crocodylus_porosus
ENSCPBP00000028933	ENSCPBG00000020408	Chrysemys_picta_bellii
ENSPSIP00000006963	ENSPSIG00000006442	Pelodiscus_sinensis
ENSGAGP00000027174	ENSGAGG00000019763	Gopherus_agassizii
ENSSMRP00000003041	ENSSMRG00000002573	Salvator_merianae
ENSACAP00000010600	ENSACAG00000010807	Anolis_carolinensis
ENSSHAP00000007591	ENSSHAG00000006599	Sarcophilus_harrisii
ENSMODP00000055114	ENSMODG00000029720	Monodelphis_domestica
ENSBMUP00000030256	ENSBMUG00000022640	Bos_mutus
ENSBIXP00005046493	ENSBIXG00005031286	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000019107	ENSBBBG00000006875	Bison_bison_bison
ENSOARP00000007297	ENSOARG00000006812	Ovis_aries
ENSCHIP00000005749	ENSCHIG00000009769	Capra_hircus
ENSBTAP00000055888	ENSBTAG00000034196	Bos_taurus
ENSSSCP00000027069	ENSSSCG00000022257	Sus_scrofa_strain_reference
ENSECAP00000013494	ENSECAG00000015921	Equus_caballus
ENSEASP00005032482	ENSEASG00005022159	Equus_asinus_asinus
ENSNVIP00000010452	ENSNVIG00000008252	Neovison_vison
ENSMPUP00000001409	ENSMPUG00000001421	Mustela_putorius_furo
ENSAMEP00000013658	ENSAMEG00000012977	Ailuropoda_melanoleuca
ENSCAFP00000042183	ENSCAFG00000025196	Canis_lupus_familiaris
ENSPTIP00000020249	ENSPTIG00000017768	Panthera_tigris_altaica
ENSPPRP00000003498	ENSPPRG00000022713	Panthera_pardus
ENSFCAP00000020605	ENSFCAG00000024254	Felis_catus
ENSMLUP00000014014	ENSMLUG00000015380	Myotis_lucifugus
ENSLAFP00000028601	ENSLAFG00000027750	Loxodonta_africana
