ENSLACP00000018440	ENSLACG00000016239	Latimeria_chalumnae	ENSLACT00000018573
ENSXETP00000052343	ENSXETG00000018712	Xenopus_tropicalis	ENSXETT00000053770
ENSGAGP00000009504	ENSGAGG00000007521	Gopherus_agassizii
ENSCABP00000030833	ENSCABG00000022531	Chelonoidis_abingdonii
ENSCPBP00000011536	ENSCPBG00000008778	Chrysemys_picta_bellii
ENSLSDP00000010820	ENSLSDG00000007958	Lonchura_striata_domestica
ENSPMJP00000005605	ENSPMJG00000004869	Parus_major
ENSLCOP00000018656	ENSLCOG00000013200	Lepidothrix_coronata
ENSCPUP00000029595	ENSCPUG00000019818	Calidris_pugnax
ENSAPLP00000032897	ENSAPLG00000016944	Anas_platyrhynchos_platyrhynchos
ENSABRP00000020671	ENSABRG00000017604	Anser_brachyrhynchus
ENSNMEP00000023917	ENSNMEG00000020343	Numida_meleagris
ENSPVIP00000008702	ENSPVIG00000006988	Pogona_vitticeps
ENSACAP00000020465	ENSACAG00000027125	Anolis_carolinensis
ENSSMRP00000021192	ENSSMRG00000016490	Salvator_merianae
ENSPCIP00000029447	ENSPCIG00000021908	Phascolarctos_cinereus
ENSMEUP00000010467	ENSMEUG00000011472	Notamacropus_eugenii
ENSMODP00000033771	ENSMODG00000024281	Monodelphis_domestica
ENSSHAP00000018648	ENSSHAG00000015831	Sarcophilus_harrisii
ENSOCUP00000003604	ENSOCUG00000004162	Oryctolagus_cuniculus
ENSOPRP00000000087	ENSOPRG00000000101	Ochotona_princeps
ENSCLAP00000003928	ENSCLAG00000002796	Chinchilla_lanigera
ENSODEP00000024919	ENSODEG00000018225	Octodon_degus
ENSCPOP00000006236	ENSCPOG00000006915	Cavia_porcellus
ENSHGLP00000025740	ENSHGLG00000018322	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100018871	ENSHGLG00100013926	Heterocephalus_glaber_HetGla_1.0
ENSPSMP00000014094	ENSPSMG00000010092	Prolemur_simus
ENSPCOP00000009144	ENSPCOG00000015921	Propithecus_coquereli
ENSMICP00000049766	ENSMICG00000038695	Microcebus_murinus
ENSOGAP00000017965	ENSOGAG00000029512	Otolemur_garnettii
ENSPPAP00000032247	ENSPPAG00000039007	Pan_paniscus
ENSPTRP00000025199	ENSPTRG00000014605	Pan_troglodytes
ENSP00000392511	ENSG00000163704	Homo_sapiens
ENSGGOP00000011909	ENSGGOG00000012206	Gorilla_gorilla
ENSPPYP00000015284	ENSPPYG00000013670	Pongo_abelii
