ENSHGLP00000000229	ENSHGLG00000000236	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100001640	ENSHGLG00100001285	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000011126	ENSFDAG00000018744	Fukomys_damarensis
ENSCLAP00000010582	ENSCLAG00000007306	Chinchilla_lanigera
ENSCPOP00000014660	ENSCPOG00000022846	Cavia_porcellus
ENSODEP00000000076	ENSODEG00000000070	Octodon_degus
MGP_SPRETEiJ_P0096763	MGP_SPRETEiJ_G0034657	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000108329	ENSMUSG00000025272	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000027077	ENSMSIG00000022721	Mus_spicilegus
MGP_CAROLIEiJ_P0092998	MGP_CAROLIEiJ_G0033487	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0090613	MGP_PahariEiJ_G0032026	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000005308	ENSMUGG00000004869	Meriones_unguiculatus
ENSCGRP00001022155	ENSCGRG00001020754	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000015963	ENSCGRG00000011586	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015024547	ENSCGRG00015018648	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000000055	ENSMAUG00000000070	Mesocricetus_auratus
ENSMOCP00000019387	ENSMOCG00000017394	Microtus_ochrogaster
ENSPEMP00000020001	ENSPEMG00000018106	Peromyscus_maniculatus_bairdii
ENSUPAP00010002263	ENSUPAG00010001905	Urocitellus_parryii
ENSOCUP00000001470	ENSOCUG00000001711	Oryctolagus_cuniculus
ENSTSYP00000001817	ENSTSYG00000001951	Carlito_syrichta
ENSNGAP00000009066	ENSNGAG00000011855	Nannospalax_galili
ENSJJAP00000009053	ENSJJAG00000013055	Jaculus_jaculus
ENSCCNP00000011180	ENSCCNG00000011563	Castor_canadensis
ENSDORP00000027718	ENSDORG00000026263	Dipodomys_ordii
ENSSDAP00000013689	ENSSDAG00000012365	Spermophilus_dauricus
ENSMMMP00000015293	ENSMMMG00000013632	Marmota_marmota_marmota
ENSSTOP00000023851	ENSSTOG00000020140	Ictidomys_tridecemlineatus
ENSUAMP00000020072	ENSUAMG00000015859	Ursus_americanus
ENSNVIP00000005377	ENSNVIG00000004298	Neovison_vison
ENSPPRP00000006729	ENSPPRG00000002086	Panthera_pardus
ENSPTIP00000026076	ENSPTIG00000021614	Panthera_tigris_altaica
ENSFCAP00000056183	ENSFCAG00000033665	Felis_catus
ENSMICP00000021419	ENSMICG00000032024	Microcebus_murinus
ENSVVUP00000007909	ENSVVUG00000005967	Vulpes_vulpes
ENSPPAP00000030742	ENSPPAG00000038303	Pan_paniscus
ENSPTRP00000087200	ENSPTRG00000051190	Pan_troglodytes
ENSP00000173898	ENSG00000067445	Homo_sapiens
ENSGGOP00000002013	ENSGGOG00000002043	Gorilla_gorilla
ENSNLEP00000032840	ENSNLEG00000016279	Nomascus_leucogenys
ENSTGEP00000034657	ENSTGEG00000027622	Theropithecus_gelada
ENSPANP00000008333	ENSPANG00000014010	Papio_anubis
ENSCATP00000032932	ENSCATG00000039483	Cercocebus_atys
ENSMFAP00000045138	ENSMFAG00000000246	Macaca_fascicularis
ENSMMUP00000011045	ENSMMUG00000008422	Macaca_mulatta
ENSMNEP00000029060	ENSMNEG00000037926	Macaca_nemestrina
ENSMLEP00000015700	ENSMLEG00000032029	Mandrillus_leucophaeus
ENSCSAP00000008333	ENSCSAG00000012194	Chlorocebus_sabaeus
ENSPTEP00000026921	ENSPTEG00000026854	Piliocolobus_tephrosceles
ENSCANP00000001058	ENSCANG00000003655	Colobus_angolensis_palliatus
ENSRBIP00000028626	ENSRBIG00000038193	Rhinopithecus_bieti
ENSRROP00000023814	ENSRROG00000035728	Rhinopithecus_roxellana
ENSCCAP00000014374	ENSCCAG00000024972	Cebus_capucinus_imitator
ENSSBOP00000011487	ENSSBOG00000022559	Saimiri_boliviensis_boliviensis
ENSCJAP00000014415	ENSCJAG00000007581	Callithrix_jacchus
ENSANAP00000026993	ENSANAG00000031246	Aotus_nancymaae
ENSPCOP00000021652	ENSPCOG00000022855	Propithecus_coquereli
ENSPSMP00000013366	ENSPSMG00000009582	Prolemur_simus
ENSTBEP00000014978	ENSTBEG00000017177	Tupaia_belangeri
ENSMLUP00000014838	ENSMLUG00000016279	Myotis_lucifugus
ENSPVAP00000014051	ENSPVAG00000014908	Pteropus_vampyrus
ENSBMUP00000002043	ENSBMUG00000001609	Bos_mutus
ENSBTAP00000059703	ENSBTAG00000051604	Bos_taurus
ENSCHIP00000014534	ENSCHIG00000015519	Capra_hircus
ENSTTRP00000004380	ENSTTRG00000004622	Tursiops_truncatus
ENSSSCP00000059876	ENSSSCG00000039027	Sus_scrofa_strain_reference
ENSOARP00000006465	ENSOARG00000006040	Ovis_aries
ENSAMEP00000001784	ENSAMEG00000001710	Ailuropoda_melanoleuca	ENSAMET00000001857
ENSMPUP00000003152	ENSMPUG00000003185	Mustela_putorius_furo
ENSRNOP00000064833	ENSRNOG00000047491	Rattus_norvegicus
ENSDNOP00000029484	ENSDNOG00000049406	Dasypus_novemcinctus
