ENSCCNP00000000137	ENSCCNG00000000187	Castor_canadensis	ENSCCNT00000000188
ENSUAMP00000023991	ENSUAMG00000018770	Ursus_americanus	ENSUAMT00000026795
ENSCPGP00000002979	ENSCPGG00000002207	Calidris_pygmaea	ENSCPGT00000003282
ENSABRP00000009370	ENSABRG00000008403	Anser_brachyrhynchus	ENSABRT00000013386
ENSCGOP00000038102	ENSCGOG00000017487	Cottoperca_gobio
ENSLCRP00005003667	ENSLCRG00005001937	Larimichthys_crocea
ENSMMOP00000017780	ENSMMOG00000013498	Mola_mola
ENSPMEP00000032777	ENSPMEG00000020892	Poecilia_mexicana
ENSNBRP00000018485	ENSNBRG00000014254	Neolamprologus_brichardi
ENSCVAP00000032923	ENSCVAG00000023336	Cyprinodon_variegatus
ENSPREP00000003717	ENSPREG00000002676	Poecilia_reticulata
ENSHHUP00000032393	ENSHHUG00000020541	Hucho_hucho
ENSBMUP00000033034	ENSBMUG00000024679	Bos_mutus
ENSPPRP00000007129	ENSPPRG00000002373	Panthera_pardus
ENSSPUP00000000461	ENSSPUG00000000432	Sphenodon_punctatus
