ENSDARP00000036317	ENSDARG00000022372	Danio_rerio
ENSEEEP00000024693	ENSEEEG00000011957	Electrophorus_electricus
ENSPREP00000033452	ENSPREG00000022657	Poecilia_reticulata
ENSGAFP00000015642	ENSGAFG00000010551	Gambusia_affinis
ENSORLP00000014613	ENSORLG00000011656	Oryzias_latipes_ASM223467v1
ENSORLP00020004939	ENSORLG00020005744	Oryzias_latipes_ASM223471v1
ENSORLP00015002851	ENSORLG00015000095	Oryzias_latipes_ASM223469v1
ENSOMEP00000010137	ENSOMEG00000011412	Oryzias_melastigma
ENSAOCP00000028437	ENSAOCG00000018035	Amphiprion_ocellaris
ENSAPEP00000020517	ENSAPEG00000014666	Amphiprion_percula
ENSSPAP00000014805	ENSSPAG00000011176	Stegastes_partitus
ENSMMOP00000001897	ENSMMOG00000001590	Mola_mola
ENSTNIP00000009566	ENSTNIG00000006779	Tetraodon_nigroviridis
ENSSMAP00000032064	ENSSMAG00000019641	Scophthalmus_maximus
ENSPMGP00000029721	ENSPMGG00000023921	Periophthalmus_magnuspinnatus
ENSGMOP00000009133	ENSGMOG00000008529	Gadus_morhua
ENSPKIP00000006487	ENSPKIG00000022749	Paramormyrops_kingsleyae
