ENSHCOP00000006477	ENSHCOG00000008284	Hippocampus_comes	ENSHCOT00000003612
ENSMLUP00000013204	ENSMLUG00000014513	Myotis_lucifugus
ENSACIP00000004551	ENSACIG00000003584	Amphilophus_citrinellus
ENSECAP00000010289	ENSECAG00000012439	Equus_caballus
ENSORLP00020035042	ENSORLG00020021833	Oryzias_latipes_ASM223471v1
ENSANAP00000012727	ENSANAG00000024299	Aotus_nancymaae
ENSORLP00015010648	ENSORLG00015000835	Oryzias_latipes_ASM223469v1
ENSKMAP00000027179	ENSKMAG00000020163	Kryptolebias_marmoratus	ENSKMAT00000027520
ENSZALP00000001663	ENSZALG00000001986	Zonotrichia_albicollis
ENSXETP00000050792	ENSXETG00000017959	Xenopus_tropicalis
ENSMMOP00000001330	ENSMMOG00000001122	Mola_mola	ENSMMOT00000001358
ENSNGAP00000025207	ENSNGAG00000023238	Nannospalax_galili
ENSMNEP00000031160	ENSMNEG00000039003	Macaca_nemestrina
ENSPTIP00000015922	ENSPTIG00000014877	Panthera_tigris_altaica
ENSAMXP00000030399	ENSAMXG00000030695	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSVPAP00000005083	ENSVPAG00000005469	Vicugna_pacos
ENSAMXP00005025674	ENSAMXG00005013002	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAPLP00000013473	ENSAPLG00000013657	Anas_platyrhynchos_platyrhynchos
ENSTSYP00000025763	ENSTSYG00000032912	Carlito_syrichta
ENSNLEP00000003113	ENSNLEG00000002574	Nomascus_leucogenys
ENSSMRP00000028405	ENSSMRG00000021839	Salvator_merianae
ENSACLP00000005148	ENSACLG00000003462	Astatotilapia_calliptera
ENSORLP00020033208	ENSORLG00020000723	Oryzias_latipes_ASM223471v1
ENSSTOP00000008733	ENSSTOG00000009740	Ictidomys_tridecemlineatus
ENSMUNP00000021723	ENSMUNG00000016358	Melopsittacus_undulatus
ENSGALP00000048616	ENSGALG00000034907	Gallus_gallus
ENSMZEP00005010875	ENSMZEG00005008174	Maylandia_zebra
ENSDORP00000007408	ENSDORG00000007900	Dipodomys_ordii
ENSCABP00000003595	ENSCABG00000002737	Chelonoidis_abingdonii
ENSUMAP00000021613	ENSUMAG00000015806	Ursus_maritimus
ENSOMEP00000010605	ENSOMEG00000011882	Oryzias_melastigma
ENSPSIP00000007937	ENSPSIG00000007287	Pelodiscus_sinensis
ENSMUSP00000035423	ENSMUSG00000038700	Mus_musculus_strain_reference_(CL57BL6)
ENSPMGP00000015311	ENSPMGG00000012524	Periophthalmus_magnuspinnatus
ENSMALP00000001979	ENSMALG00000001453	Monopterus_albus
ENSMUGP00000026677	ENSMUGG00000022231	Meriones_unguiculatus
ENSCCNP00000005862	ENSCCNG00000006214	Castor_canadensis
ENSSFOP00015007695	ENSSFOG00015005053	Scleropages_formosus
ENSBIXP00005028085	ENSBIXG00005029559	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSVVUP00000004263	ENSVVUG00000003354	Vulpes_vulpes
ENSOCUP00000016255	ENSOCUG00000023093	Oryctolagus_cuniculus
ENSPPYP00000009978	ENSPPYG00000008898	Pongo_abelii
ENSFHEP00000004808	ENSFHEG00000005723	Fundulus_heteroclitus
ENSPLAP00000030117	ENSPLAG00000020912	Poecilia_latipinna
ENSDARP00000004270	ENSDARG00000013057	Danio_rerio
ENSSMAP00000026406	ENSSMAG00000016155	Scophthalmus_maximus
ENSEBUP00000023126	ENSEBUG00000014255	Eptatretus_burgeri
ENSCHIP00000027045	ENSCHIG00000023147	Capra_hircus
ENSLCRP00005058194	ENSLCRG00005021615	Larimichthys_crocea
ENSSLDP00000015344	ENSSLDG00000012209	Seriola_lalandi_dorsalis
ENSNSUP00000009738	ENSNSUG00000007445	Notechis_scutatus
ENSGMOP00000020602	ENSGMOG00000019159	Gadus_morhua
ENSMAUP00000024622	ENSMAUG00000021419	Mesocricetus_auratus
MGP_SPRETEiJ_P0030846	MGP_SPRETEiJ_G0017874	Mus_spretus_strain_SPRET/EiJ
ENSJJAP00000000893	ENSJJAG00000000763	Jaculus_jaculus
ENSPCOP00000008769	ENSPCOG00000015692	Propithecus_coquereli
ENSAPEP00000006460	ENSAPEG00000004651	Amphiprion_percula
ENSNMEP00000005108	ENSNMEG00000005386	Numida_meleagris
ENSGWIP00000048477	ENSGWIG00000023761	Gouania_willdenowi
ENSCMIP00000037650	ENSCMIG00000015819	Callorhinchus_milii
ENSCPOP00000028573	ENSCPOG00000030746	Cavia_porcellus
ENSRNOP00000010724	ENSRNOG00000008010	Rattus_norvegicus
ENSGMOP00000019243	ENSGMOG00000017901	Gadus_morhua	ENSGMOT00000019708
ENSCVAP00000000219	ENSCVAG00000001108	Cyprinodon_variegatus
ENSCJAP00000013895	ENSCJAG00000007472	Callithrix_jacchus
ENSCPRP00005010121	ENSCPRG00005007222	Crocodylus_porosus
ENSMICP00000043661	ENSMICG00000047139	Microcebus_murinus
ENSOGAP00000016130	ENSOGAG00000032432	Otolemur_garnettii
ENSNVIP00000007610	ENSNVIG00000006049	Neovison_vison
ENSCGOP00000001255	ENSCGOG00000000752	Cottoperca_gobio
ENSPPRP00000004126	ENSPPRG00000000333	Panthera_pardus
ENSAHAP00000019494	ENSAHAG00000013785	Apteryx_haastii
ENSECRP00000032915	ENSECRG00000022297	Erpetoichthys_calabaricus
ENSDNOP00000033732	ENSDNOG00000042538	Dasypus_novemcinctus
ENSAMEP00000005246	ENSAMEG00000004967	Ailuropoda_melanoleuca
ENSAPOP00000000255	ENSAPOG00000001445	Acanthochromis_polyacanthus
ENSVURP00010009822	ENSVURG00010007599	Vombatus_ursinus
ENSMAMP00000001686	ENSMAMG00000001208	Mastacembelus_armatus
ENSMMUP00000065678	ENSMMUG00000051420	Macaca_mulatta
ENSPNAP00000016226	ENSPNAG00000022352	Pygocentrus_nattereri
ENSLCOP00000002007	ENSLCOG00000001579	Lepidothrix_coronata
ENSSSCP00000018588	ENSSSCG00000017540	Sus_scrofa_strain_reference
ENSCGRP00000009703	ENSCGRG00000007090	Cricetulus_griseus_CriGri_1.0
ENSOANP00000009189	ENSOANG00000005766	Ornithorhynchus_anatinus
ENSPRNP00000033985	ENSPRNG00000017098	Parambassis_ranga
ENSCAFP00020029916	ENSCAFG00020023301	Canis_lupus_dingo
