ENSATEP00000001710	ENSATEG00000000981	Anabas_testudineus
ENSPRNP00000015571	ENSPRNG00000007217	Parambassis_ranga
ENSORLP00000015165	ENSORLG00000012120	Oryzias_latipes_ASM223467v1
ENSMZEP00005021540	ENSMZEG00005016165	Maylandia_zebra
ENSMMOP00000027942	ENSMMOG00000021126	Mola_mola
ENSOMEP00000033842	ENSOMEG00000020076	Oryzias_melastigma
ENSCSEP00000031677	ENSCSEG00000020299	Cynoglossus_semilaevis
ENSSLDP00000026996	ENSSLDG00000020939	Seriola_lalandi_dorsalis
ENSTNIP00000005176	ENSTNIG00000002623	Tetraodon_nigroviridis
ENSAOCP00000015812	ENSAOCG00000020697	Amphiprion_ocellaris
ENSPLAP00000023949	ENSPLAG00000009750	Poecilia_latipinna
ENSLCRP00005012124	ENSLCRG00005002410	Larimichthys_crocea
ENSLBEP00000028329	ENSLBEG00000021411	Labrus_bergylta
ENSDCDP00000006996	ENSDCDG00000003706	Denticeps_clupeoides	ENSDCDT00000007806
ENSHCOP00000009977	ENSHCOG00000012526	Hippocampus_comes
ENSFHEP00000013364	ENSFHEG00000014904	Fundulus_heteroclitus
ENSXMAP00000006625	ENSXMAG00000006614	Xiphophorus_maculatus
ENSXCOP00000004043	ENSXCOG00000003172	Xiphophorus_couchianus
ENSORLP00020026281	ENSORLG00020008734	Oryzias_latipes_ASM223471v1
ENSHHUP00000058855	ENSHHUG00000034972	Hucho_hucho
ENSORLP00020026362	ENSORLG00020008795	Oryzias_latipes_ASM223471v1
ENSORLP00000023264	ENSORLG00000018603	Oryzias_latipes_ASM223467v1
ENSACLP00000038256	ENSACLG00000025802	Astatotilapia_calliptera
ENSNBRP00000014411	ENSNBRG00000011112	Neolamprologus_brichardi
ENSFHEP00000023844	ENSFHEG00000005179	Fundulus_heteroclitus
ENSACLP00000038311	ENSACLG00000025842	Astatotilapia_calliptera
ENSORLP00000023269	ENSORLG00000012115	Oryzias_latipes_ASM223467v1
ENSPMEP00000013191	ENSPMEG00000015523	Poecilia_mexicana
ENSACLP00000038386	ENSACLG00000025882	Astatotilapia_calliptera
