ENSPCIP00000003672	ENSPCIG00000003014	Phascolarctos_cinereus	ENSPCIT00000004574
ENSVURP00010022967	ENSVURG00010017601	Vombatus_ursinus	ENSVURT00010026138
ENSMEUP00000011372	ENSMEUG00000012485	Notamacropus_eugenii	ENSMEUT00000012509
ENSMODP00000035047	ENSMODG00000024666	Monodelphis_domestica	ENSMODT00000036635
ENSLAFP00000015892	ENSLAFG00000020742	Loxodonta_africana
ENSPCAP00000010269	ENSPCAG00000011076	Procavia_capensis
ENSPEMP00000034150	ENSPEMG00000029038	Peromyscus_maniculatus_bairdii
ENSMOCP00000025964	ENSMOCG00000021918	Microtus_ochrogaster
ENSCGRP00015038451	ENSCGRG00015028742	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001007949	ENSCGRG00001010310	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000016340	ENSMAUG00000015510	Mesocricetus_auratus
MGP_SPRETEiJ_P0018598	MGP_SPRETEiJ_G0014931	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000004916	ENSMSIG00000004484	Mus_spicilegus
ENSMUSP00000055413	ENSMUSG00000043629	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0017530	MGP_CAROLIEiJ_G0014121	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0072924	MGP_PahariEiJ_G0027367	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000055932	ENSRNOG00000038738	Rattus_norvegicus
ENSMUGP00000025891	ENSMUGG00000021603	Meriones_unguiculatus
ENSNGAP00000006808	ENSNGAG00000010148	Nannospalax_galili
ENSCCNP00000030469	ENSCCNG00000029162	Castor_canadensis
ENSUPAP00010029376	ENSUPAG00010023127	Urocitellus_parryii
ENSSDAP00000018607	ENSSDAG00000017013	Spermophilus_dauricus
ENSMMMP00000010535	ENSMMMG00000009388	Marmota_marmota_marmota
ENSOCUP00000024580	ENSOCUG00000028135	Oryctolagus_cuniculus
ENSOPRP00000016179	ENSOPRG00000018756	Ochotona_princeps
ENSPSMP00000007246	ENSPSMG00000005401	Prolemur_simus
ENSOGAP00000018042	ENSOGAG00000028117	Otolemur_garnettii
ENSRBIP00000003041	ENSRBIG00000014474	Rhinopithecus_bieti
ENSRROP00000006613	ENSRROG00000025891	Rhinopithecus_roxellana
ENSCANP00000000846	ENSCANG00000003255	Colobus_angolensis_palliatus
ENSPTEP00000021624	ENSPTEG00000022648	Piliocolobus_tephrosceles
ENSMMUP00000062516	ENSMMUG00000037672	Macaca_mulatta
ENSMNEP00000005023	ENSMNEG00000022876	Macaca_nemestrina
ENSMFAP00000012912	ENSMFAG00000026934	Macaca_fascicularis
ENSCATP00000000591	ENSCATG00000002994	Cercocebus_atys
ENSMLEP00000000689	ENSMLEG00000002411	Mandrillus_leucophaeus
ENSPANP00000000276	ENSPANG00000009634	Papio_anubis
ENSTGEP00000035238	ENSTGEG00000028077	Theropithecus_gelada
ENSCSAP00000018186	ENSCSAG00000018660	Chlorocebus_sabaeus
ENSPTRP00000021780	ENSPTRG00000012740	Pan_troglodytes
ENSPPAP00000006966	ENSPPAG00000026004	Pan_paniscus
ENSP00000345107	ENSG00000187699	Homo_sapiens
ENSGGOP00000021727	ENSGGOG00000025627	Gorilla_gorilla
ENSPPYP00000014546	ENSPPYG00000013020	Pongo_abelii
ENSNLEP00000008082	ENSNLEG00000006645	Nomascus_leucogenys
ENSCJAP00000010403	ENSCJAG00000005673	Callithrix_jacchus
ENSUAMP00000001362	ENSUAMG00000001302	Ursus_americanus
ENSUMAP00000026269	ENSUMAG00000019130	Ursus_maritimus
