ENSVURP00010018324	ENSVURG00010013978	Vombatus_ursinus	ENSVURT00010020838
ENSPCIP00000003194	ENSPCIG00000002612	Phascolarctos_cinereus	ENSPCIT00000003964
ENSMEUP00000006069	ENSMEUG00000006647	Notamacropus_eugenii	ENSMEUT00000006665
ENSSHAP00000016226	ENSSHAG00000013810	Sarcophilus_harrisii	ENSSHAT00000016360
ENSMODP00000018382	ENSMODG00000014705	Monodelphis_domestica	ENSMODT00000018715
ENSSSCP00000015927	ENSSSCG00000015002	Sus_scrofa_strain_reference
ENSVPAP00000004571	ENSVPAG00000004934	Vicugna_pacos
ENSCHIP00000015560	ENSCHIG00000016129	Capra_hircus
ENSOARP00000011428	ENSOARG00000010653	Ovis_aries
ENSBIXP00005014788	ENSBIXG00005018713	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000004981	ENSBIXG00000007662	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000059345	ENSBTAG00000002691	Bos_taurus
ENSBMUP00000014638	ENSBMUG00000011105	Bos_mutus
ENSBBBP00000028213	ENSBBBG00000024882	Bison_bison_bison
ENSTTRP00000003120	ENSTTRG00000003327	Tursiops_truncatus
ENSAMEP00000002320	ENSAMEG00000002195	Ailuropoda_melanoleuca
ENSUMAP00000011631	ENSUMAG00000008718	Ursus_maritimus
ENSNVIP00000031675	ENSNVIG00000024353	Neovison_vison
ENSMPUP00000006018	ENSMPUG00000006069	Mustela_putorius_furo
ENSUAMP00000030799	ENSUAMG00000023653	Ursus_americanus
ENSCAFP00000021646	ENSCAFG00000014676	Canis_lupus_familiaris
ENSCAFP00020010947	ENSCAFG00020008836	Canis_lupus_dingo
ENSVVUP00000019014	ENSVVUG00000014009	Vulpes_vulpes
ENSPTIP00000010197	ENSPTIG00000011016	Panthera_tigris_altaica
ENSPPRP00000028098	ENSPPRG00000020066	Panthera_pardus
ENSFCAP00000057116	ENSFCAG00000025149	Felis_catus
ENSECAP00000027709	ENSECAG00000010926	Equus_caballus
ENSEASP00005015825	ENSEASG00005011008	Equus_asinus_asinus
ENSPVAP00000011282	ENSPVAG00000011972	Pteropus_vampyrus
ENSEEUP00000010458	ENSEEUG00000011468	Erinaceus_europaeus
ENSSDAP00000012948	ENSSDAG00000011652	Spermophilus_dauricus
ENSMMMP00000000977	ENSMMMG00000000907	Marmota_marmota_marmota
ENSSTOP00000032557	ENSSTOG00000001237	Ictidomys_tridecemlineatus
ENSUPAP00010009926	ENSUPAG00010008041	Urocitellus_parryii
ENSTBEP00000011448	ENSTBEG00000013213	Tupaia_belangeri
ENSOCUP00000010201	ENSOCUG00000011869	Oryctolagus_cuniculus
ENSOPRP00000008809	ENSOPRG00000009640	Ochotona_princeps
ENSPTRP00000072942	ENSPTRG00000004241	Pan_troglodytes
ENSPPAP00000036959	ENSPPAG00000041230	Pan_paniscus
ENSP00000265840	ENSG00000110675	Homo_sapiens
