ENSPMAP00000005601	ENSPMAG00000005095	Petromyzon_marinus	ENSPMAT00000005622
ENSEBUP00000011584	ENSEBUG00000007417	Eptatretus_burgeri	ENSEBUT00000012156
ENSMGAP00000004040	ENSMGAG00000004260	Meleagris_gallopavo
ENSCJPP00005026663	ENSCJPG00005020713	Coturnix_japonica
ENSGALP00000003058	ENSGALG00000001971	Gallus_gallus
ENSNMEP00000018427	ENSNMEG00000015845	Numida_meleagris
ENSABRP00000022318	ENSABRG00000018915	Anser_brachyrhynchus
ENSAPLP00000000719	ENSAPLG00000001208	Anas_platyrhynchos_platyrhynchos
ENSLCOP00000019057	ENSLCOG00000013368	Lepidothrix_coronata
ENSMVIP00005027289	ENSMVIG00005019039	Manacus_vitellinus
ENSLSDP00000008670	ENSLSDG00000006475	Lonchura_striata_domestica
ENSTGUP00000008183	ENSTGUG00000007923	Taeniopygia_guttata
ENSSCAP00000003891	ENSSCAG00000003077	Serinus_canaria
ENSPMJP00000010522	ENSPMJG00000008271	Parus_major
ENSCCEP00000011651	ENSCCEG00000011100	Cyanistes_caeruleus
ENSFALP00000000985	ENSFALG00000000946	Ficedula_albicollis
ENSZALP00000018994	ENSZALG00000015141	Zonotrichia_albicollis
ENSJHYP00000014870	ENSJHYG00000011497	Junco_hyemalis
ENSMUNP00000006724	ENSMUNG00000005401	Melopsittacus_undulatus
ENSCPGP00000014169	ENSCPGG00000010029	Calidris_pygmaea
ENSCPUP00000005446	ENSCPUG00000003993	Calidris_pugnax
ENSAOWP00000017226	ENSAOWG00000011600	Apteryx_owenii
ENSAHAP00000007935	ENSAHAG00000005461	Apteryx_haastii
ENSARWP00000008870	ENSARWG00000005800	Apteryx_rowi
ENSDNVP00000017851	ENSDNVG00000012453	Dromaius_novaehollandiae
ENSNPEP00000019257	ENSNPEG00000014356	Nothoprocta_perdicaria
ENSCPRP00005010044	ENSCPRG00005006918	Crocodylus_porosus
ENSGAGP00000035734	ENSGAGG00000025370	Gopherus_agassizii
ENSCABP00000012275	ENSCABG00000008861	Chelonoidis_abingdonii
ENSCPBP00000040785	ENSCPBG00000028009	Chrysemys_picta_bellii
ENSPSIP00000002694	ENSPSIG00000002624	Pelodiscus_sinensis
ENSACAP00000008191	ENSACAG00000008318	Anolis_carolinensis
ENSPVIP00000012397	ENSPVIG00000009511	Pogona_vitticeps
ENSNSUP00000021622	ENSNSUG00000015708	Notechis_scutatus
ENSSMRP00000030190	ENSSMRG00000023159	Salvator_merianae
ENSSPUP00000010110	ENSSPUG00000007821	Sphenodon_punctatus	ENSSPUT00000010772
ENSCCNP00000018769	ENSCCNG00000018889	Castor_canadensis
ENSDORP00000009949	ENSDORG00000010584	Dipodomys_ordii
ENSCGRP00015007853	ENSCGRG00015006121	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001001588	ENSCGRG00001001374	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000017728	ENSCGRG00000012890	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000008478	ENSMAUG00000009861	Mesocricetus_auratus
ENSMOCP00000014697	ENSMOCG00000014113	Microtus_ochrogaster
MGP_SPRETEiJ_P0032619	MGP_SPRETEiJ_G0018292	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000031976	ENSMSIG00000026768	Mus_spicilegus
ENSMUSP00000080791	ENSMUSG00000020802	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0031177	MGP_CAROLIEiJ_G0017447	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0037902	MGP_PahariEiJ_G0018576	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000014699	ENSRNOG00000011007	Rattus_norvegicus
ENSJJAP00000015409	ENSJJAG00000017585	Jaculus_jaculus
ENSUPAP00010000780	ENSUPAG00010000644	Urocitellus_parryii
ENSSTOP00000023702	ENSSTOG00000028690	Ictidomys_tridecemlineatus
ENSSDAP00000012961	ENSSDAG00000011628	Spermophilus_dauricus
