ENSMFAP00000012399	ENSMFAG00000024169	Macaca_fascicularis	ENSMFAT00000057981
ENSMNEP00000004286	ENSMNEG00000020052	Macaca_nemestrina	ENSMNET00000021881
ENSMMUP00000020620	ENSMMUG00000015706	Macaca_mulatta	ENSMMUT00000022042
ENSMLEP00000006237	ENSMLEG00000026250	Mandrillus_leucophaeus	ENSMLET00000028777
ENSCATP00000007673	ENSCATG00000022780	Cercocebus_atys	ENSCATT00000026317
ENSTGEP00000027397	ENSTGEG00000022122	Theropithecus_gelada	ENSTGET00000032666
ENSPANP00000008431	ENSPANG00000015250	Papio_anubis	ENSPANT00000018097
ENSCSAP00000018981	ENSCSAG00000019477	Chlorocebus_sabaeus	ENSCSAT00000019567
ENSPTEP00000021220	ENSPTEG00000022326	Piliocolobus_tephrosceles	ENSPTET00000030667
ENSP00000360167	ENSG00000198889	Homo_sapiens	ENST00000371126
ENSGGOP00000015798	ENSGGOG00000016198	Gorilla_gorilla	ENSGGOT00000016250
ENSPTRP00000038898	ENSPTRG00000043960	Pan_troglodytes	ENSPTRT00000042258
ENSPPAP00000006761	ENSPPAG00000025645	Pan_paniscus	ENSPPAT00000028421
ENSPPYP00000023171	ENSPPYG00000020700	Pongo_abelii	ENSPPYT00000024142
ENSNLEP00000018424	ENSNLEG00000015176	Nomascus_leucogenys	ENSNLET00000019341
ENSCSAP00000014339	ENSCSAG00000018327	Chlorocebus_sabaeus	ENSCSAT00000016426
ENSPSMP00000002193	ENSPSMG00000001674	Prolemur_simus	ENSPSMT00000002584
ENSFCAP00000041874	ENSFCAG00000041282	Felis_catus	ENSFCAT00000055676
