ENSPSMP00000002600	ENSPSMG00000002070	Prolemur_simus
ENSMICP00000045407	ENSMICG00000043350	Microcebus_murinus
ENSNLEP00000020660	ENSNLEG00000017007	Nomascus_leucogenys	ENSNLET00000021693
ENSP00000431202	ENSG00000251247	Homo_sapiens
ENSRROP00000005990	ENSRROG00000024185	Rhinopithecus_roxellana
ENSRBIP00000007033	ENSRBIG00000027330	Rhinopithecus_bieti
ENSCANP00000023932	ENSCANG00000035373	Colobus_angolensis_palliatus
ENSMMUP00000073831	ENSMMUG00000049498	Macaca_mulatta
ENSCSAP00000018072	ENSCSAG00000018533	Chlorocebus_sabaeus
ENSANAP00000004052	ENSANAG00000020111	Aotus_nancymaae
ENSCJAP00000075435	ENSCJAG00000064630	Callithrix_jacchus
ENSODEP00000020542	ENSODEG00000015153	Octodon_degus
ENSCAPP00000004949	ENSCAPG00000007385	Cavia_aperea
ENSUPAP00010026960	ENSUPAG00010021328	Urocitellus_parryii
ENSSTOP00000013669	ENSSTOG00000015254	Ictidomys_tridecemlineatus
ENSSDAP00000005738	ENSSDAG00000005364	Spermophilus_dauricus
ENSMMMP00000004759	ENSMMMG00000004347	Marmota_marmota_marmota
ENSCCNP00000004633	ENSCCNG00000004947	Castor_canadensis
ENSOCUP00000026663	ENSOCUG00000029445	Oryctolagus_cuniculus
ENSBIXP00000033375	ENSBIXG00000000859	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005005282	ENSBIXG00005005953	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000026567	ENSBTAG00000008902	Bos_taurus
ENSBBBP00000026135	ENSBBBG00000021756	Bison_bison_bison
ENSOARP00000012117	ENSOARG00000011308	Ovis_aries
ENSVPAP00000011045	ENSVPAG00000011869	Vicugna_pacos
ENSNVIP00000020160	ENSNVIG00000015811	Neovison_vison
ENSMPUP00000018790	ENSMPUG00000018910	Mustela_putorius_furo
ENSCAFP00000043327	ENSCAFG00000042154	Canis_lupus_familiaris
ENSUAMP00000004528	ENSUAMG00000004150	Ursus_americanus
ENSPTIP00000008052	ENSPTIG00000009521	Panthera_tigris_altaica
ENSPPRP00000021260	ENSPPRG00000012125	Panthera_pardus
ENSFCAP00000036265	ENSFCAG00000034270	Felis_catus
ENSMOCP00000002240	ENSMOCG00000001758	Microtus_ochrogaster
ENSPEMP00000016677	ENSPEMG00000015830	Peromyscus_maniculatus_bairdii
ENSCGRP00000022517	ENSCGRG00000016322	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001025565	ENSCGRG00001023132	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000022984	ENSMAUG00000020269	Mesocricetus_auratus
ENSMUGP00000016221	ENSMUGG00000013919	Meriones_unguiculatus
ENSNGAP00000017768	ENSNGAG00000018096	Nannospalax_galili
MGP_SPRETEiJ_P0073743	MGP_SPRETEiJ_G0028781	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000051861	ENSMUSG00000051034	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0071037	MGP_CAROLIEiJ_G0027782	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0059237	MGP_PahariEiJ_G0024362	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000073606	ENSRNOG00000051442	Rattus_norvegicus
ENSCPOP00000025859	ENSCPOG00000039015	Cavia_porcellus
ENSBIXP00000012108	ENSBIXG00000017212	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005014295	ENSBIXG00005007651	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000049568	ENSBTAG00000038755	Bos_taurus
ENSBIXP00000011620	ENSBIXG00000006001	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005011896	ENSBIXG00005016239	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000052681	ENSBTAG00000037710	Bos_taurus
ENSCHIP00000011978	ENSCHIG00000013939	Capra_hircus
ENSCHIP00000019604	ENSCHIG00000018557	Capra_hircus
ENSBIXP00000006146	ENSBIXG00000001150	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00000011991	ENSBIXG00000017139	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005014068	ENSBIXG00005018108	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000022417	ENSBTAG00000037699	Bos_taurus
ENSBTAP00000072368	ENSBTAG00000030444	Bos_taurus
ENSBBBP00000015294	ENSBBBG00000023117	Bison_bison_bison
ENSOARP00000000281	ENSOARG00000000292	Ovis_aries
ENSBIXP00000012057	ENSBIXG00000017183	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005014184	ENSBIXG00005018200	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00005012071	ENSBIXG00005002606	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000030322	ENSBIXG00000012262	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000016916	ENSBBBG00000008080	Bison_bison_bison
ENSBIXP00005014290	ENSBIXG00005018286	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00005014128	ENSBIXG00005018146	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000012106	ENSBIXG00000017214	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000071838	ENSBTAG00000030440	Bos_taurus
ENSBBBP00000015315	ENSBBBG00000006065	Bison_bison_bison
ENSCHIP00000020954	ENSCHIG00000019435	Capra_hircus
ENSBIXP00005009110	ENSBIXG00005014062	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00005014169	ENSBIXG00005018179	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000012000	ENSBIXG00000017140	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCANP00000026753	ENSCANG00000036804	Colobus_angolensis_palliatus
ENSPTIP00000011334	ENSPTIG00000011781	Panthera_tigris_altaica
ENSUMAP00000024980	ENSUMAG00000018206	Ursus_maritimus
ENSOCUP00000027047	ENSOCUG00000029451	Oryctolagus_cuniculus
ENSOCUP00000026198	ENSOCUG00000029453	Oryctolagus_cuniculus
ENSDNOP00000017041	ENSDNOG00000011560	Dasypus_novemcinctus
ENSPCAP00000011049	ENSPCAG00000011853	Procavia_capensis
