ENSODEP00000021447	ENSODEG00000015786	Octodon_degus
ENSCAPP00000012723	ENSCAPG00000013492	Cavia_aperea
ENSSDAP00000011719	ENSSDAG00000010534	Spermophilus_dauricus
ENSMMMP00000012818	ENSMMMG00000011411	Marmota_marmota_marmota
MGP_CAROLIEiJ_P0071419	MGP_CAROLIEiJ_G0027857	Mus_caroli_strain_CAROLI_EIJ
ENSRNOP00000040645	ENSRNOG00000059116	Rattus_norvegicus
ENSNGAP00000018732	ENSNGAG00000018777	Nannospalax_galili
ENSCCNP00000017321	ENSCCNG00000017636	Castor_canadensis
ENSOCUP00000022984	ENSOCUG00000027305	Oryctolagus_cuniculus
ENSPTRP00000076215	ENSPTRG00000042965	Pan_troglodytes
ENSPTRP00000076012	ENSPTRG00000052674	Pan_troglodytes
ENSGGOP00000030541	ENSGGOG00000023938	Gorilla_gorilla
ENSPPYP00000019564	ENSPPYG00000017452	Pongo_abelii
ENSTSYP00000031523	ENSTSYG00000032094	Carlito_syrichta
ENSOGAP00000015467	ENSOGAG00000031175	Otolemur_garnettii
ENSPPRP00000002663	ENSPPRG00000023103	Panthera_pardus
ENSPTIP00000026217	ENSPTIG00000021707	Panthera_tigris_altaica
ENSCAFP00020016432	ENSCAFG00020013178	Canis_lupus_dingo
ENSVVUP00000032682	ENSVVUG00000023688	Vulpes_vulpes
ENSMPUP00000015824	ENSMPUG00000015930	Mustela_putorius_furo
ENSMLUP00000019955	ENSMLUG00000025790	Myotis_lucifugus
ENSDNOP00000030986	ENSDNOG00000032548	Dasypus_novemcinctus
ENSOANP00000004555	ENSOANG00000002865	Ornithorhynchus_anatinus
ENSFALP00000009858	ENSFALG00000009454	Ficedula_albicollis
ENSCCEP00000004337	ENSCCEG00000004821	Cyanistes_caeruleus
ENSSCAP00000007838	ENSSCAG00000006009	Serinus_canaria
ENSMUNP00000012802	ENSMUNG00000010023	Melopsittacus_undulatus
ENSAPLP00000028194	ENSAPLG00000028994	Anas_platyrhynchos_platyrhynchos
ENSABRP00000001059	ENSABRG00000001096	Anser_brachyrhynchus
ENSGALP00000002788	ENSGALG00000021636	Gallus_gallus
ENSDNVP00000009818	ENSDNVG00000006926	Dromaius_novaehollandiae
ENSARWP00000007385	ENSARWG00000005171	Apteryx_rowi
ENSGAGP00000028711	ENSGAGG00000020810	Gopherus_agassizii
ENSCABP00000002369	ENSCABG00000001719	Chelonoidis_abingdonii
ENSSMRP00000023076	ENSSMRG00000017906	Salvator_merianae
ENSNSUP00000010725	ENSNSUG00000008048	Notechis_scutatus
ENSSPUP00000013863	ENSSPUG00000010681	Sphenodon_punctatus
ENSSFOP00015006007	ENSSFOG00015003840	Scleropages_formosus
ENSPKIP00000029277	ENSPKIG00000010559	Paramormyrops_kingsleyae
ENSPNAP00000025016	ENSPNAG00000009932	Pygocentrus_nattereri
ENSAMXP00000033899	ENSAMXG00000034600	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSEEEP00000051908	ENSEEEG00000024351	Electrophorus_electricus
ENSIPUP00000006372	ENSIPUG00000004368	Ictalurus_punctatus
ENSDARP00000063328	ENSDARG00000043134	Danio_rerio
ENSCHAP00000008057	ENSCHAG00000004793	Clupea_harengus
ENSELUP00000031929	ENSELUG00000009668	Esox_lucius
ENSHHUP00000003256	ENSHHUG00000002033	Hucho_hucho
ENSXMAP00000028971	ENSXMAG00000028468	Xiphophorus_maculatus
ENSXCOP00000016697	ENSXCOG00000012592	Xiphophorus_couchianus
ENSGAFP00000018675	ENSGAFG00000012623	Gambusia_affinis
ENSPLAP00000006047	ENSPLAG00000008097	Poecilia_latipinna
ENSPFOP00000011748	ENSPFOG00000011475	Poecilia_formosa
ENSPREP00000002084	ENSPREG00000001528	Poecilia_reticulata
ENSPMEP00000007630	ENSPMEG00000009314	Poecilia_mexicana
ENSCVAP00000021939	ENSCVAG00000004324	Cyprinodon_variegatus
ENSFHEP00000014367	ENSFHEG00000015941	Fundulus_heteroclitus
ENSKMAP00000027870	ENSKMAG00000020657	Kryptolebias_marmoratus
ENSORLP00020002711	ENSORLG00020003517	Oryzias_latipes_ASM223471v1
ENSORLP00000008044	ENSORLG00000006404	Oryzias_latipes_ASM223467v1
ENSORLP00015005225	ENSORLG00015006044	Oryzias_latipes_ASM223469v1
ENSOMEP00000029128	ENSOMEG00000012624	Oryzias_melastigma
ENSAPOP00000000650	ENSAPOG00000001889	Acanthochromis_polyacanthus
ENSAPEP00000034588	ENSAPEG00000024558	Amphiprion_percula
ENSSPAP00000011842	ENSSPAG00000008975	Stegastes_partitus
ENSPRNP00000006485	ENSPRNG00000002507	Parambassis_ranga
ENSPNYP00000007623	ENSPNYG00000005815	Pundamilia_nyererei
ENSMZEP00005022113	ENSMZEG00005016586	Maylandia_zebra
ENSACLP00000024761	ENSACLG00000016849	Astatotilapia_calliptera
ENSHBUP00000001002	ENSHBUG00000002182	Haplochromis_burtoni
ENSNBRP00000006125	ENSNBRG00000004825	Neolamprologus_brichardi
ENSACIP00000018910	ENSACIG00000014669	Amphilophus_citrinellus
ENSGWIP00000020234	ENSGWIG00000010917	Gouania_willdenowi
ENSSMAP00000021425	ENSSMAG00000013100	Scophthalmus_maximus
ENSCSEP00000027058	ENSCSEG00000017266	Cynoglossus_semilaevis
ENSSDUP00000026010	ENSSDUG00000018826	Seriola_dumerili
ENSSLDP00000026353	ENSSLDG00000020434	Seriola_lalandi_dorsalis
ENSATEP00000020198	ENSATEG00000014052	Anabas_testudineus
ENSMAMP00000017691	ENSMAMG00000011934	Mastacembelus_armatus
ENSLBEP00000028632	ENSLBEG00000021595	Labrus_bergylta
ENSMALP00000018148	ENSMALG00000012636	Monopterus_albus
ENSHCOP00000021178	ENSHCOG00000007808	Hippocampus_comes
ENSMMOP00000016470	ENSMMOG00000012556	Mola_mola
ENSTRUP00000056483	ENSTRUG00000008546	Takifugu_rubripes
ENSGACP00000013126	ENSGACG00000009936	Gasterosteus_aculeatus
ENSTNIP00000010538	ENSTNIG00000007721	Tetraodon_nigroviridis
ENSGMOP00000009646	ENSGMOG00000009034	Gadus_morhua
ENSECRP00000011812	ENSECRG00000007871	Erpetoichthys_calabaricus
ENSCMIP00000027539	ENSCMIG00000011685	Callorhinchus_milii
ENSEBUP00000022626	ENSEBUG00000013897	Eptatretus_burgeri
ENSCSAVP00000011829	ENSCSAVG00000006939	Ciona_savignyi
ENSCINP00000008759	ENSCING00000004246	Ciona_intestinalis
