ENSLOCP00000020086	ENSLOCG00000016281	Lepisosteus_oculatus	ENSLOCT00000020119
ENSECRP00000014005	ENSECRG00000009243	Erpetoichthys_calabaricus
ENSOCUP00000038889	ENSOCUG00000004936	Oryctolagus_cuniculus
ENSOPRP00000007508	ENSOPRG00000008159	Ochotona_princeps
ENSTBEP00000002878	ENSTBEG00000003246	Tupaia_belangeri
ENSCCNP00000005157	ENSCCNG00000005489	Castor_canadensis
ENSDORP00000010411	ENSDORG00000011080	Dipodomys_ordii
ENSMSIP00000034521	ENSMSIG00000028730	Mus_spicilegus
MGP_SPRETEiJ_P0025947	MGP_SPRETEiJ_G0016614	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000032719	ENSMUSG00000020181	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0024713	MGP_CAROLIEiJ_G0015792	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0087948	MGP_PahariEiJ_G0031295	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000070987	ENSRNOG00000052157	Rattus_norvegicus
ENSMUGP00000005129	ENSMUGG00000004670	Meriones_unguiculatus
ENSCGRP00001024010	ENSCGRG00001022037	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000009885	ENSCGRG00000007239	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015013654	ENSCGRG00015010425	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000012111	ENSMAUG00000012505	Mesocricetus_auratus
ENSMOCP00000020848	ENSMOCG00000018391	Microtus_ochrogaster
ENSPEMP00000003073	ENSPEMG00000003783	Peromyscus_maniculatus_bairdii
ENSNGAP00000026618	ENSNGAG00000024210	Nannospalax_galili
ENSJJAP00000008162	ENSJJAG00000012332	Jaculus_jaculus
ENSHGLP00000016908	ENSHGLG00000012083	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100022822	ENSHGLG00100016785	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000012619	ENSFDAG00000019952	Fukomys_damarensis
ENSCPOP00000013914	ENSCPOG00000015431	Cavia_porcellus
ENSCAPP00000004168	ENSCAPG00000006708	Cavia_aperea
ENSCLAP00000017535	ENSCLAG00000012036	Chinchilla_lanigera
ENSODEP00000014071	ENSODEG00000010398	Octodon_degus
ENSUPAP00010006597	ENSUPAG00010005261	Urocitellus_parryii
ENSSDAP00000025192	ENSSDAG00000022905	Spermophilus_dauricus
ENSSTOP00000027509	ENSSTOG00000012725	Ictidomys_tridecemlineatus
ENSMMMP00000002276	ENSMMMG00000002035	Marmota_marmota_marmota
ENSPTRP00000084135	ENSPTRG00000005247	Pan_troglodytes
ENSPPAP00000026043	ENSPPAG00000036134	Pan_paniscus
ENSP00000381007	ENSG00000067798	Homo_sapiens
ENSGGOP00000006443	ENSGGOG00000006574	Gorilla_gorilla
ENSPPYP00000005462	ENSPPYG00000004792	Pongo_abelii
ENSNLEP00000006039	ENSNLEG00000004917	Nomascus_leucogenys
ENSCANP00000027395	ENSCANG00000037063	Colobus_angolensis_palliatus
ENSPTEP00000036430	ENSPTEG00000034198	Piliocolobus_tephrosceles
ENSRROP00000018586	ENSRROG00000033325	Rhinopithecus_roxellana
ENSRBIP00000017644	ENSRBIG00000032816	Rhinopithecus_bieti
ENSCATP00000016273	ENSCATG00000032040	Cercocebus_atys
ENSMLEP00000018875	ENSMLEG00000033553	Mandrillus_leucophaeus
ENSTGEP00000032649	ENSTGEG00000026054	Theropithecus_gelada
ENSPANP00000032316	ENSPANG00000007911	Papio_anubis
ENSMFAP00000025763	ENSMFAG00000044289	Macaca_fascicularis
ENSMMUP00000039101	ENSMMUG00000021329	Macaca_mulatta
ENSMNEP00000041286	ENSMNEG00000043424	Macaca_nemestrina
ENSCSAP00000000336	ENSCSAG00000003979	Chlorocebus_sabaeus
ENSSBOP00000040220	ENSSBOG00000036099	Saimiri_boliviensis_boliviensis
ENSCJAP00000035729	ENSCJAG00000019176	Callithrix_jacchus
ENSANAP00000040725	ENSANAG00000037686	Aotus_nancymaae
ENSCCAP00000007328	ENSCCAG00000021309	Cebus_capucinus_imitator
ENSTSYP00000002462	ENSTSYG00000002601	Carlito_syrichta
ENSPSMP00000006291	ENSPSMG00000004708	Prolemur_simus
ENSMICP00000003101	ENSMICG00000003403	Microcebus_murinus
ENSPCOP00000031122	ENSPCOG00000028313	Propithecus_coquereli
ENSOGAP00000009495	ENSOGAG00000010604	Otolemur_garnettii
ENSOARP00000016098	ENSOARG00000014996	Ovis_aries
ENSCHIP00000009467	ENSCHIG00000012255	Capra_hircus
ENSBIXP00000021294	ENSBIXG00000024410	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005001691	ENSBIXG00005000135	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
