ENSLCRP00005034592	ENSLCRG00005013561	Larimichthys_crocea
ENSCGOP00000038065	ENSCGOG00000017470	Cottoperca_gobio
ENSSMAP00000002446	ENSSMAG00000001525	Scophthalmus_maximus
ENSSDUP00000013598	ENSSDUG00000009871	Seriola_dumerili	ENSSDUT00000013843
ENSLCAP00010028740	ENSLCAG00010013470	Lates_calcarifer
ENSLBEP00000010594	ENSLBEG00000008189	Labrus_bergylta
ENSAPEP00000017762	ENSAPEG00000012695	Amphiprion_percula
ENSAPOP00000031391	ENSAPOG00000018595	Acanthochromis_polyacanthus
ENSSPAP00000007379	ENSSPAG00000005649	Stegastes_partitus
ENSORLP00020003794	ENSORLG00020004571	Oryzias_latipes_ASM223471v1
ENSHBUP00000019889	ENSHBUG00000022120	Haplochromis_burtoni
ENSACLP00000017233	ENSACLG00000011750	Astatotilapia_calliptera
ENSPNYP00000016714	ENSPNYG00000012658	Pundamilia_nyererei
ENSMZEP00005037112	ENSMZEG00005027652	Maylandia_zebra
ENSNBRP00000026372	ENSNBRG00000020149	Neolamprologus_brichardi
ENSONIP00000023246	ENSONIG00000018465	Oreochromis_niloticus
ENSPRNP00000045605	ENSPRNG00000022072	Parambassis_ranga
ENSMAMP00000031946	ENSMAMG00000021467	Mastacembelus_armatus
ENSMAMP00000031898	ENSMAMG00000021441	Mastacembelus_armatus
ENSMAMP00000031971	ENSMAMG00000021497	Mastacembelus_armatus
ENSMAMP00000031850	ENSMAMG00000021433	Mastacembelus_armatus
ENSPMGP00000000218	ENSPMGG00000000244	Periophthalmus_magnuspinnatus
