ENSMAMP00000008666	ENSMAMG00000005870	Mastacembelus_armatus
ENSPREP00000013069	ENSPREG00000008866	Poecilia_reticulata
ENSVURP00010028260	ENSVURG00010021641	Vombatus_ursinus
ENSGMOP00000021856	ENSGMOG00000020370	Gadus_morhua
ENSCGRP00000019433	ENSCGRG00000014157	Cricetulus_griseus_CriGri_1.0
ENSFDAP00000010461	ENSFDAG00000018218	Fukomys_damarensis
ENSBMUP00000004877	ENSBMUG00000003808	Bos_mutus
ENSCCNP00000007564	ENSCCNG00000008055	Castor_canadensis
ENSPMGP00000021580	ENSPMGG00000017425	Periophthalmus_magnuspinnatus
ENSPMAP00000005304	ENSPMAG00000004838	Petromyzon_marinus
ENSRNOP00000035156	ENSRNOG00000024603	Rattus_norvegicus
ENSPCOP00000022192	ENSPCOG00000023173	Propithecus_coquereli
ENSMUNP00000009168	ENSMUNG00000007237	Melopsittacus_undulatus
ENSVVUP00000015983	ENSVVUG00000011758	Vulpes_vulpes
ENSHHUP00000006570	ENSHHUG00000004018	Hucho_hucho
ENSJJAP00000024194	ENSJJAG00000023733	Jaculus_jaculus
ENSPRNP00000047715	ENSPRNG00000022897	Parambassis_ranga
ENSCANP00000024642	ENSCANG00000035729	Colobus_angolensis_palliatus
ENSMNEP00000023564	ENSMNEG00000035375	Macaca_nemestrina
ENSCSAVP00000014089	ENSCSAVG00000008262	Ciona_savignyi
MGP_SPRETEiJ_P0025068	MGP_SPRETEiJ_G0016393	Mus_spretus_strain_SPRET/EiJ
ENSRBIP00000016566	ENSRBIG00000032312	Rhinopithecus_bieti
ENSODEP00000018067	ENSODEG00000013320	Octodon_degus
ENSMLUP00000019007	ENSMLUG00000016413	Myotis_lucifugus
ENSGAGP00000019358	ENSGAGG00000014288	Gopherus_agassizii
ENSMSIP00000007932	ENSMSIG00000007049	Mus_spicilegus
ENSPTEP00000034487	ENSPTEG00000032714	Piliocolobus_tephrosceles
ENSORLP00000007032	ENSORLG00000005592	Oryzias_latipes_ASM223467v1
ENSCABP00000018366	ENSCABG00000013599	Chelonoidis_abingdonii
ENSMMMP00000002456	ENSMMMG00000002276	Marmota_marmota_marmota
ENSORLP00015035390	ENSORLG00015021938	Oryzias_latipes_ASM223469v1
ENSSPUP00000008641	ENSSPUG00000006712	Sphenodon_punctatus
ENSSMRP00000020984	ENSSMRG00000016341	Salvator_merianae
ENSCANP00000006479	ENSCANG00000021659	Colobus_angolensis_palliatus
ENSCANP00000013092	ENSCANG00000029975	Colobus_angolensis_palliatus
ENSPTEP00000012902	ENSPTEG00000014496	Piliocolobus_tephrosceles
ENSANAP00000003518	ENSANAG00000019706	Aotus_nancymaae
ENSPMJP00000015391	ENSPMJG00000011687	Parus_major
