ENSCCNP00000019883	ENSCCNG00000019921	Castor_canadensis	ENSCCNT00000025729
ENSDORP00000007447	ENSDORG00000007940	Dipodomys_ordii	ENSDORT00000007940
ENSMUSP00000104047	ENSMUSG00000058741	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000080288
MGP_SPRETEiJ_P0081378	MGP_SPRETEiJ_G0030461	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0081378
ENSMSIP00000013833	ENSMSIG00000011932	Mus_spicilegus	ENSMSIT00000017548
MGP_CAROLIEiJ_P0078052	MGP_CAROLIEiJ_G0029364	Mus_caroli_strain_CAROLI_EIJ	MGP_CAROLIEiJ_T0078052
MGP_PahariEiJ_P0046384	MGP_PahariEiJ_G0021217	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0046384
ENSRNOP00000062750	ENSRNOG00000043154	Rattus_norvegicus	ENSRNOT00000068251
ENSMUGP00000030743	ENSMUGG00000025562	Meriones_unguiculatus	ENSMUGT00000035213
ENSCGRP00015027997	ENSCGRG00015021239	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001012227	ENSCGRG00001013680	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000020928	ENSCGRG00000015212	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000004362	ENSMAUG00000005563	Mesocricetus_auratus
ENSMOCP00000026355	ENSMOCG00000022197	Microtus_ochrogaster
ENSPEMP00000019627	ENSPEMG00000017854	Peromyscus_maniculatus_bairdii
ENSNGAP00000009534	ENSNGAG00000012197	Nannospalax_galili
ENSJJAP00000006547	ENSJJAG00000011188	Jaculus_jaculus
ENSCLAP00000000881	ENSCLAG00000000685	Chinchilla_lanigera
ENSODEP00000012609	ENSODEG00000009341	Octodon_degus
ENSCPOP00000018787	ENSCPOG00000024016	Cavia_porcellus
ENSCAPP00000013454	ENSCAPG00000014076	Cavia_aperea
ENSHGLP00100007435	ENSHGLG00100005567	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000004322	ENSHGLG00000003163	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000015582	ENSFDAG00000003541	Fukomys_damarensis
ENSUPAP00010001442	ENSUPAG00010001251	Urocitellus_parryii
ENSMMMP00000021408	ENSMMMG00000018862	Marmota_marmota_marmota
ENSSTOP00000023494	ENSSTOG00000024823	Ictidomys_tridecemlineatus
ENSSDAP00000006566	ENSSDAG00000006078	Spermophilus_dauricus
ENSOCUP00000049600	ENSOCUG00000023652	Oryctolagus_cuniculus	ENSOCUT00000026482
ENSTBEP00000012472	ENSTBEG00000014407	Tupaia_belangeri
ENSPPAP00000005388	ENSPPAG00000022293	Pan_paniscus
ENSPTRP00000018983	ENSPTRG00000011053	Pan_troglodytes
ENSP00000445247	ENSG00000188368	Homo_sapiens
ENSGGOP00000012921	ENSGGOG00000013249	Gorilla_gorilla
ENSPPYP00000011241	ENSPPYG00000010043	Pongo_abelii
ENSMLEP00000033098	ENSMLEG00000040738	Mandrillus_leucophaeus
ENSCATP00000035150	ENSCATG00000040460	Cercocebus_atys
ENSTGEP00000025838	ENSTGEG00000020803	Theropithecus_gelada
ENSPANP00000012001	ENSPANG00000010671	Papio_anubis
ENSMFAP00000031685	ENSMFAG00000036917	Macaca_fascicularis
ENSMMUP00000044584	ENSMMUG00000012171	Macaca_mulatta
ENSMNEP00000026523	ENSMNEG00000036706	Macaca_nemestrina
ENSCSAP00000014593	ENSCSAG00000003457	Chlorocebus_sabaeus
ENSPTEP00000024714	ENSPTEG00000025144	Piliocolobus_tephrosceles
ENSCANP00000029604	ENSCANG00000038434	Colobus_angolensis_palliatus
ENSRROP00000045731	ENSRROG00000045744	Rhinopithecus_roxellana
ENSRBIP00000004352	ENSRBIG00000020062	Rhinopithecus_bieti
ENSCCAP00000021667	ENSCCAG00000028670	Cebus_capucinus_imitator
ENSSBOP00000005065	ENSSBOG00000019280	Saimiri_boliviensis_boliviensis
ENSCJAP00000023659	ENSCJAG00000012914	Callithrix_jacchus
ENSANAP00000035733	ENSANAG00000035399	Aotus_nancymaae
ENSTSYP00000007403	ENSTSYG00000008126	Carlito_syrichta
ENSPCOP00000004879	ENSPCOG00000013235	Propithecus_coquereli	ENSPCOT00000015201
ENSMICP00000013858	ENSMICG00000015202	Microcebus_murinus	ENSMICT00000015193
ENSPSMP00000024641	ENSPSMG00000017364	Prolemur_simus	ENSPSMT00000028581
