ENSEEEP00000040621	ENSEEEG00000019247	Electrophorus_electricus
ENSIPUP00000033592	ENSIPUG00000022579	Ictalurus_punctatus
ENSPNAP00000023513	ENSPNAG00000000642	Pygocentrus_nattereri
ENSAMXP00005006952	ENSAMXG00005004083	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000003914	ENSAMXG00000003826	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSDARP00000027609	ENSDARG00000003132	Danio_rerio
ENSGWIP00000001196	ENSGWIG00000000712	Gouania_willdenowi
ENSGWIP00000000782	ENSGWIG00000000500	Gouania_willdenowi
ENSPMGP00000016041	ENSPMGG00000012751	Periophthalmus_magnuspinnatus
ENSGMOP00000011910	ENSGMOG00000011141	Gadus_morhua
ENSATEP00000030846	ENSATEG00000021304	Anabas_testudineus
ENSBSLP00000018236	ENSBSLG00000009527	Betta_splendens
ENSMZEP00005018846	ENSMZEG00005014143	Maylandia_zebra
ENSACLP00000016146	ENSACLG00000011019	Astatotilapia_calliptera
ENSPNYP00000002359	ENSPNYG00000001867	Pundamilia_nyererei
ENSHBUP00000005812	ENSHBUG00000007203	Haplochromis_burtoni
ENSONIP00000007436	ENSONIG00000005908	Oreochromis_niloticus
ENSNBRP00000024491	ENSNBRG00000018631	Neolamprologus_brichardi
ENSACIP00000027464	ENSACIG00000021283	Amphilophus_citrinellus
ENSSPAP00000000049	ENSSPAG00000000046	Stegastes_partitus
ENSPFOP00000019470	ENSPFOG00000019349	Poecilia_formosa
ENSPMEP00000007883	ENSPMEG00000000185	Poecilia_mexicana
ENSPLAP00000014294	ENSPLAG00000017955	Poecilia_latipinna
ENSPREP00000004847	ENSPREG00000003396	Poecilia_reticulata
ENSXMAP00000027208	ENSXMAG00000001487	Xiphophorus_maculatus
ENSXCOP00000006237	ENSXCOG00000003869	Xiphophorus_couchianus
ENSGAFP00000020006	ENSGAFG00000013528	Gambusia_affinis
ENSFHEP00000010102	ENSFHEG00000000812	Fundulus_heteroclitus
ENSCVAP00000021944	ENSCVAG00000004317	Cyprinodon_variegatus
ENSORLP00015023127	ENSORLG00015002898	Oryzias_latipes_ASM223469v1
ENSORLP00000001198	ENSORLG00000000982	Oryzias_latipes_ASM223467v1
ENSORLP00020000896	ENSORLG00020001603	Oryzias_latipes_ASM223471v1
ENSOMEP00000023949	ENSOMEG00000004323	Oryzias_melastigma
ENSCGOP00000003472	ENSCGOG00000001852	Cottoperca_gobio
ENSGACP00000022622	ENSGACG00000017125	Gasterosteus_aculeatus
ENSSMAP00000014252	ENSSMAG00000008751	Scophthalmus_maximus
ENSHCOP00000015664	ENSHCOG00000019340	Hippocampus_comes
ENSSLDP00000004956	ENSSLDG00000003944	Seriola_lalandi_dorsalis
ENSSDUP00000021348	ENSSDUG00000015532	Seriola_dumerili
ENSLCAP00010039186	ENSLCAG00010018323	Lates_calcarifer
ENSMALP00000021076	ENSMALG00000014747	Monopterus_albus
ENSMAMP00000023030	ENSMAMG00000015506	Mastacembelus_armatus
ENSLBEP00000025484	ENSLBEG00000019459	Labrus_bergylta
ENSLCRP00005037855	ENSLCRG00005014706	Larimichthys_crocea
ENSMMOP00000008773	ENSMMOG00000006599	Mola_mola
ENSTRUP00000049717	ENSTRUG00000016253	Takifugu_rubripes
ENSPRNP00000007584	ENSPRNG00000004380	Parambassis_ranga
ENSAPEP00000000165	ENSAPEG00000000118	Amphiprion_percula
ENSAOCP00000019986	ENSAOCG00000003766	Amphiprion_ocellaris
ENSAPEP00000009502	ENSAPEG00000006844	Amphiprion_percula
ENSAOCP00000007404	ENSAOCG00000011181	Amphiprion_ocellaris
ENSAPOP00000031594	ENSAPOG00000018941	Acanthochromis_polyacanthus
ENSTNIP00000012476	ENSTNIG00000009601	Tetraodon_nigroviridis
ENSELUP00000021855	ENSELUG00000020894	Esox_lucius
ENSKMAP00000004493	ENSKMAG00000003435	Kryptolebias_marmoratus
ENSCSEP00000004582	ENSCSEG00000002980	Cynoglossus_semilaevis
ENSDCDP00000063729	ENSDCDG00000035854	Denticeps_clupeoides
ENSCHAP00000000403	ENSCHAG00000000270	Clupea_harengus
ENSELUP00000021903	ENSELUG00000020924	Esox_lucius
ENSHHUP00000067383	ENSHHUG00000039724	Hucho_hucho
ENSSFOP00015017082	ENSSFOG00015011012	Scleropages_formosus
ENSPKIP00000033848	ENSPKIG00000013406	Paramormyrops_kingsleyae
ENSLOCP00000001524	ENSLOCG00000001341	Lepisosteus_oculatus
ENSECRP00000000922	ENSECRG00000000625	Erpetoichthys_calabaricus
ENSVURP00010015500	ENSVURG00010011869	Vombatus_ursinus
ENSPCIP00000001286	ENSPCIG00000001058	Phascolarctos_cinereus
ENSMEUP00000006070	ENSMEUG00000006651	Notamacropus_eugenii
ENSSHAP00000013482	ENSSHAG00000011523	Sarcophilus_harrisii
ENSMODP00000050829	ENSMODG00000009997	Monodelphis_domestica
ENSPVAP00000001517	ENSPVAG00000001608	Pteropus_vampyrus
ENSMLUP00000016947	ENSMLUG00000015728	Myotis_lucifugus
ENSBIXP00000014652	ENSBIXG00000019274	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005010324	ENSBIXG00005014975	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000024300	ENSBTAG00000018257	Bos_taurus
ENSBMUP00000011502	ENSBMUG00000008830	Bos_mutus
ENSBBBP00000018858	ENSBBBG00000011938	Bison_bison_bison
ENSCHIP00000031466	ENSCHIG00000025799	Capra_hircus
ENSOARP00000020060	ENSOARG00000018684	Ovis_aries
ENSTTRP00000001013	ENSTTRG00000001077	Tursiops_truncatus
