ENSEBUP00000021973	ENSEBUG00000013562	Eptatretus_burgeri	ENSEBUT00000022549
ENSEBUP00000021394	ENSEBUG00000013218	Eptatretus_burgeri	ENSEBUT00000021970
ENSEBUP00000019467	ENSEBUG00000012094	Eptatretus_burgeri	ENSEBUT00000020044
ENSEBUP00000018914	ENSEBUG00000011788	Eptatretus_burgeri	ENSEBUT00000019489
ENSPMAP00000009478	ENSPMAG00000008607	Petromyzon_marinus	ENSPMAT00000009518
ENSGAGP00000018230	ENSGAGG00000013502	Gopherus_agassizii
ENSCABP00000011041	ENSCABG00000008209	Chelonoidis_abingdonii
ENSCPBP00000039313	ENSCPBG00000027084	Chrysemys_picta_bellii
ENSAHAP00000002272	ENSAHAG00000001821	Apteryx_haastii
ENSARWP00000024483	ENSARWG00000016684	Apteryx_rowi
ENSAOWP00000011561	ENSAOWG00000007887	Apteryx_owenii
ENSDNVP00000003295	ENSDNVG00000002339	Dromaius_novaehollandiae
ENSNPEP00000012256	ENSNPEG00000009172	Nothoprocta_perdicaria
ENSTGUP00000006746	ENSTGUG00000006529	Taeniopygia_guttata
ENSLSDP00000017298	ENSLSDG00000012406	Lonchura_striata_domestica
ENSFALP00000009179	ENSFALG00000008799	Ficedula_albicollis
ENSPMJP00000016604	ENSPMJG00000012545	Parus_major
ENSCCEP00000027841	ENSCCEG00000024211	Cyanistes_caeruleus
ENSSCAP00000024005	ENSSCAG00000017173	Serinus_canaria
ENSJHYP00000015535	ENSJHYG00000011928	Junco_hyemalis
ENSZALP00000022344	ENSZALG00000017346	Zonotrichia_albicollis
ENSLCOP00000005694	ENSLCOG00000004220	Lepidothrix_coronata
ENSCPGP00000025978	ENSCPGG00000017907	Calidris_pygmaea
ENSCPUP00000006072	ENSCPUG00000004414	Calidris_pugnax
ENSMUNP00000020730	ENSMUNG00000015677	Melopsittacus_undulatus
ENSABRP00000002040	ENSABRG00000002039	Anser_brachyrhynchus
ENSAPLP00000018518	ENSAPLG00000029511	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000004117	ENSMGAG00000004323	Meleagris_gallopavo
ENSGALP00000055739	ENSGALG00000013722	Gallus_gallus
ENSCJPP00005014690	ENSCJPG00005012236	Coturnix_japonica
ENSACAP00000009267	ENSACAG00000009247	Anolis_carolinensis
ENSPVIP00000033281	ENSPVIG00000024339	Pogona_vitticeps
ENSNSUP00000006928	ENSNSUG00000005483	Notechis_scutatus
ENSSMRP00000010167	ENSSMRG00000008067	Salvator_merianae
ENSVURP00010023257	ENSVURG00010017818	Vombatus_ursinus
ENSPCIP00000031070	ENSPCIG00000023099	Phascolarctos_cinereus
ENSMEUP00000010817	ENSMEUG00000011854	Notamacropus_eugenii
ENSSHAP00000022043	ENSSHAG00000018658	Sarcophilus_harrisii
ENSMODP00000015268	ENSMODG00000012194	Monodelphis_domestica
ENSCHOP00000011167	ENSCHOG00000012606	Choloepus_hoffmanni
ENSDNOP00000031949	ENSDNOG00000041561	Dasypus_novemcinctus
ENSLAFP00000012059	ENSLAFG00000014400	Loxodonta_africana
ENSPCAP00000005693	ENSPCAG00000006057	Procavia_capensis
ENSETEP00000001404	ENSETEG00000001736	Echinops_telfairi
ENSOCUP00000002027	ENSOCUG00000002344	Oryctolagus_cuniculus
ENSOPRP00000013985	ENSOPRG00000015282	Ochotona_princeps
ENSTBEP00000001893	ENSTBEG00000002170	Tupaia_belangeri
ENSCCNP00000013559	ENSCCNG00000013929	Castor_canadensis
ENSDORP00000007359	ENSDORG00000007849	Dipodomys_ordii
ENSMSIP00000021686	ENSMSIG00000018256	Mus_spicilegus
MGP_SPRETEiJ_P0093435	MGP_SPRETEiJ_G0033800	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000099589	ENSMUSG00000057969	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0089715	MGP_CAROLIEiJ_G0032655	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0025389	MGP_PahariEiJ_G0015523	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000060214	ENSRNOG00000016512	Rattus_norvegicus
ENSMUGP00000020437	ENSMUGG00000017218	Meriones_unguiculatus
ENSPEMP00000013900	ENSPEMG00000013855	Peromyscus_maniculatus_bairdii
ENSMOCP00000022783	ENSMOCG00000019704	Microtus_ochrogaster
ENSCGRP00000022633	ENSCGRG00000016401	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001022213	ENSCGRG00001020822	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015015282	ENSCGRG00015011731	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000012335	ENSMAUG00000012667	Mesocricetus_auratus
ENSNGAP00000001472	ENSNGAG00000001071	Nannospalax_galili
ENSJJAP00000004239	ENSJJAG00000008681	Jaculus_jaculus
ENSSTOP00000024307	ENSSTOG00000016200	Ictidomys_tridecemlineatus
ENSSDAP00000014859	ENSSDAG00000013297	Spermophilus_dauricus
ENSUPAP00010028697	ENSUPAG00010022646	Urocitellus_parryii
ENSMMMP00000003780	ENSMMMG00000003345	Marmota_marmota_marmota
ENSCPOP00000011953	ENSCPOG00000013277	Cavia_porcellus
ENSCAPP00000004374	ENSCAPG00000006881	Cavia_aperea
ENSODEP00000024926	ENSODEG00000018231	Octodon_degus
ENSHGLP00100014021	ENSHGLG00100010370	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000017468	ENSHGLG00000012514	Heterocephalus_glaber_HetGla_female_1.0
