ENSVURP00010025964	ENSVURG00010019894	Vombatus_ursinus	ENSVURT00010029565
ENSPCIP00000000668	ENSPCIG00000000532	Phascolarctos_cinereus	ENSPCIT00000000846
ENSSHAP00000001920	ENSSHAG00000001708	Sarcophilus_harrisii	ENSSHAT00000001941
ENSVPAP00000003926	ENSVPAG00000004224	Vicugna_pacos
ENSSSCP00000048764	ENSSSCG00000043185	Sus_scrofa_strain_reference	ENSSSCT00000037961
ENSBBBP00000024326	ENSBBBG00000019247	Bison_bison_bison
ENSBTAP00000066030	ENSBTAG00000049511	Bos_taurus
ENSTTRP00000011335	ENSTTRG00000011954	Tursiops_truncatus
ENSECAP00000026310	ENSECAG00000039220	Equus_caballus
ENSEASP00005018911	ENSEASG00005013029	Equus_asinus_asinus
ENSSARP00000001721	ENSSARG00000001918	Sorex_araneus
ENSUMAP00000003224	ENSUMAG00000002757	Ursus_maritimus
ENSUAMP00000009067	ENSUAMG00000007579	Ursus_americanus
ENSNVIP00000025762	ENSNVIG00000019917	Neovison_vison
ENSVVUP00000035354	ENSVVUG00000025436	Vulpes_vulpes
ENSPTIP00000023957	ENSPTIG00000020224	Panthera_tigris_altaica
ENSPPRP00000009872	ENSPPRG00000004195	Panthera_pardus
ENSSDAP00000001773	ENSSDAG00000001748	Spermophilus_dauricus
ENSUPAP00010029729	ENSUPAG00010023389	Urocitellus_parryii
ENSMMMP00000027378	ENSMMMG00000023905	Marmota_marmota_marmota
ENSTBEP00000003327	ENSTBEG00000003842	Tupaia_belangeri
ENSPTRP00000052437	ENSPTRG00000013187	Pan_troglodytes
ENSPPAP00000010937	ENSPPAG00000028687	Pan_paniscus
ENSP00000245983	ENSG00000125787	Homo_sapiens
ENSPPYP00000012096	ENSPPYG00000010830	Pongo_abelii
ENSNLEP00000009208	ENSNLEG00000007569	Nomascus_leucogenys
ENSRROP00000029233	ENSRROG00000038418	Rhinopithecus_roxellana
ENSCANP00000025540	ENSCANG00000036203	Colobus_angolensis_palliatus
ENSRBIP00000016330	ENSRBIG00000032214	Rhinopithecus_bieti
ENSPTEP00000021639	ENSPTEG00000022660	Piliocolobus_tephrosceles
ENSPTEP00000021926	ENSPTEG00000022911	Piliocolobus_tephrosceles
ENSPTEP00000021547	ENSPTEG00000022581	Piliocolobus_tephrosceles
ENSPTEP00000021777	ENSPTEG00000022777	Piliocolobus_tephrosceles
ENSTGEP00000014675	ENSTGEG00000011917	Theropithecus_gelada
ENSCATP00000006975	ENSCATG00000021226	Cercocebus_atys
ENSPANP00000016965	ENSPANG00000004320	Papio_anubis
ENSMMUP00000007749	ENSMMUG00000005890	Macaca_mulatta
ENSMFAP00000036049	ENSMFAG00000034392	Macaca_fascicularis
ENSMNEP00000016556	ENSMNEG00000032312	Macaca_nemestrina
ENSMLEP00000014050	ENSMLEG00000031186	Mandrillus_leucophaeus
ENSCSAP00000009502	ENSCSAG00000013335	Chlorocebus_sabaeus
ENSSBOP00000006627	ENSSBOG00000020288	Saimiri_boliviensis_boliviensis
ENSCCAP00000000023	ENSCCAG00000000051	Cebus_capucinus_imitator
ENSCJAP00000039245	ENSCJAG00000021086	Callithrix_jacchus
ENSANAP00000011055	ENSANAG00000023488	Aotus_nancymaae
ENSTSYP00000013107	ENSTSYG00000014272	Carlito_syrichta
ENSLAFP00000027683	ENSLAFG00000028526	Loxodonta_africana
ENSXETP00000036817	ENSXETG00000013235	Xenopus_tropicalis
