ENSAHAP00000010947	ENSAHAG00000007915	Apteryx_haastii	ENSAHAT00000012120
ENSAOWP00000027745	ENSAOWG00000018702	Apteryx_owenii	ENSAOWT00000031449
ENSARWP00000014473	ENSARWG00000010014	Apteryx_rowi	ENSARWT00000016527
ENSDNVP00000004995	ENSDNVG00000003563	Dromaius_novaehollandiae	ENSDNVT00000006004
ENSNPEP00000016808	ENSNPEG00000012509	Nothoprocta_perdicaria	ENSNPET00000017219
ENSCPGP00000014230	ENSCPGG00000010079	Calidris_pygmaea
ENSMVIP00005021928	ENSMVIG00005015404	Manacus_vitellinus
ENSABRP00000007014	ENSABRG00000006456	Anser_brachyrhynchus
ENSAPLP00000012934	ENSAPLG00000013143	Anas_platyrhynchos_platyrhynchos
ENSCJPP00005001003	ENSCJPG00005001093	Coturnix_japonica
ENSCPRP00005013823	ENSCPRG00005009741	Crocodylus_porosus
ENSGAGP00000024074	ENSGAGG00000017613	Gopherus_agassizii
ENSCABP00000007941	ENSCABG00000005981	Chelonoidis_abingdonii
ENSACAP00000019356	ENSACAG00000001232	Anolis_carolinensis
ENSDNOP00000003234	ENSDNOG00000004199	Dasypus_novemcinctus
ENSCHOP00000003794	ENSCHOG00000004290	Choloepus_hoffmanni
ENSVPAP00000010124	ENSVPAG00000010874	Vicugna_pacos
ENSSSCP00000037231	ENSSSCG00000032832	Sus_scrofa_strain_reference
ENSTTRP00000002971	ENSTTRG00000003169	Tursiops_truncatus
ENSBIXP00005040419	ENSBIXG00005023048	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000006631	ENSBIXG00000012726	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000015110	ENSBMUG00000011471	Bos_mutus
ENSBBBP00000018435	ENSBBBG00000006933	Bison_bison_bison
ENSOARP00000011978	ENSOARG00000011176	Ovis_aries
ENSCHIP00000008496	ENSCHIG00000011668	Capra_hircus
ENSBTAP00000009227	ENSBTAG00000007011	Bos_taurus
ENSEASP00005020361	ENSEASG00005014008	Equus_asinus_asinus
ENSECAP00000017840	ENSECAG00000020373	Equus_caballus
ENSUAMP00000001652	ENSUAMG00000001556	Ursus_americanus
ENSUMAP00000006975	ENSUMAG00000005429	Ursus_maritimus
ENSAMEP00000007930	ENSAMEG00000007531	Ailuropoda_melanoleuca
ENSMPUP00000002627	ENSMPUG00000002655	Mustela_putorius_furo
ENSNVIP00000010667	ENSNVIG00000008467	Neovison_vison
ENSCAFP00000045202	ENSCAFG00000032753	Canis_lupus_familiaris
ENSCAFP00020019364	ENSCAFG00020015411	Canis_lupus_dingo
ENSVVUP00000007898	ENSVVUG00000005956	Vulpes_vulpes
ENSPTIP00000024107	ENSPTIG00000020315	Panthera_tigris_altaica
ENSPPRP00000026604	ENSPPRG00000017465	Panthera_pardus
ENSFCAP00000058603	ENSFCAG00000012986	Felis_catus
ENSPPAP00000022172	ENSPPAG00000034284	Pan_paniscus
ENSPTRP00000005355	ENSPTRG00000003037	Pan_troglodytes
ENSP00000357811	ENSG00000175018	Homo_sapiens
ENSGGOP00000007328	ENSGGOG00000007492	Gorilla_gorilla
ENSPPYP00000003208	ENSPPYG00000002747	Pongo_abelii
ENSNLEP00000009476	ENSNLEG00000007788	Nomascus_leucogenys
ENSCANP00000010415	ENSCANG00000028623	Colobus_angolensis_palliatus
ENSPTEP00000032132	ENSPTEG00000030923	Piliocolobus_tephrosceles
ENSRROP00000027740	ENSRROG00000037669	Rhinopithecus_roxellana
ENSRBIP00000019068	ENSRBIG00000033525	Rhinopithecus_bieti
ENSCATP00000019145	ENSCATG00000033369	Cercocebus_atys
ENSTGEP00000036150	ENSTGEG00000028769	Theropithecus_gelada
ENSMFAP00000009299	ENSMFAG00000000897	Macaca_fascicularis
ENSMMUP00000028009	ENSMMUG00000021270	Macaca_mulatta
ENSMNEP00000025067	ENSMNEG00000036041	Macaca_nemestrina
ENSMLEP00000007510	ENSMLEG00000027814	Mandrillus_leucophaeus
ENSPANP00000016587	ENSPANG00000020277	Papio_anubis
ENSCSAP00000000837	ENSCSAG00000004500	Chlorocebus_sabaeus
ENSCCAP00000008038	ENSCCAG00000021776	Cebus_capucinus_imitator
ENSSBOP00000010940	ENSSBOG00000022299	Saimiri_boliviensis_boliviensis
ENSCJAP00000022927	ENSCJAG00000012522	Callithrix_jacchus
ENSANAP00000004264	ENSANAG00000020229	Aotus_nancymaae
ENSTSYP00000001364	ENSTSYG00000001467	Carlito_syrichta
ENSPCOP00000006343	ENSPCOG00000014325	Propithecus_coquereli
ENSMICP00000028274	ENSMICG00000026931	Microcebus_murinus
ENSPSMP00000003840	ENSPSMG00000003113	Prolemur_simus
ENSOGAP00000009739	ENSOGAG00000010883	Otolemur_garnettii
ENSMOCP00000009096	ENSMOCG00000009219	Microtus_ochrogaster
ENSPEMP00000035938	ENSPEMG00000028129	Peromyscus_maniculatus_bairdii
ENSCGRP00001006441	ENSCGRG00001008694	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000015083	ENSCGRG00000010939	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015001936	ENSCGRG00015001585	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000003289	ENSMAUG00000003543	Mesocricetus_auratus
ENSMUSP00000033275	ENSMUSG00000030976	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000028244	ENSMSIG00000023776	Mus_spicilegus
MGP_SPRETEiJ_P0086266	MGP_SPRETEiJ_G0031699	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0082850	MGP_CAROLIEiJ_G0030585	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0019637	MGP_PahariEiJ_G0013792	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000038039	ENSRNOG00000026848	Rattus_norvegicus
ENSMUGP00000026758	ENSMUGG00000022286	Meriones_unguiculatus
ENSNGAP00000023969	ENSNGAG00000022368	Nannospalax_galili
ENSJJAP00000019827	ENSJJAG00000020679	Jaculus_jaculus
ENSCCNP00000023913	ENSCCNG00000023439	Castor_canadensis
ENSDORP00000011420	ENSDORG00000012145	Dipodomys_ordii
ENSCLAP00000003705	ENSCLAG00000002643	Chinchilla_lanigera
ENSCPOP00000004335	ENSCPOG00000004817	Cavia_porcellus
ENSHGLP00100022209	ENSHGLG00100016349	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000023856	ENSHGLG00000017007	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000001984	ENSFDAG00000011811	Fukomys_damarensis
ENSSTOP00000007513	ENSSTOG00000008384	Ictidomys_tridecemlineatus
ENSUPAP00010005614	ENSUPAG00010004543	Urocitellus_parryii
ENSSDAP00000010625	ENSSDAG00000009615	Spermophilus_dauricus
ENSTBEP00000008222	ENSTBEG00000009497	Tupaia_belangeri
ENSPVAP00000008607	ENSPVAG00000009127	Pteropus_vampyrus
ENSMLUP00000015549	ENSMLUG00000017054	Myotis_lucifugus
ENSSARP00000002741	ENSSARG00000003052	Sorex_araneus
ENSOCUP00000003100	ENSOCUG00000003579	Oryctolagus_cuniculus
ENSOPRP00000006660	ENSOPRG00000007277	Ochotona_princeps
ENSLAFP00000011097	ENSLAFG00000013261	Loxodonta_africana
ENSSHAP00000011514	ENSSHAG00000009897	Sarcophilus_harrisii
ENSLOCP00000009650	ENSLOCG00000007946	Lepisosteus_oculatus
ENSCSAVP00000018137	ENSCSAVG00000010667	Ciona_savignyi
ENSCINP00000020069	ENSCING00000009949	Ciona_intestinalis
