ENSPKIP00000020577	ENSPKIG00000005293	Paramormyrops_kingsleyae	ENSPKIT00000001195
ENSSFOP00015033770	ENSSFOG00015021558	Scleropages_formosus	ENSSFOT00015034148
ENSCHAP00000002096	ENSCHAG00000001515	Clupea_harengus
ENSDCDP00000028178	ENSDCDG00000020387	Denticeps_clupeoides
ENSAMXP00005048383	ENSAMXG00005022129	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000009108	ENSAMXG00000008865	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000032273	ENSPNAG00000020083	Pygocentrus_nattereri
ENSEEEP00000031855	ENSEEEG00000015212	Electrophorus_electricus
ENSIPUP00000024321	ENSIPUG00000016431	Ictalurus_punctatus
ENSDARP00000096095	ENSDARG00000078301	Danio_rerio
ENSAOCP00000002647	ENSAOCG00000005798	Amphiprion_ocellaris
ENSAPEP00000029971	ENSAPEG00000021290	Amphiprion_percula
ENSPRNP00000015634	ENSPRNG00000008396	Parambassis_ranga
ENSMZEP00005022963	ENSMZEG00005017193	Maylandia_zebra
ENSACLP00000005879	ENSACLG00000003954	Astatotilapia_calliptera
ENSPNYP00000002855	ENSPNYG00000002226	Pundamilia_nyererei
ENSHBUP00000012519	ENSHBUG00000014249	Haplochromis_burtoni
ENSNBRP00000016187	ENSNBRG00000012504	Neolamprologus_brichardi
ENSONIP00000000665	ENSONIG00000000521	Oreochromis_niloticus
ENSACIP00000014145	ENSACIG00000011001	Amphilophus_citrinellus
ENSLCRP00005002122	ENSLCRG00005001076	Larimichthys_crocea
ENSGACP00000005447	ENSGACG00000004147	Gasterosteus_aculeatus
ENSLCAP00010011122	ENSLCAG00010005274	Lates_calcarifer
ENSSLDP00000010169	ENSSLDG00000008091	Seriola_lalandi_dorsalis
ENSBSLP00000042461	ENSBSLG00000020399	Betta_splendens
ENSCGOP00000001642	ENSCGOG00000000944	Cottoperca_gobio
ENSCSEP00000020284	ENSCSEG00000012936	Cynoglossus_semilaevis
ENSAPOP00000001626	ENSAPOG00000002958	Acanthochromis_polyacanthus
ENSXCOP00000018698	ENSXCOG00000014071	Xiphophorus_couchianus
ENSXMAP00000024149	ENSXMAG00000025773	Xiphophorus_maculatus
ENSGAFP00000022552	ENSGAFG00000015228	Gambusia_affinis
ENSPFOP00000017771	ENSPFOG00000017681	Poecilia_formosa
ENSPLAP00000030690	ENSPLAG00000022024	Poecilia_latipinna
ENSPMEP00000013640	ENSPMEG00000016000	Poecilia_mexicana
ENSPREP00000021878	ENSPREG00000014776	Poecilia_reticulata
ENSCVAP00000001580	ENSCVAG00000002584	Cyprinodon_variegatus
ENSFHEP00000002046	ENSFHEG00000002841	Fundulus_heteroclitus
ENSKMAP00000026989	ENSKMAG00000020018	Kryptolebias_marmoratus
ENSOMEP00000007224	ENSOMEG00000008320	Oryzias_melastigma
ENSGWIP00000010706	ENSGWIG00000006289	Gouania_willdenowi
ENSSMAP00000006945	ENSSMAG00000004273	Scophthalmus_maximus
ENSMALP00000032962	ENSMALG00000022676	Monopterus_albus
ENSSDUP00000029457	ENSSDUG00000021230	Seriola_dumerili
ENSSPAP00000023137	ENSSPAG00000017462	Stegastes_partitus
ENSMAMP00000001849	ENSMAMG00000001302	Mastacembelus_armatus
ENSMMOP00000017807	ENSMMOG00000013512	Mola_mola
ENSTRUP00000054648	ENSTRUG00000007891	Takifugu_rubripes
ENSATEP00000036608	ENSATEG00000025160	Anabas_testudineus
ENSLBEP00000034552	ENSLBEG00000025972	Labrus_bergylta
ENSHCOP00000010442	ENSHCOG00000013056	Hippocampus_comes
ENSTNIP00000006545	ENSTNIG00000003936	Tetraodon_nigroviridis	ENSTNIT00000006695
ENSGMOP00000010328	ENSGMOG00000009663	Gadus_morhua
ENSHHUP00000085413	ENSHHUG00000049480	Hucho_hucho
ENSHHUP00000020305	ENSHHUG00000012702	Hucho_hucho
ENSELUP00000002434	ENSELUG00000003782	Esox_lucius
ENSLOCP00000015265	ENSLOCG00000012396	Lepisosteus_oculatus
ENSECRP00000020816	ENSECRG00000014009	Erpetoichthys_calabaricus
ENSVURP00010025373	ENSVURG00010019436	Vombatus_ursinus
ENSPCIP00000028571	ENSPCIG00000021350	Phascolarctos_cinereus
ENSMEUP00000000924	ENSMEUG00000000999	Notamacropus_eugenii
ENSSHAP00000015813	ENSSHAG00000013471	Sarcophilus_harrisii
ENSMODP00000047108	ENSMODG00000013496	Monodelphis_domestica
ENSPVAP00000013789	ENSPVAG00000014628	Pteropus_vampyrus
ENSMLUP00000002091	ENSMLUG00000002303	Myotis_lucifugus
ENSECAP00000025072	ENSECAG00000024122	Equus_caballus
ENSEASP00005031380	ENSEASG00005021359	Equus_asinus_asinus
ENSNVIP00000017743	ENSNVIG00000013850	Neovison_vison
