ENSPEMP00000011479	ENSPEMG00000012106	Peromyscus_maniculatus_bairdii
ENSAOWP00000020534	ENSAOWG00000013884	Apteryx_owenii	ENSAOWT00000023276
ENSFALP00000001185	ENSFALG00000001130	Ficedula_albicollis	ENSFALT00000001192
ENSATEP00000004558	ENSATEG00000003086	Anabas_testudineus
ENSTSYP00000007514	ENSTSYG00000008186	Carlito_syrichta
ENSMPUP00000010926	ENSMPUG00000011015	Mustela_putorius_furo
ENSXMAP00000013161	ENSXMAG00000013115	Xiphophorus_maculatus
ENSGALP00000018501	ENSGALG00000011353	Gallus_gallus	ENSGALT00000018524
ENSLCRP00005022332	ENSLCRG00005008612	Larimichthys_crocea
ENSNBRP00000016859	ENSNBRG00000012981	Neolamprologus_brichardi
ENSMVIP00005008520	ENSMVIG00005006310	Manacus_vitellinus
ENSPCIP00000032628	ENSPCIG00000024215	Phascolarctos_cinereus
ENSZALP00000013721	ENSZALG00000011417	Zonotrichia_albicollis	ENSZALT00000018705
ENSTBEP00000013843	ENSTBEG00000015905	Tupaia_belangeri
ENSORLP00015035877	ENSORLG00015022750	Oryzias_latipes_ASM223469v1
ENSCGRP00015027669	ENSCGRG00015020953	Cricetulus_griseus_CriGri-PICR
ENSAPEP00000007203	ENSAPEG00000005112	Amphiprion_percula
ENSHGLP00000008840	ENSHGLG00000006354	Heterocephalus_glaber_HetGla_female_1.0
ENSPCAP00000013933	ENSPCAG00000014850	Procavia_capensis
ENSP00000322251	ENSG00000116783	Homo_sapiens
ENSGMOP00000019814	ENSGMOG00000018391	Gadus_morhua
ENSSBOP00000021590	ENSSBOG00000027342	Saimiri_boliviensis_boliviensis
ENSPMEP00000017584	ENSPMEG00000020477	Poecilia_mexicana
ENSVVUP00000009400	ENSVVUG00000006991	Vulpes_vulpes
ENSORLP00000004965	ENSORLG00000003972	Oryzias_latipes_ASM223467v1
ENSHHUP00000038990	ENSHHUG00000024211	Hucho_hucho
ENSCPRP00005018522	ENSCPRG00005012924	Crocodylus_porosus
ENSFHEP00000021671	ENSFHEG00000001588	Fundulus_heteroclitus
ENSCMIP00000021488	ENSCMIG00000009777	Callorhinchus_milii
ENSCABP00000000119	ENSCABG00000000101	Chelonoidis_abingdonii
ENSMODP00000000408	ENSMODG00000000344	Monodelphis_domestica
ENSLCOP00000005053	ENSLCOG00000003792	Lepidothrix_coronata
ENSDNVP00000001138	ENSDNVG00000000840	Dromaius_novaehollandiae	ENSDNVT00000001353
C24A1.3a.1	WBGene00016030	Caenorhabditis_elegans_strain_N2
ENSVURP00010016987	ENSVURG00010012956	Vombatus_ursinus
ENSORLP00020003762	ENSORLG00020004558	Oryzias_latipes_ASM223471v1
ENSRNOP00000031479	ENSRNOG00000028225	Rattus_norvegicus
ENSACLP00000035654	ENSACLG00000024136	Astatotilapia_calliptera
ENSSARP00000002752	ENSSARG00000002981	Sorex_araneus
ENSSPAP00000001608	ENSSPAG00000001157	Stegastes_partitus
ENSHBUP00000005924	ENSHBUG00000007333	Haplochromis_burtoni
ENSVPAP00000006409	ENSVPAG00000006896	Vicugna_pacos
ENSDNOP00000004067	ENSDNOG00000005238	Dasypus_novemcinctus
ENSHCOP00000010629	ENSHCOG00000013312	Hippocampus_comes
ENSPPAP00000031349	ENSPPAG00000038571	Pan_paniscus
ENSANAP00000002237	ENSANAG00000017219	Aotus_nancymaae
ENSP00000450895	ENSG00000259030	Homo_sapiens
ENSSMRP00000026103	ENSSMRG00000020151	Salvator_merianae	ENSSMRT00000030516
ENSCAFP00020021642	ENSCAFG00020017106	Canis_lupus_dingo
ENSCATP00000017006	ENSCATG00000032358	Cercocebus_atys
ENSNVIP00000013522	ENSNVIG00000010632	Neovison_vison
ENSCSAP00000016634	ENSCSAG00000001384	Chlorocebus_sabaeus
ENSMUSP00000070561	ENSMUSG00000040086	Mus_musculus_strain_reference_(CL57BL6)
ENSCCEP00000004916	ENSCCEG00000005391	Cyanistes_caeruleus	ENSCCET00000008111
ENSDORP00000010065	ENSDORG00000010710	Dipodomys_ordii
