ENSPMEP00000013287	ENSPMEG00000015591	Poecilia_mexicana
ENSCHIP00000013542	ENSCHIG00000014926	Capra_hircus
ENSPTIP00000017151	ENSPTIG00000015677	Panthera_tigris_altaica
ENSCGRP00000025403	ENSCGRG00000018397	Cricetulus_griseus_CriGri_1.0
ENSSTOP00000012985	ENSSTOG00000014491	Ictidomys_tridecemlineatus
ENSFALP00000008334	ENSFALG00000007986	Ficedula_albicollis
ENSLSDP00000013161	ENSLSDG00000009588	Lonchura_striata_domestica
ENSCGRP00015019508	ENSCGRG00015014976	Cricetulus_griseus_CriGri-PICR
ENSMLEP00000022061	ENSMLEG00000035242	Mandrillus_leucophaeus
ENSTGEP00000033785	ENSTGEG00000026956	Theropithecus_gelada
ENSMSIP00000006718	ENSMSIG00000005995	Mus_spicilegus
ENSELUP00000009884	ENSELUG00000010415	Esox_lucius
ENSLAFP00000022961	ENSLAFG00000032146	Loxodonta_africana
ENSTRUP00000015191	ENSTRUG00000006234	Takifugu_rubripes
ENSPVIP00000026295	ENSPVIG00000019644	Pogona_vitticeps
ENSRNOP00000036110	ENSRNOG00000025075	Rattus_norvegicus
ENSGGOP00000010024	ENSGGOG00000010271	Gorilla_gorilla
ENSCLAP00000022375	ENSCLAG00000015348	Chinchilla_lanigera
ENSPPAP00000015538	ENSPPAG00000030906	Pan_paniscus
ENSSMAP00000030784	ENSSMAG00000018867	Scophthalmus_maximus
ENSTTRP00000004360	ENSTTRG00000004630	Tursiops_truncatus
ENSCABP00000019478	ENSCABG00000014386	Chelonoidis_abingdonii
ENSORLP00020031248	ENSORLG00020016162	Oryzias_latipes_ASM223471v1
ENSMEUP00000010637	ENSMEUG00000011669	Notamacropus_eugenii
ENSCPBP00000013998	ENSCPBG00000010433	Chrysemys_picta_bellii
ENSACAP00000002648	ENSACAG00000002736	Anolis_carolinensis
ENSTSYP00000005848	ENSTSYG00000006386	Carlito_syrichta
ENSMUGP00000024609	ENSMUGG00000020549	Meriones_unguiculatus
ENSPTRP00000068468	ENSPTRG00000004045	Pan_troglodytes
ENSDARP00000132358	ENSDARG00000099724	Danio_rerio
ENSGAGP00000009379	ENSGAGG00000007423	Gopherus_agassizii	ENSGAGT00000010780
ENSORLP00000042674	ENSORLG00000023849	Oryzias_latipes_ASM223467v1
ENSDORP00000010547	ENSDORG00000011226	Dipodomys_ordii
ENSCCAP00000032663	ENSCCAG00000034344	Cebus_capucinus_imitator
ENSCAFP00020002628	ENSCAFG00020002227	Canis_lupus_dingo
ENSCSEP00000028842	ENSCSEG00000018467	Cynoglossus_semilaevis
ENSCANP00000008802	ENSCANG00000027818	Colobus_angolensis_palliatus
ENSONIP00000006350	ENSONIG00000005048	Oreochromis_niloticus
