MGP_SPRETEiJ_P0065457	MGP_SPRETEiJ_G0027134	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0065457
ENSMSIP00000002125	ENSMSIG00000002020	Mus_spicilegus	ENSMSIT00000002708
ENSMUSP00000030309	ENSMUSG00000028575	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000030309
MGP_CAROLIEiJ_P0062972	MGP_CAROLIEiJ_G0026168	Mus_caroli_strain_CAROLI_EIJ	MGP_CAROLIEiJ_T0062972
MGP_PahariEiJ_P0078100	MGP_PahariEiJ_G0028505	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0078100
ENSRNOP00000034172	ENSRNOG00000026323	Rattus_norvegicus	ENSRNOT00000029441
ENSMUGP00000024321	ENSMUGG00000020279	Meriones_unguiculatus	ENSMUGT00000027885
ENSPEMP00000017763	ENSPEMG00000016567	Peromyscus_maniculatus_bairdii
ENSMOCP00000021545	ENSMOCG00000018858	Microtus_ochrogaster
ENSCGRP00001001447	ENSCGRG00001001186	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000014834	ENSCGRG00000010745	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000016888	ENSMAUG00000015891	Mesocricetus_auratus
ENSNGAP00000025465	ENSNGAG00000023403	Nannospalax_galili
ENSDORP00000010015	ENSDORG00000010654	Dipodomys_ordii
ENSFDAP00000011021	ENSFDAG00000018650	Fukomys_damarensis
ENSCLAP00000002724	ENSCLAG00000001968	Chinchilla_lanigera
ENSCLAP00000002774	ENSCLAG00000001999	Chinchilla_lanigera
ENSUPAP00010009922	ENSUPAG00010008024	Urocitellus_parryii
ENSSDAP00000023922	ENSSDAG00000021801	Spermophilus_dauricus
ENSMMMP00000010106	ENSMMMG00000009014	Marmota_marmota_marmota
ENSOCUP00000015182	ENSOCUG00000017681	Oryctolagus_cuniculus
ENSOPRP00000006583	ENSOPRG00000007193	Ochotona_princeps
ENSPTRP00000035637	ENSPTRG00000020836	Pan_troglodytes
ENSPPAP00000038815	ENSPPAG00000042132	Pan_paniscus
ENSP00000369371	ENSG00000120160	Homo_sapiens
ENSGGOP00000013395	ENSGGOG00000013734	Gorilla_gorilla
ENSPPYP00000021463	ENSPPYG00000019157	Pongo_abelii
ENSNLEP00000005692	ENSNLEG00000004703	Nomascus_leucogenys
ENSMMUP00000070363	ENSMMUG00000061449	Macaca_mulatta
ENSMFAP00000024723	ENSMFAG00000043911	Macaca_fascicularis
ENSMNEP00000002572	ENSMNEG00000012016	Macaca_nemestrina
ENSCSAP00000006026	ENSCSAG00000009785	Chlorocebus_sabaeus
ENSPANP00000019169	ENSPANG00000025274	Papio_anubis
ENSTGEP00000014990	ENSTGEG00000012179	Theropithecus_gelada
ENSCATP00000002380	ENSCATG00000010354	Cercocebus_atys
ENSMLEP00000030552	ENSMLEG00000039467	Mandrillus_leucophaeus
ENSRROP00000044314	ENSRROG00000045135	Rhinopithecus_roxellana
ENSRBIP00000011011	ENSRBIG00000029364	Rhinopithecus_bieti
ENSCANP00000013656	ENSCANG00000030256	Colobus_angolensis_palliatus
ENSPTEP00000014302	ENSPTEG00000015977	Piliocolobus_tephrosceles
ENSCCAP00000020571	ENSCCAG00000028124	Cebus_capucinus_imitator
ENSSBOP00000012491	ENSSBOG00000023038	Saimiri_boliviensis_boliviensis
ENSCJAP00000034147	ENSCJAG00000018426	Callithrix_jacchus
ENSANAP00000020173	ENSANAG00000027869	Aotus_nancymaae
ENSTSYP00000011822	ENSTSYG00000012885	Carlito_syrichta
ENSPSMP00000015687	ENSPSMG00000011157	Prolemur_simus
ENSMICP00000018206	ENSMICG00000034150	Microcebus_murinus
ENSPCOP00000001722	ENSPCOG00000005393	Propithecus_coquereli
ENSOGAP00000015000	ENSOGAG00000016757	Otolemur_garnettii
ENSTBEP00000005237	ENSTBEG00000006082	Tupaia_belangeri
ENSPVAP00000014009	ENSPVAG00000014864	Pteropus_vampyrus
ENSMLUP00000018200	ENSMLUG00000025852	Myotis_lucifugus
ENSVVUP00000029011	ENSVVUG00000021207	Vulpes_vulpes
ENSMPUP00000015820	ENSMPUG00000015926	Mustela_putorius_furo
ENSAMEP00000001908	ENSAMEG00000001815	Ailuropoda_melanoleuca
ENSPPRP00000014089	ENSPPRG00000007083	Panthera_pardus
ENSPTIP00000006587	ENSPTIG00000008460	Panthera_tigris_altaica
ENSFCAP00000041831	ENSFCAG00000040310	Felis_catus
ENSCHIP00000004576	ENSCHIG00000008768	Capra_hircus
ENSOARP00000015705	ENSOARG00000014643	Ovis_aries
ENSTTRP00000005157	ENSTTRG00000005469	Tursiops_truncatus
ENSVPAP00000007398	ENSVPAG00000007954	Vicugna_pacos
ENSEEUP00000012389	ENSEEUG00000013574	Erinaceus_europaeus
ENSSARP00000013188	ENSSARG00000014572	Sorex_araneus
ENSLAFP00000007389	ENSLAFG00000008794	Loxodonta_africana
ENSPCAP00000003431	ENSPCAG00000003668	Procavia_capensis
ENSETEP00000016266	ENSETEG00000020026	Echinops_telfairi
ENSDNOP00000024618	ENSDNOG00000039989	Dasypus_novemcinctus
