ENSPVIP00000019480	ENSPVIG00000014863	Pogona_vitticeps	ENSPVIT00000024207
ENSACAP00000010507	ENSACAG00000010685	Anolis_carolinensis	ENSACAT00000010724
ENSSMRP00000011499	ENSSMRG00000009047	Salvator_merianae
ENSSPUP00000021310	ENSSPUG00000016375	Sphenodon_punctatus
ENSABRP00000007304	ENSABRG00000006736	Anser_brachyrhynchus
ENSAPLP00000009528	ENSAPLG00000009794	Anas_platyrhynchos_platyrhynchos
ENSGALP00000001862	ENSGALG00000001229	Gallus_gallus
ENSCJPP00005010999	ENSCJPG00005009508	Coturnix_japonica
ENSMGAP00000019023	ENSMGAG00000002204	Meleagris_gallopavo
ENSNMEP00000006054	ENSNMEG00000006218	Numida_meleagris
ENSLSDP00000007745	ENSLSDG00000005833	Lonchura_striata_domestica
ENSTGUP00000003040	ENSTGUG00000002944	Taeniopygia_guttata
ENSSCAP00000000114	ENSSCAG00000000102	Serinus_canaria
ENSJHYP00000014642	ENSJHYG00000011334	Junco_hyemalis
ENSZALP00000003100	ENSZALG00000003171	Zonotrichia_albicollis
ENSCCEP00000019725	ENSCCEG00000017895	Cyanistes_caeruleus
ENSPMJP00000017776	ENSPMJG00000013346	Parus_major
ENSFALP00000009890	ENSFALG00000009486	Ficedula_albicollis
ENSMVIP00005002964	ENSMVIG00005002325	Manacus_vitellinus
ENSLCOP00000003240	ENSLCOG00000002464	Lepidothrix_coronata
ENSMUNP00000020850	ENSMUNG00000015824	Melopsittacus_undulatus
ENSCPGP00000018004	ENSCPGG00000012609	Calidris_pygmaea
ENSCPUP00000008194	ENSCPUG00000005906	Calidris_pugnax
ENSAHAP00000021570	ENSAHAG00000015168	Apteryx_haastii
ENSAOWP00000012013	ENSAOWG00000008238	Apteryx_owenii
ENSARWP00000010089	ENSARWG00000007026	Apteryx_rowi
ENSDNVP00000025551	ENSDNVG00000017768	Dromaius_novaehollandiae
ENSNPEP00000008412	ENSNPEG00000006313	Nothoprocta_perdicaria
ENSCPRP00005018429	ENSCPRG00005012873	Crocodylus_porosus
ENSCPBP00000030411	ENSCPBG00000021395	Chrysemys_picta_bellii
ENSCPBP00000032779	ENSCPBG00000022990	Chrysemys_picta_bellii
ENSGAGP00000023316	ENSGAGG00000017093	Gopherus_agassizii
ENSCABP00000008744	ENSCABG00000006601	Chelonoidis_abingdonii
ENSPSIP00000010350	ENSPSIG00000009375	Pelodiscus_sinensis
ENSPCIP00000039446	ENSPCIG00000028949	Phascolarctos_cinereus
ENSVURP00010030952	ENSVURG00010023669	Vombatus_ursinus
ENSMEUP00000007947	ENSMEUG00000008695	Notamacropus_eugenii
ENSMODP00000026148	ENSMODG00000020914	Monodelphis_domestica
ENSSHAP00000003589	ENSSHAG00000003152	Sarcophilus_harrisii
MGP_SPRETEiJ_P0068838	MGP_SPRETEiJ_G0027878	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000030917	ENSMUSG00000029050	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000019810	ENSMSIG00000016784	Mus_spicilegus
MGP_CAROLIEiJ_P0066253	MGP_CAROLIEiJ_G0026885	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0081362	MGP_PahariEiJ_G0029233	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000073651	ENSRNOG00000055340	Rattus_norvegicus
ENSMUGP00000002494	ENSMUGG00000002351	Meriones_unguiculatus
ENSCGRP00000017640	ENSCGRG00000012831	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015018435	ENSCGRG00015014185	Cricetulus_griseus_CriGri-PICR
