ENSVURP00010009659	ENSVURG00010007484	Vombatus_ursinus	ENSVURT00010010962
ENSPCIP00000041475	ENSPCIG00000030312	Phascolarctos_cinereus	ENSPCIT00000051083
ENSMEUP00000007000	ENSMEUG00000007669	Notamacropus_eugenii	ENSMEUT00000007690
ENSMODP00000003770	ENSMODG00000003092	Monodelphis_domestica	ENSMODT00000003854
MGP_SPRETEiJ_P0050411	MGP_SPRETEiJ_G0023751	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000060863	ENSMUSG00000048572	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000012379	ENSMSIG00000010774	Mus_spicilegus
MGP_CAROLIEiJ_P0048418	MGP_CAROLIEiJ_G0022832	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0021386	MGP_PahariEiJ_G0014325	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000030850	ENSRNOG00000025476	Rattus_norvegicus
ENSMUGP00000010373	ENSMUGG00000009170	Meriones_unguiculatus
ENSPEMP00000004756	ENSPEMG00000007137	Peromyscus_maniculatus_bairdii
ENSMOCP00000020177	ENSMOCG00000017938	Microtus_ochrogaster
ENSCGRP00000004179	ENSCGRG00000003073	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001019724	ENSCGRG00001019081	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015001399	ENSCGRG00015001200	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000007235	ENSMAUG00000008962	Mesocricetus_auratus
ENSNGAP00000020506	ENSNGAG00000019984	Nannospalax_galili
ENSJJAP00000012698	ENSJJAG00000015659	Jaculus_jaculus
ENSCLAP00000007878	ENSCLAG00000005523	Chinchilla_lanigera
ENSODEP00000005078	ENSODEG00000003841	Octodon_degus
ENSCAPP00000012171	ENSCAPG00000013089	Cavia_aperea
ENSCPOP00000012407	ENSCPOG00000013771	Cavia_porcellus
ENSHGLP00000022705	ENSHGLG00000016191	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100007301	ENSHGLG00100005472	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000003688	ENSFDAG00000013072	Fukomys_damarensis
ENSCCNP00000017647	ENSCCNG00000017951	Castor_canadensis
ENSDORP00000005123	ENSDORG00000005477	Dipodomys_ordii
ENSUPAP00010029863	ENSUPAG00010023485	Urocitellus_parryii
ENSSTOP00000007931	ENSSTOG00000008860	Ictidomys_tridecemlineatus
ENSSDAP00000016376	ENSSDAG00000014821	Spermophilus_dauricus
ENSMMMP00000003814	ENSMMMG00000003476	Marmota_marmota_marmota
ENSOCUP00000012154	ENSOCUG00000014142	Oryctolagus_cuniculus
ENSOPRP00000013579	ENSOPRG00000014882	Ochotona_princeps
ENSMNEP00000020514	ENSMNEG00000034076	Macaca_nemestrina
ENSMFAP00000035075	ENSMFAG00000004003	Macaca_fascicularis
ENSMMUP00000062655	ENSMMUG00000056154	Macaca_mulatta
ENSMLEP00000003404	ENSMLEG00000014717	Mandrillus_leucophaeus
ENSPANP00000019270	ENSPANG00000025115	Papio_anubis
ENSTGEP00000029315	ENSTGEG00000023586	Theropithecus_gelada
ENSCATP00000013496	ENSCATG00000030856	Cercocebus_atys
ENSCSAP00000004786	ENSCSAG00000008529	Chlorocebus_sabaeus
ENSRBIP00000002501	ENSRBIG00000012350	Rhinopithecus_bieti
ENSRROP00000037072	ENSRROG00000041998	Rhinopithecus_roxellana
ENSPTEP00000043581	ENSPTEG00000039667	Piliocolobus_tephrosceles
ENSCANP00000006884	ENSCANG00000023002	Colobus_angolensis_palliatus
ENSPPAP00000031858	ENSPPAG00000038837	Pan_paniscus
ENSPTRP00000062125	ENSPTRG00000046632	Pan_troglodytes
ENSP00000366528	ENSG00000181778	Homo_sapiens
ENSGGOP00000015134	ENSGGOG00000015514	Gorilla_gorilla
ENSPPYP00000021582	ENSPPYG00000019269	Pongo_abelii
ENSNLEP00000043400	ENSNLEG00000028670	Nomascus_leucogenys
ENSSBOP00000012372	ENSSBOG00000022996	Saimiri_boliviensis_boliviensis
ENSCCAP00000037612	ENSCCAG00000036655	Cebus_capucinus_imitator
ENSCJAP00000053973	ENSCJAG00000047141	Callithrix_jacchus
ENSANAP00000019924	ENSANAG00000027739	Aotus_nancymaae
ENSTSYP00000013509	ENSTSYG00000014722	Carlito_syrichta
ENSPCOP00000029927	ENSPCOG00000027673	Propithecus_coquereli
ENSMICP00000046851	ENSMICG00000044472	Microcebus_murinus
ENSPSMP00000037322	ENSPSMG00000025655	Prolemur_simus
ENSOGAP00000013547	ENSOGAG00000015132	Otolemur_garnettii
ENSTBEP00000007755	ENSTBEG00000008959	Tupaia_belangeri
ENSMLUP00000011692	ENSMLUG00000012853	Myotis_lucifugus
ENSPVAP00000003787	ENSPVAG00000004004	Pteropus_vampyrus
