ENSPNAP00000007187	ENSPNAG00000013068	Pygocentrus_nattereri
ENSTTRP00000007170	ENSTTRG00000007580	Tursiops_truncatus
ENSMICP00000005343	ENSMICG00000005855	Microcebus_murinus
ENSHBUP00000010610	ENSHBUG00000012186	Haplochromis_burtoni
ENSGALP00000003041	ENSGALG00000001964	Gallus_gallus
ENSRNOP00000073935	ENSRNOG00000019039	Rattus_norvegicus
ENSNLEP00000010068	ENSNLEG00000008277	Nomascus_leucogenys
ENSIPUP00000026621	ENSIPUG00000018037	Ictalurus_punctatus	ENSIPUT00000027717
ENSPCOP00000008197	ENSPCOG00000015380	Propithecus_coquereli
ENSPRNP00000028653	ENSPRNG00000014287	Parambassis_ranga
ENSOGAP00000014227	ENSOGAG00000015883	Otolemur_garnettii
ENSBTAP00000001784	ENSBTAG00000001354	Bos_taurus
ENSGACP00000018433	ENSGACG00000013962	Gasterosteus_aculeatus
ENSAPLP00000006574	ENSAPLG00000006952	Anas_platyrhynchos_platyrhynchos
ENSKMAP00000011226	ENSKMAG00000008409	Kryptolebias_marmoratus
ENSGAGP00000001580	ENSGAGG00000001271	Gopherus_agassizii
ENSXCOP00000012926	ENSXCOG00000009766	Xiphophorus_couchianus
ENSCANP00000035182	ENSCANG00000041279	Colobus_angolensis_palliatus
ENSXETP00000014617	ENSXETG00000000582	Xenopus_tropicalis
ENSNBRP00000016981	ENSNBRG00000013079	Neolamprologus_brichardi
ENSABRP00000026024	ENSABRG00000021792	Anser_brachyrhynchus
ENSEASP00005027043	ENSEASG00005018418	Equus_asinus_asinus
ENSTNIP00000022959	ENSTNIG00000019713	Tetraodon_nigroviridis
ENSCABP00000003044	ENSCABG00000002206	Chelonoidis_abingdonii
ENSCAFP00020002690	ENSCAFG00020002279	Canis_lupus_dingo
ENSUAMP00000000601	ENSUAMG00000000095	Ursus_americanus
ENSHGLP00000019597	ENSHGLG00000014038	Heterocephalus_glaber_HetGla_female_1.0
ENSSFOP00015001972	ENSSFOG00015001342	Scleropages_formosus
ENSBIXP00005001588	ENSBIXG00005000112	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCJPP00005009505	ENSCJPG00005008239	Coturnix_japonica
ENSXETP00000016323	ENSXETG00000003166	Xenopus_tropicalis
ENSCJAP00000019874	ENSCJAG00000010776	Callithrix_jacchus
ENSNVIP00000016521	ENSNVIG00000012928	Neovison_vison
ENSSLDP00000023863	ENSSLDG00000018557	Seriola_lalandi_dorsalis
ENSPSIP00000009869	ENSPSIG00000008977	Pelodiscus_sinensis
ENSTSYP00000019983	ENSTSYG00000033772	Carlito_syrichta
ENSPKIP00000020545	ENSPKIG00000005282	Paramormyrops_kingsleyae
ENSLSDP00000004039	ENSLSDG00000003156	Lonchura_striata_domestica
ENSLCAP00010036600	ENSLCAG00010017144	Lates_calcarifer
ENSSMAP00000016663	ENSSMAG00000010218	Scophthalmus_maximus
ENSSDUP00000030917	ENSSDUG00000022262	Seriola_dumerili
ENSMMOP00000023805	ENSMMOG00000018114	Mola_mola
ENSCAFP00000029099	ENSCAFG00000019664	Canis_lupus_familiaris
ENSAOWP00000006462	ENSAOWG00000004406	Apteryx_owenii
ENSPFOP00000005116	ENSPFOG00000005026	Poecilia_formosa
ENSCPBP00000016546	ENSCPBG00000012200	Chrysemys_picta_bellii
ENSPTRP00000091349	ENSPTRG00000021557	Pan_troglodytes
ENSLACP00000020348	ENSLACG00000017879	Latimeria_chalumnae
ENSAHAP00000013072	ENSAHAG00000009327	Apteryx_haastii
ENSTGEP00000008215	ENSTGEG00000006717	Theropithecus_gelada
ENSCVAP00000031845	ENSCVAG00000021419	Cyprinodon_variegatus
ENSECAP00000031468	ENSECAG00000019901	Equus_caballus
ENSGAFP00000012800	ENSGAFG00000008658	Gambusia_affinis
ENSXETP00000052634	ENSXETG00000017065	Xenopus_tropicalis
ENSCATP00000023267	ENSCATG00000035208	Cercocebus_atys
ENSMUSP00000119485	ENSMUSG00000026925	Mus_musculus_strain_reference_(CL57BL6)
ENSPVIP00000024051	ENSPVIG00000018152	Pogona_vitticeps
ENSSDAP00000001834	ENSSDAG00000001779	Spermophilus_dauricus
ENSSTOP00000012643	ENSSTOG00000014111	Ictidomys_tridecemlineatus
ENSCGRP00001024039	ENSCGRG00001022064	Cricetulus_griseus_CHOK1GS_HDv1
ENSDCDP00000002217	ENSDCDG00000001129	Denticeps_clupeoides
ENSFHEP00000002494	ENSFHEG00000003289	Fundulus_heteroclitus
ENSLCOP00000019994	ENSLCOG00000014173	Lepidothrix_coronata
ENSCSAP00000011896	ENSCSAG00000015816	Chlorocebus_sabaeus
