ENSPLAP00000028530	ENSPLAG00000017981	Poecilia_latipinna
ENSPFOP00000010891	ENSPFOG00000010926	Poecilia_formosa
ENSPREP00000013517	ENSPREG00000009114	Poecilia_reticulata
ENSGAFP00000002354	ENSGAFG00000001630	Gambusia_affinis
ENSORLP00000003588	ENSORLG00000002873	Oryzias_latipes_ASM223467v1
ENSGWIP00000038968	ENSGWIG00000019846	Gouania_willdenowi
ENSACLP00000010017	ENSACLG00000006854	Astatotilapia_calliptera
ENSMZEP00005033319	ENSMZEG00005024867	Maylandia_zebra
ENSHBUP00000004917	ENSHBUG00000006248	Haplochromis_burtoni
ENSPNYP00000024928	ENSPNYG00000018820	Pundamilia_nyererei
ENSNBRP00000002632	ENSNBRG00000001930	Neolamprologus_brichardi
ENSACIP00000025231	ENSACIG00000019535	Amphilophus_citrinellus
ENSSPAP00000011203	ENSSPAG00000008522	Stegastes_partitus
ENSAPEP00000024770	ENSAPEG00000017619	Amphiprion_percula
ENSLCAP00010047267	ENSLCAG00010021940	Lates_calcarifer
ENSATEP00000011146	ENSATEG00000007806	Anabas_testudineus
ENSSMAP00000002603	ENSSMAG00000001639	Scophthalmus_maximus
ENSELUP00000025536	ENSELUG00000024198	Esox_lucius
ENSHHUP00000071758	ENSHHUG00000042141	Hucho_hucho
ENSHHUP00000025112	ENSHHUG00000015822	Hucho_hucho
ENSCHAP00000021400	ENSCHAG00000010633	Clupea_harengus	ENSCHAT00000023373
ENSDCDP00000004573	ENSDCDG00000002257	Denticeps_clupeoides	ENSDCDT00000005020
ENSDARP00000091977	ENSDARG00000069497	Danio_rerio
ENSLOCP00000005014	ENSLOCG00000004200	Lepisosteus_oculatus
ENSECRP00000015484	ENSECRG00000010336	Erpetoichthys_calabaricus
ENSAOWP00000006835	ENSAOWG00000004687	Apteryx_owenii
ENSARWP00000015851	ENSARWG00000010952	Apteryx_rowi
ENSAHAP00000010173	ENSAHAG00000007354	Apteryx_haastii
ENSDNVP00000010960	ENSDNVG00000007763	Dromaius_novaehollandiae
ENSNPEP00000014962	ENSNPEG00000011163	Nothoprocta_perdicaria
ENSAPLP00000011074	ENSAPLG00000011312	Anas_platyrhynchos_platyrhynchos
ENSGALP00000003878	ENSGALG00000002463	Gallus_gallus
ENSCPGP00000013385	ENSCPGG00000009506	Calidris_pygmaea
ENSCPUP00000006376	ENSCPUG00000004653	Calidris_pugnax
ENSPMJP00000025985	ENSPMJG00000019010	Parus_major
ENSJHYP00000011728	ENSJHYG00000009171	Junco_hyemalis
ENSCPRP00005011137	ENSCPRG00005007958	Crocodylus_porosus
ENSCPBP00000020689	ENSCPBG00000014874	Chrysemys_picta_bellii
ENSSPUP00000003216	ENSSPUG00000002440	Sphenodon_punctatus
ENSPCOP00000027249	ENSPCOG00000026090	Propithecus_coquereli
ENSOGAP00000005586	ENSOGAG00000006251	Otolemur_garnettii
ENSPANP00000017303	ENSPANG00000020728	Papio_anubis
ENSPPYP00000019664	ENSPPYG00000017544	Pongo_abelii
ENSANAP00000008544	ENSANAG00000022277	Aotus_nancymaae
ENSNLEP00000019114	ENSNLEG00000015760	Nomascus_leucogenys
ENSPPAP00000025575	ENSPPAG00000035909	Pan_paniscus
ENSTGEP00000007161	ENSTGEG00000005873	Theropithecus_gelada
ENSCATP00000017121	ENSCATG00000032432	Cercocebus_atys
ENSRBIP00000027052	ENSRBIG00000037381	Rhinopithecus_bieti
ENSRROP00000031649	ENSRROG00000039501	Rhinopithecus_roxellana
ENSCANP00000025825	ENSCANG00000036327	Colobus_angolensis_palliatus
ENSPTEP00000010985	ENSPTEG00000012386	Piliocolobus_tephrosceles
ENSSBOP00000003688	ENSSBOG00000017068	Saimiri_boliviensis_boliviensis
ENSTSYP00000023757	ENSTSYG00000029448	Carlito_syrichta
ENSPSMP00000020940	ENSPSMG00000014711	Prolemur_simus
ENSMICP00000038965	ENSMICG00000027938	Microcebus_murinus
ENSMUSP00000126036	ENSMUSG00000025538	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0073774	MGP_SPRETEiJ_G0028786	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000024800	ENSMSIG00000020971	Mus_spicilegus
MGP_PahariEiJ_P0059442	MGP_PahariEiJ_G0024396	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000001224	ENSRNOG00000000922	Rattus_norvegicus
ENSMUGP00000006541	ENSMUGG00000006030	Meriones_unguiculatus
ENSCGRP00015025580	ENSCGRG00015019410	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000010853	ENSCGRG00000007909	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000012338	ENSMAUG00000012666	Mesocricetus_auratus
ENSMOCP00000008792	ENSMOCG00000008829	Microtus_ochrogaster
ENSPEMP00000011634	ENSPEMG00000012224	Peromyscus_maniculatus_bairdii
ENSNGAP00000001644	ENSNGAG00000001198	Nannospalax_galili
ENSJJAP00000006054	ENSJJAG00000010817	Jaculus_jaculus
ENSCCNP00000023267	ENSCCNG00000022875	Castor_canadensis
ENSDORP00000001172	ENSDORG00000001252	Dipodomys_ordii
ENSHGLP00100019627	ENSHGLG00100014470	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000016100	ENSHGLG00000011518	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000022248	ENSFDAG00000007116	Fukomys_damarensis
ENSCPOP00000006305	ENSCPOG00000006993	Cavia_porcellus
ENSCAPP00000014864	ENSCAPG00000015137	Cavia_aperea
ENSUPAP00010024294	ENSUPAG00010019268	Urocitellus_parryii
ENSSTOP00000009416	ENSSTOG00000010489	Ictidomys_tridecemlineatus
ENSMMMP00000004694	ENSMMMG00000004273	Marmota_marmota_marmota
ENSSDAP00000015139	ENSSDAG00000013496	Spermophilus_dauricus
ENSOCUP00000019077	ENSOCUG00000013602	Oryctolagus_cuniculus
ENSUAMP00000004791	ENSUAMG00000004357	Ursus_americanus
ENSUMAP00000021406	ENSUMAG00000015529	Ursus_maritimus
ENSAMEP00000016966	ENSAMEG00000016065	Ailuropoda_melanoleuca
ENSMPUP00000016105	ENSMPUG00000016209	Mustela_putorius_furo
ENSNVIP00000011887	ENSNVIG00000009390	Neovison_vison
ENSCAFP00020006332	ENSCAFG00020005154	Canis_lupus_dingo
ENSCAFP00000014919	ENSCAFG00000010156	Canis_lupus_familiaris
ENSVVUP00000022657	ENSVVUG00000016603	Vulpes_vulpes
ENSPPRP00000010311	ENSPPRG00000004511	Panthera_pardus
ENSPTIP00000016369	ENSPTIG00000015178	Panthera_tigris_altaica
ENSFCAP00000061094	ENSFCAG00000002981	Felis_catus
ENSEASP00005012683	ENSEASG00005008858	Equus_asinus_asinus
ENSBIXP00005044260	ENSBIXG00005028083	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000001397	ENSBIXG00000028613	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000065016	ENSBTAG00000008190	Bos_taurus
ENSBMUP00000033757	ENSBMUG00000025171	Bos_mutus
ENSCHIP00000032494	ENSCHIG00000026438	Capra_hircus
ENSOARP00000010842	ENSOARG00000010109	Ovis_aries
ENSSSCP00000008273	ENSSSCG00000007745	Sus_scrofa_strain_reference
ENSMLUP00000013800	ENSMLUG00000015146	Myotis_lucifugus
ENSDNOP00000017269	ENSDNOG00000025328	Dasypus_novemcinctus
ENSLAFP00000010700	ENSLAFG00000012794	Loxodonta_africana
ENSOANP00000016551	ENSOANG00000010443	Ornithorhynchus_anatinus
ENSXETP00000015358	ENSXETG00000000253	Xenopus_tropicalis
