ENSCPRP00005026576	ENSCPRG00005018451	Crocodylus_porosus
ENSJJAP00000013863	ENSJJAG00000016461	Jaculus_jaculus
ENSMZEP00005004767	ENSMZEG00005003698	Maylandia_zebra	ENSMZET00005004973
ENSFDAP00000021053	ENSFDAG00000007987	Fukomys_damarensis
ENSCCNP00000002359	ENSCCNG00000002485	Castor_canadensis
ENSPEMP00000009950	ENSPEMG00000011074	Peromyscus_maniculatus_bairdii
ENSMEUP00000011387	ENSMEUG00000012498	Notamacropus_eugenii
ENSBIXP00005012985	ENSBIXG00005017399	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCGRP00001020971	ENSCGRG00001019951	Cricetulus_griseus_CHOK1GS_HDv1
ENSLACP00000016476	ENSLACG00000014517	Latimeria_chalumnae
ENSACIP00000020082	ENSACIG00000015569	Amphilophus_citrinellus	ENSACIT00000020615
MGP_CAROLIEiJ_P0056889	MGP_CAROLIEiJ_G0024834	Mus_caroli_strain_CAROLI_EIJ
ENSSPUP00000022806	ENSSPUG00000017506	Sphenodon_punctatus
ENSPSIP00000004028	ENSPSIG00000003802	Pelodiscus_sinensis
ENSAPLP00000029525	ENSAPLG00000029036	Anas_platyrhynchos_platyrhynchos
ENSPFOP00000014302	ENSPFOG00000014234	Poecilia_formosa
ENSMSIP00000033478	ENSMSIG00000028006	Mus_spicilegus
ENSPCAP00000013347	ENSPCAG00000014333	Procavia_capensis
ENSSHAP00000020590	ENSSHAG00000017462	Sarcophilus_harrisii
ENSMODP00000008207	ENSMODG00000006613	Monodelphis_domestica
ENSPNYP00000015560	ENSPNYG00000011791	Pundamilia_nyererei	ENSPNYT00000015957
ENSOARP00000008895	ENSOARG00000008295	Ovis_aries
ENSMOCP00000008925	ENSMOCG00000008972	Microtus_ochrogaster
ENSMMUP00000068208	ENSMMUG00000022369	Macaca_mulatta
ENSTGUP00000012000	ENSTGUG00000011636	Taeniopygia_guttata
ENSPRNP00000000422	ENSPRNG00000000269	Parambassis_ranga
ENSOGAP00000014858	ENSOGAG00000016601	Otolemur_garnettii
ENSMPUP00000001805	ENSMPUG00000001823	Mustela_putorius_furo
ENSHGLP00100014521	ENSHGLG00100010741	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000007732	ENSHGLG00000005605	Heterocephalus_glaber_HetGla_female_1.0
ENSCPOP00000029270	ENSCPOG00000040600	Cavia_porcellus
ENSHGLP00000016647	ENSHGLG00000011908	Heterocephalus_glaber_HetGla_female_1.0
ENSPKIP00000023115	ENSPKIG00000006872	Paramormyrops_kingsleyae
ENSAHAP00000000039	ENSAHAG00000000046	Apteryx_haastii
ENSOPRP00000003778	ENSOPRG00000004100	Ochotona_princeps
ENSAMXP00005024738	ENSAMXG00005012576	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSHGLP00100003570	ENSHGLG00100002719	Heterocephalus_glaber_HetGla_1.0
ENSCAPP00000002167	ENSCAPG00000004704	Cavia_aperea
ENSFCAP00000026535	ENSFCAG00000018477	Felis_catus
ENSLBEP00000023831	ENSLBEG00000018287	Labrus_bergylta
ENSACAP00000022324	ENSACAG00000029182	Anolis_carolinensis
ENSCHOP00000001207	ENSCHOG00000001357	Choloepus_hoffmanni
ENSMVIP00005022504	ENSMVIG00005015777	Manacus_vitellinus
ENSUAMP00000023109	ENSUAMG00000018128	Ursus_americanus
ENSPLAP00000004382	ENSPLAG00000006059	Poecilia_latipinna
ENSSLDP00000016960	ENSSLDG00000013420	Seriola_lalandi_dorsalis
ENSABRP00000009501	ENSABRG00000008496	Anser_brachyrhynchus
ENSHGLP00100011621	ENSHGLG00100008619	Heterocephalus_glaber_HetGla_1.0
ENSATEP00000019641	ENSATEG00000013690	Anabas_testudineus
ENSZALP00000010546	ENSZALG00000008931	Zonotrichia_albicollis
ENSPTEP00000014830	ENSPTEG00000016493	Piliocolobus_tephrosceles
ENSDARP00000082773	ENSDARG00000061713	Danio_rerio
ENSLCAP00010029962	ENSLCAG00010014072	Lates_calcarifer
ENSVPAP00000000603	ENSVPAG00000000653	Vicugna_pacos
ENSDNOP00000023197	ENSDNOG00000045068	Dasypus_novemcinctus
ENSMMOP00000025017	ENSMMOG00000018997	Mola_mola
ENSDORP00000027521	ENSDORG00000002764	Dipodomys_ordii
ENSGMOP00000004306	ENSGMOG00000004061	Gadus_morhua
ENSAPOP00000031618	ENSAPOG00000018990	Acanthochromis_polyacanthus	ENSAPOT00000024831
ENSDCDP00000052028	ENSDCDG00000031486	Denticeps_clupeoides
ENSTSYP00000014376	ENSTSYG00000028512	Carlito_syrichta
ENSRNOP00000074488	ENSRNOG00000011441	Rattus_norvegicus
ENSSDUP00000015439	ENSSDUG00000011266	Seriola_dumerili
ENSCGRP00000024700	ENSCGRG00000017902	Cricetulus_griseus_CriGri_1.0
ENSNGAP00000009705	ENSNGAG00000012312	Nannospalax_galili
ENSHGLP00000001974	ENSHGLG00000001498	Heterocephalus_glaber_HetGla_female_1.0
ENSEASP00005030221	ENSEASG00005020578	Equus_asinus_asinus
ENSOMEP00000011476	ENSOMEG00000012790	Oryzias_melastigma
ENSSCAP00000002822	ENSSCAG00000002441	Serinus_canaria
ENSFDAP00000000031	ENSFDAG00000010392	Fukomys_damarensis
ENSPPYP00000020970	ENSPPYG00000018695	Pongo_abelii
ENSFHEP00000028694	ENSFHEG00000012957	Fundulus_heteroclitus
ENSCANP00000014870	ENSCANG00000030843	Colobus_angolensis_palliatus
ENSXCOP00000026864	ENSXCOG00000020065	Xiphophorus_couchianus
ENSPMAP00000010402	ENSPMAG00000009453	Petromyzon_marinus
MGP_SPRETEiJ_P0059133	MGP_SPRETEiJ_G0025764	Mus_spretus_strain_SPRET/EiJ
ENSCVAP00000021099	ENSCVAG00000002930	Cyprinodon_variegatus
ENSP00000429309	ENSG00000076554	Homo_sapiens
ENSHGLP00100008065	ENSHGLG00100005999	Heterocephalus_glaber_HetGla_1.0
ENSPPAP00000028942	ENSPPAG00000037473	Pan_paniscus
ENSRROP00000035670	ENSRROG00000041311	Rhinopithecus_roxellana
ENSOANP00000015906	ENSOANG00000010033	Ornithorhynchus_anatinus
ENSIPUP00000001825	ENSIPUG00000001276	Ictalurus_punctatus
ENSCSAP00000009529	ENSCSAG00000013394	Chlorocebus_sabaeus
ENSLAFP00000020634	ENSLAFG00000013093	Loxodonta_africana
ENSCATP00000040480	ENSCATG00000042819	Cercocebus_atys
ENSHGLP00100026531	ENSHGLG00100019457	Heterocephalus_glaber_HetGla_1.0
ENSLCOP00000000453	ENSLCOG00000000410	Lepidothrix_coronata
ENSOGAP00000016378	ENSOGAG00000034474	Otolemur_garnettii
ENSSFOP00015006777	ENSSFOG00015004477	Scleropages_formosus
ENSPTIP00000023091	ENSPTIG00000019653	Panthera_tigris_altaica
ENSGAFP00000015717	ENSGAFG00000010624	Gambusia_affinis
ENSPTRP00000064640	ENSPTRG00000020367	Pan_troglodytes
MGP_PahariEiJ_P0067908	MGP_PahariEiJ_G0026282	Mus_pahari_strain_PAHARI_EIJ
ENSBTAP00000049200	ENSBTAG00000007335	Bos_taurus
ENSGALP00000053630	ENSGALG00000040167	Gallus_gallus
ENSSDAP00000018679	ENSSDAG00000016989	Spermophilus_dauricus
ENSTNIP00000004546	ENSTNIG00000002111	Tetraodon_nigroviridis	ENSTNIT00000004687
ENSVURP00010022507	ENSVURG00010017237	Vombatus_ursinus
ENSECAP00000048485	ENSECAG00000013962	Equus_caballus
ENSGWIP00000003624	ENSGWIG00000001967	Gouania_willdenowi	ENSGWIT00000003909
ENSPPRP00000016658	ENSPPRG00000008939	Panthera_pardus
ENSECAP00000048797	ENSECAG00000035541	Equus_caballus
ENSMAMP00000020602	ENSMAMG00000013882	Mastacembelus_armatus
ENSETEP00000000356	ENSETEG00000000450	Echinops_telfairi
ENSNPEP00000009361	ENSNPEG00000007026	Nothoprocta_perdicaria
ENSHGLP00000025470	ENSHGLG00000018145	Heterocephalus_glaber_HetGla_female_1.0
ENSHBUP00000022360	ENSHBUG00000002577	Haplochromis_burtoni	ENSHBUT00000013859
ENSBSLP00000034616	ENSBSLG00000016797	Betta_splendens	ENSBSLT00000038271
ENSPVAP00000007378	ENSPVAG00000007818	Pteropus_vampyrus
ENSACLP00000022993	ENSACLG00000015609	Astatotilapia_calliptera	ENSACLT00000023538
ENSCAFP00020022792	ENSCAFG00020017989	Canis_lupus_dingo
ENSAMXP00000052198	ENSAMXG00000031948	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMFAP00000016585	ENSMFAG00000031459	Macaca_fascicularis
ENSXETP00000054329	ENSXETG00000021182	Xenopus_tropicalis
ENSPMJP00000006496	ENSPMJG00000005459	Parus_major
ENSGACP00000004501	ENSGACG00000003440	Gasterosteus_aculeatus	ENSGACT00000004515
ENSHGLP00100021039	ENSHGLG00100015503	Heterocephalus_glaber_HetGla_1.0
ENSMUSP00000091943	ENSMUSG00000027506	Mus_musculus_strain_reference_(CL57BL6)
ENSPVIP00000032802	ENSPVIG00000024032	Pogona_vitticeps
ENSBIXP00000013718	ENSBIXG00000018605	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCPBP00000009327	ENSCPBG00000007213	Chrysemys_picta_bellii
ENSMUGP00000018913	ENSMUGG00000016035	Meriones_unguiculatus
ENSSMRP00000014096	ENSSMRG00000010971	Salvator_merianae
ENSNSUP00000020541	ENSNSUG00000014948	Notechis_scutatus
ENSCABP00000016575	ENSCABG00000012320	Chelonoidis_abingdonii
ENSLSDP00000014492	ENSLSDG00000010467	Lonchura_striata_domestica
ENSMLEP00000000194	ENSMLEG00000000376	Mandrillus_leucophaeus
ENSCHAP00000015599	ENSCHAG00000008331	Clupea_harengus
ENSUMAP00000020382	ENSUMAG00000014931	Ursus_maritimus
ENSMMMP00000006506	ENSMMMG00000005797	Marmota_marmota_marmota
ENSHGLP00100023845	ENSHGLG00100017512	Heterocephalus_glaber_HetGla_1.0
ENSJHYP00000022770	ENSJHYG00000017171	Junco_hyemalis
ENSCSEP00000027507	ENSCSEG00000017570	Cynoglossus_semilaevis	ENSCSET00000027876
ENSCAFP00000062607	ENSCAFG00000008408	Canis_lupus_familiaris
ENSARWP00000022891	ENSARWG00000015607	Apteryx_rowi
ENSOCUP00000033226	ENSOCUG00000028011	Oryctolagus_cuniculus
ENSFALP00000008984	ENSFALG00000008611	Ficedula_albicollis
ENSCCEP00000009676	ENSCCEG00000009798	Cyanistes_caeruleus
ENSNBRP00000017011	ENSNBRG00000013131	Neolamprologus_brichardi	ENSNBRT00000017472
ENSCGRP00015024351	ENSCGRG00015018468	Cricetulus_griseus_CriGri-PICR
ENSPCIP00000045591	ENSPCIG00000034108	Phascolarctos_cinereus
ENSSPAP00000026418	ENSSPAG00000019934	Stegastes_partitus	ENSSPAT00000026850
ENSP00000430858	ENSG00000276418	Homo_sapiens
ENSPSMP00000015469	ENSPSMG00000010973	Prolemur_simus
ENSTNIP00000020935	ENSTNIG00000017783	Tetraodon_nigroviridis	ENSTNIT00000021168
ENSHGLP00000024144	ENSHGLG00000017207	Heterocephalus_glaber_HetGla_female_1.0
ENSMSIP00000018931	ENSMSIG00000015842	Mus_spicilegus
ENSAMEP00000015860	ENSAMEG00000015029	Ailuropoda_melanoleuca
ENSCLAP00000004208	ENSCLAG00000003004	Chinchilla_lanigera
ENSLCRP00005027382	ENSLCRG00005010889	Larimichthys_crocea	ENSLCRT00005027865
ENSAPEP00000016108	ENSAPEG00000011482	Amphiprion_percula	ENSAPET00000016544
ENSSARP00000006723	ENSSARG00000007435	Sorex_araneus
ENSMAUP00000022092	ENSMAUG00000019634	Mesocricetus_auratus
ENSEEUP00000011408	ENSEEUG00000012525	Erinaceus_europaeus
ENSANAP00000005119	ENSANAG00000020626	Aotus_nancymaae
ENSTGEP00000030244	ENSTGEG00000024251	Theropithecus_gelada
ENSCJPP00005014111	ENSCJPG00005011814	Coturnix_japonica
ENSDNVP00000015419	ENSDNVG00000010867	Dromaius_novaehollandiae
ENSHGLP00000013228	ENSHGLG00000009449	Heterocephalus_glaber_HetGla_female_1.0
ENSBMUP00000011588	ENSBMUG00000008817	Bos_mutus
ENSCGOP00000010211	ENSCGOG00000005193	Cottoperca_gobio
ENSPMEP00000014586	ENSPMEG00000016983	Poecilia_mexicana
ENSSMAP00000012736	ENSSMAG00000007831	Scophthalmus_maximus
ENSGGOP00000052127	ENSGGOG00000036769	Gorilla_gorilla
ENSMNEP00000009698	ENSMNEG00000029257	Macaca_nemestrina
