ENSXCOP00000009568	ENSXCOG00000007288	Xiphophorus_couchianus
ENSCGOP00000034229	ENSCGOG00000015884	Cottoperca_gobio
ENSJJAP00000017663	ENSJJAG00000019149	Jaculus_jaculus
ENSPKIP00000014018	ENSPKIG00000001233	Paramormyrops_kingsleyae
ENSPKIP00000033621	ENSPKIG00000013254	Paramormyrops_kingsleyae
ENSSARP00000010623	ENSSARG00000011761	Sorex_araneus
ENSECRP00000025835	ENSECRG00000017455	Erpetoichthys_calabaricus
ENSAPEP00000027989	ENSAPEG00000019876	Amphiprion_percula
ENSPPAP00000038572	ENSPPAG00000041993	Pan_paniscus
ENSNSUP00000025496	ENSNSUG00000018354	Notechis_scutatus
ENSDORP00000003127	ENSDORG00000003345	Dipodomys_ordii
ENSAPLP00000007761	ENSAPLG00000008124	Anas_platyrhynchos_platyrhynchos
ENSCANP00000020614	ENSCANG00000033741	Colobus_angolensis_palliatus
ENSOMEP00000026894	ENSOMEG00000009029	Oryzias_melastigma
ENSPMEP00000030733	ENSPMEG00000017362	Poecilia_mexicana
ENSMAMP00000030957	ENSMAMG00000020849	Mastacembelus_armatus
ENSFHEP00000022528	ENSFHEG00000002979	Fundulus_heteroclitus
ENSP00000335055	ENSG00000132970	Homo_sapiens
ENSCGRP00015021261	ENSCGRG00015016210	Cricetulus_griseus_CriGri-PICR
ENSSLDP00000011821	ENSSLDG00000009424	Seriola_lalandi_dorsalis
ENSLCOP00000015924	ENSLCOG00000011370	Lepidothrix_coronata
ENSOCUP00000042913	ENSOCUG00000003536	Oryctolagus_cuniculus
ENSPANP00000004811	ENSPANG00000013871	Papio_anubis
ENSELUP00000037175	ENSELUG00000016757	Esox_lucius
ENSORLP00015029107	ENSORLG00015012057	Oryzias_latipes_ASM223469v1
ENSSTOP00000005327	ENSSTOG00000005949	Ictidomys_tridecemlineatus
ENSATEP00000016166	ENSATEG00000011217	Anabas_testudineus
ENSSHAP00000012627	ENSSHAG00000010807	Sarcophilus_harrisii
ENSHHUP00000038414	ENSHHUG00000023982	Hucho_hucho
ENSPNYP00000004669	ENSPNYG00000003634	Pundamilia_nyererei
ENSPCIP00000042306	ENSPCIG00000037264	Phascolarctos_cinereus
ENSLCRP00005063135	ENSLCRG00005023166	Larimichthys_crocea
ENSCGRP00015034930	ENSCGRG00015026245	Cricetulus_griseus_CriGri-PICR
ENSBSLP00000037721	ENSBSLG00000018375	Betta_splendens
MGP_PahariEiJ_P0090127	MGP_PahariEiJ_G0031878	Mus_pahari_strain_PAHARI_EIJ
ENSARWP00000018269	ENSARWG00000012566	Apteryx_rowi
ENSCAPP00000012443	ENSCAPG00000013301	Cavia_aperea
ENSACAP00000017556	ENSACAG00000017831	Anolis_carolinensis
ENSHHUP00000065871	ENSHHUG00000038873	Hucho_hucho
ENSNVIP00000031834	ENSNVIG00000024502	Neovison_vison
ENSIPUP00000015576	ENSIPUG00000010595	Ictalurus_punctatus
ENSMAUP00000003840	ENSMAUG00000004464	Mesocricetus_auratus
ENSHGLP00100021593	ENSHGLG00100015893	Heterocephalus_glaber_HetGla_1.0
ENSCGRP00000004649	ENSCGRG00000003420	Cricetulus_griseus_CriGri_1.0
ENSOCUP00000018813	ENSOCUG00000002394	Oryctolagus_cuniculus
ENSCMIP00000038683	ENSCMIG00000016231	Callorhinchus_milii
ENSNVIP00000030909	ENSNVIG00000023794	Neovison_vison
ENSPTRP00000040016	ENSPTRG00000005725	Pan_troglodytes
ENSLAFP00000026827	ENSLAFG00000001004	Loxodonta_africana
ENSEEUP00000011652	ENSEEUG00000012790	Erinaceus_europaeus
ENSSMAP00000031189	ENSSMAG00000019113	Scophthalmus_maximus
ENSDNOP00000002032	ENSDNOG00000002618	Dasypus_novemcinctus
ENSAOCP00000028276	ENSAOCG00000017773	Amphiprion_ocellaris
ENSGACP00000026418	ENSGACG00000019998	Gasterosteus_aculeatus
ENSDORP00000006890	ENSDORG00000007346	Dipodomys_ordii
ENSHGLP00000008836	ENSHGLG00000006350	Heterocephalus_glaber_HetGla_female_1.0
ENSODEP00000017541	ENSODEG00000012933	Octodon_degus
ENSGALP00000024262	ENSGALG00000015066	Gallus_gallus
ENSGALP00000072559	ENSGALG00000014012	Gallus_gallus
ENSONIP00000008783	ENSONIG00000006964	Oreochromis_niloticus
ENSAMXP00000021235	ENSAMXG00000020622	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000021235
ENSANAP00000001918	ENSANAG00000014957	Aotus_nancymaae
ENSPREP00000028666	ENSPREG00000019391	Poecilia_reticulata
ENSACLP00000024847	ENSACLG00000016859	Astatotilapia_calliptera
ENSHBUP00000013021	ENSHBUG00000014768	Haplochromis_burtoni
ENSCPOP00000023672	ENSCPOG00000012376	Cavia_porcellus
ENSPKIP00000034051	ENSPKIG00000013525	Paramormyrops_kingsleyae
ENSJHYP00000014673	ENSJHYG00000011354	Junco_hyemalis
ENSSFOP00015024839	ENSSFOG00015015972	Scleropages_formosus
ENSZALP00000014773	ENSZALG00000012230	Zonotrichia_albicollis
ENSAPEP00000007825	ENSAPEG00000005637	Amphiprion_percula
ENSLCAP00010026933	ENSLCAG00010012627	Lates_calcarifer
ENSCPGP00000009922	ENSCPGG00000007074	Calidris_pygmaea
ENSJJAP00000016451	ENSJJAG00000018294	Jaculus_jaculus
ENSSSCP00000042424	ENSSSCG00000031620	Sus_scrofa_strain_reference
ENSDNVP00000003483	ENSDNVG00000002464	Dromaius_novaehollandiae
ENSLACP00000018313	ENSLACG00000016132	Latimeria_chalumnae
ENSCHAP00000033340	ENSCHAG00000015892	Clupea_harengus
ENSSSCP00000023179	ENSSSCG00000003577	Sus_scrofa_strain_reference
ENSTSYP00000004724	ENSTSYG00000005184	Carlito_syrichta
ENSPCAP00000009122	ENSPCAG00000009797	Procavia_capensis
ENSAMXP00005049887	ENSAMXG00005022680	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSOARP00000010874	ENSOARG00000010139	Ovis_aries
ENSAHAP00000020308	ENSAHAG00000014298	Apteryx_haastii
ENSSCAP00000000098	ENSSCAG00000000081	Serinus_canaria
ENSNLEP00000011724	ENSNLEG00000009635	Nomascus_leucogenys
ENSATEP00000015028	ENSATEG00000010470	Anabas_testudineus
ENSHCOP00000009793	ENSHCOG00000012315	Hippocampus_comes
ENSCVAP00000002820	ENSCVAG00000003961	Cyprinodon_variegatus
ENSMODP00000022382	ENSMODG00000017945	Monodelphis_domestica
ENSLACP00000001758	ENSLACG00000001570	Latimeria_chalumnae
ENSPCIP00000046562	ENSPCIG00000033337	Phascolarctos_cinereus
ENSORLP00020013306	ENSORLG00020014243	Oryzias_latipes_ASM223471v1
ENSSTOP00000016644	ENSSTOG00000029176	Ictidomys_tridecemlineatus
ENSCATP00000008929	ENSCATG00000027046	Cercocebus_atys
ENSUAMP00000000549	ENSUAMG00000000571	Ursus_americanus
ENSMPUP00000010004	ENSMPUG00000010079	Mustela_putorius_furo
ENSCGRP00015023636	ENSCGRG00015017992	Cricetulus_griseus_CriGri-PICR
ENSAMXP00005033013	ENSAMXG00005016063	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSHGLP00000017833	ENSHGLG00000012769	Heterocephalus_glaber_HetGla_female_1.0
ENSAMXP00005008164	ENSAMXG00005004763	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSMMUP00000075512	ENSMMUG00000018221	Macaca_mulatta
ENSJJAP00000010886	ENSJJAG00000014335	Jaculus_jaculus
ENSSPUP00000006358	ENSSPUG00000004898	Sphenodon_punctatus
ENSPRNP00000012816	ENSPRNG00000007070	Parambassis_ranga
ENSLCOP00000022994	ENSLCOG00000016151	Lepidothrix_coronata
ENSEEEP00000031613	ENSEEEG00000015122	Electrophorus_electricus
ENSECRP00000033604	ENSECRG00000022749	Erpetoichthys_calabaricus
ENSHHUP00000047187	ENSHHUG00000028690	Hucho_hucho
ENSHCOP00000026759	ENSHCOG00000017979	Hippocampus_comes
ENSMNEP00000019226	ENSMNEG00000033479	Macaca_nemestrina
ENSPNAP00000000884	ENSPNAG00000007800	Pygocentrus_nattereri
ENSAMXP00005020250	ENSAMXG00005010446	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPPRP00000016649	ENSPPRG00000008895	Panthera_pardus
ENSORLP00015013258	ENSORLG00015000409	Oryzias_latipes_ASM223469v1
ENSSCAP00000008512	ENSSCAG00000006489	Serinus_canaria
ENSCCEP00000021683	ENSCCEG00000019645	Cyanistes_caeruleus
ENSCVAP00000005506	ENSCVAG00000006891	Cyprinodon_variegatus
ENSMAUP00000017934	ENSMAUG00000016661	Mesocricetus_auratus
ENSSFOP00015023711	ENSSFOG00015015228	Scleropages_formosus
ENSCGRP00001022259	ENSCGRG00001020852	Cricetulus_griseus_CHOK1GS_HDv1
ENSMUSP00000081263	ENSMUSG00000028868	Mus_musculus_strain_reference_(CL57BL6)
ENSCSEP00000025899	ENSCSEG00000016546	Cynoglossus_semilaevis
ENSUAMP00000027232	ENSUAMG00000021105	Ursus_americanus
ENSMAUP00000013288	ENSMAUG00000013386	Mesocricetus_auratus
ENSPRNP00000037240	ENSPRNG00000018573	Parambassis_ranga
ENSEEUP00000011776	ENSEEUG00000012916	Erinaceus_europaeus
ENSELUP00000003623	ENSELUG00000004819	Esox_lucius
ENSCPGP00000021022	ENSCPGG00000014681	Calidris_pygmaea
ENSGMOP00000016442	ENSGMOG00000015343	Gadus_morhua
ENSMGAP00000016020	ENSMGAG00000015107	Meleagris_gallopavo
