ENSRROP00000008074	ENSRROG00000028414	Rhinopithecus_roxellana
ENSPTEP00000016600	ENSPTEG00000018217	Piliocolobus_tephrosceles
ENSPTRP00000026794	ENSPTRG00000015566	Pan_troglodytes
ENSP00000413228	ENSG00000174899	Homo_sapiens
ENSGGOP00000045480	ENSGGOG00000028322	Gorilla_gorilla
ENSNLEP00000031057	ENSNLEG00000004110	Nomascus_leucogenys
ENSCANP00000026083	ENSCANG00000036465	Colobus_angolensis_palliatus
ENSRBIP00000005551	ENSRBIG00000024419	Rhinopithecus_bieti
ENSMNEP00000002863	ENSMNEG00000013326	Macaca_nemestrina
ENSMMUP00000051782	ENSMMUG00000012046	Macaca_mulatta
ENSMFAP00000005149	ENSMFAG00000002259	Macaca_fascicularis
ENSCATP00000002563	ENSCATG00000011015	Cercocebus_atys
ENSPANP00000012127	ENSPANG00000006508	Papio_anubis
ENSTGEP00000003209	ENSTGEG00000002750	Theropithecus_gelada
ENSMLEP00000018209	ENSMLEG00000033295	Mandrillus_leucophaeus
ENSCSAP00000008290	ENSCSAG00000012112	Chlorocebus_sabaeus
ENSCJAP00000058080	ENSCJAG00000043693	Callithrix_jacchus
ENSSBOP00000008764	ENSSBOG00000021272	Saimiri_boliviensis_boliviensis
ENSMICP00000050916	ENSMICG00000049353	Microcebus_murinus
ENSOANP00000028577	ENSOANG00000022394	Ornithorhynchus_anatinus
ENSOANP00000031954	ENSOANG00000031116	Ornithorhynchus_anatinus
ENSCPUP00000024331	ENSCPUG00000016512	Calidris_pugnax
ENSCPGP00000005943	ENSCPGG00000004248	Calidris_pygmaea
ENSMUNP00000021910	ENSMUNG00000016499	Melopsittacus_undulatus
ENSFALP00000004927	ENSFALG00000004738	Ficedula_albicollis
ENSABRP00000001197	ENSABRG00000001255	Anser_brachyrhynchus
ENSAPLP00000020363	ENSAPLG00000004823	Anas_platyrhynchos_platyrhynchos
ENSGALP00000032342	ENSGALG00000020626	Gallus_gallus
ENSCJPP00005022774	ENSCJPG00005018111	Coturnix_japonica
ENSLCOP00000006458	ENSLCOG00000004793	Lepidothrix_coronata
ENSMVIP00005024188	ENSMVIG00005016966	Manacus_vitellinus
ENSNMEP00000015721	ENSNMEG00000013974	Numida_meleagris
ENSAHAP00000020953	ENSAHAG00000014734	Apteryx_haastii
ENSAOWP00000022725	ENSAOWG00000015363	Apteryx_owenii
ENSARWP00000024251	ENSARWG00000016526	Apteryx_rowi
ENSDNVP00000005919	ENSDNVG00000004237	Dromaius_novaehollandiae
