ENSPREP00000006911	ENSPREG00000004765	Poecilia_reticulata
ENSTRUP00000049461	ENSTRUG00000022442	Takifugu_rubripes
ENSGACP00000011702	ENSGACG00000008868	Gasterosteus_aculeatus
ENSPSMP00000010389	ENSPSMG00000007525	Prolemur_simus
ENSOMEP00000027822	ENSOMEG00000010515	Oryzias_melastigma
ENSFDAP00000010467	ENSFDAG00000018219	Fukomys_damarensis
ENSIPUP00000025138	ENSIPUG00000016999	Ictalurus_punctatus
ENSOGAP00000004306	ENSOGAG00000004816	Otolemur_garnettii
ENSFHEP00000021238	ENSFHEG00000023319	Fundulus_heteroclitus
ENSSPAP00000004481	ENSSPAG00000003467	Stegastes_partitus
ENSECAP00000017956	ENSECAG00000020295	Equus_caballus
ENSBIXP00000037739	ENSBIXG00000007398	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSVVUP00000020011	ENSVVUG00000014785	Vulpes_vulpes
ENSELUP00000038311	ENSELUG00000000743	Esox_lucius
ENSPTRP00000081984	ENSPTRG00000011678	Pan_troglodytes
ENSPCOP00000020837	ENSPCOG00000022405	Propithecus_coquereli
ENSCCEP00000010889	ENSCCEG00000010715	Cyanistes_caeruleus	ENSCCET00000017065
ENSP00000370653	ENSG00000178295	Homo_sapiens
ENSCCNP00000016531	ENSCCNG00000016816	Castor_canadensis
ENSMAUP00000005602	ENSMAUG00000007689	Mesocricetus_auratus
ENSNPEP00000012181	ENSNPEG00000009128	Nothoprocta_perdicaria	ENSNPET00000012487
ENSABRP00000016148	ENSABRG00000014167	Anser_brachyrhynchus
ENSPANP00000015705	ENSPANG00000008635	Papio_anubis
ENSDCDP00000044087	ENSDCDG00000028068	Denticeps_clupeoides
ENSDARP00000152468	ENSDARG00000112451	Danio_rerio
ENSCPGP00000023529	ENSCPGG00000016280	Calidris_pygmaea
ENSLCOP00000001363	ENSLCOG00000001112	Lepidothrix_coronata
ENSPPAP00000010252	ENSPPAG00000028355	Pan_paniscus
ENSVPAP00000009589	ENSVPAG00000010307	Vicugna_pacos
ENSSLDP00000025649	ENSSLDG00000019952	Seriola_lalandi_dorsalis
ENSCANP00000000282	ENSCANG00000000847	Colobus_angolensis_palliatus
ENSUAMP00000002089	ENSUAMG00000001929	Ursus_americanus
ENSORLP00020008877	ENSORLG00020009783	Oryzias_latipes_ASM223471v1
ENSATEP00000018641	ENSATEG00000012986	Anabas_testudineus
ENSBIXP00005041740	ENSBIXG00005024882	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSHGLP00100007909	ENSHGLG00100005897	Heterocephalus_glaber_HetGla_1.0
ENSHCOP00000024625	ENSHCOG00000014103	Hippocampus_comes
ENSSMAP00000027154	ENSSMAG00000016592	Scophthalmus_maximus
ENSMNEP00000036862	ENSMNEG00000041505	Macaca_nemestrina
ENSCGRP00000011683	ENSCGRG00000008503	Cricetulus_griseus_CriGri_1.0
ENSAOWP00000010187	ENSAOWG00000007017	Apteryx_owenii	ENSAOWT00000011578
ENSNBRP00000025082	ENSNBRG00000019151	Neolamprologus_brichardi
ENSANAP00000024392	ENSANAG00000029921	Aotus_nancymaae
ENSMUSP00000132098	ENSMUSG00000051235	Mus_musculus_strain_reference_(CL57BL6)
ENSAOCP00000030575	ENSAOCG00000021623	Amphiprion_ocellaris
ENSBMUP00000019702	ENSBMUG00000014871	Bos_mutus
ENSGAFP00000018372	ENSGAFG00000012435	Gambusia_affinis
ENSEEEP00000043756	ENSEEEG00000020683	Electrophorus_electricus
