ENSCINP00000034573	ENSCING00000017912	Ciona_intestinalis	ENSCINT00000032517
ENSCSAVP00000018703	ENSCSAVG00000010990	Ciona_savignyi	ENSCSAVT00000018908
ENSTBEP00000014773	ENSTBEG00000017006	Tupaia_belangeri
ENSMICP00000042049	ENSMICG00000043629	Microcebus_murinus
ENSSSCP00000048588	ENSSSCG00000036944	Sus_scrofa_strain_reference
FBpp0083186	FBgn0051244	Drosophila_melanogaster	FBtr0083772
FBpp0079575	FBgn0032205	Drosophila_melanogaster	FBtr0079985
Y50D7A.9.1	WBGene00021757	Caenorhabditis_elegans_strain_N2
ENSCABP00000013338	ENSCABG00000009999	Chelonoidis_abingdonii
ENSGAGP00000000386	ENSGAGG00000000330	Gopherus_agassizii
ENSCPBP00000021097	ENSCPBG00000015166	Chrysemys_picta_bellii
ENSPSIP00000004835	ENSPSIG00000004523	Pelodiscus_sinensis
ENSCPRP00005020707	ENSCPRG00005014399	Crocodylus_porosus
ENSCPGP00000000411	ENSCPGG00000000312	Calidris_pygmaea
ENSACAP00000015188	ENSACAG00000015463	Anolis_carolinensis
ENSNSUP00000027286	ENSNSUG00000019538	Notechis_scutatus	ENSNSUT00000028979
ENSSMRP00000002867	ENSSMRG00000002442	Salvator_merianae
ENSPVIP00000011836	ENSPVIG00000009272	Pogona_vitticeps
ENSSPUP00000024791	ENSSPUG00000019003	Sphenodon_punctatus
ENSUMAP00000023911	ENSUMAG00000017392	Ursus_maritimus
ENSUAMP00000012222	ENSUAMG00000009911	Ursus_americanus
ENSAMEP00000003512	ENSAMEG00000003336	Ailuropoda_melanoleuca
ENSMPUP00000014832	ENSMPUG00000014943	Mustela_putorius_furo
ENSNVIP00000030308	ENSNVIG00000023352	Neovison_vison
ENSCAFP00020034335	ENSCAFG00020026638	Canis_lupus_dingo
ENSCAFP00000019068	ENSCAFG00000012943	Canis_lupus_familiaris
ENSVVUP00000007694	ENSVVUG00000005809	Vulpes_vulpes
ENSPPRP00000023285	ENSPPRG00000013549	Panthera_pardus
ENSPTIP00000002691	ENSPTIG00000005659	Panthera_tigris_altaica
ENSFCAP00000034596	ENSFCAG00000037758	Felis_catus
ENSEASP00005018572	ENSEASG00005012801	Equus_asinus_asinus
ENSECAP00000012292	ENSECAG00000014598	Equus_caballus
ENSPVAP00000000135	ENSPVAG00000000151	Pteropus_vampyrus
ENSMLUP00000011503	ENSMLUG00000012635	Myotis_lucifugus
ENSBIXP00005038308	ENSBIXG00005020309	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
