ENSLACP00000001138	ENSLACG00000001019	Latimeria_chalumnae	ENSLACT00000001149
ENSLACP00000000107	ENSLACG00000000094	Latimeria_chalumnae	ENSLACT00000000108
ENSACAP00000023034	ENSACAG00000029560	Anolis_carolinensis
ENSNSUP00000021432	ENSNSUG00000015559	Notechis_scutatus
ENSSMRP00000015203	ENSSMRG00000011837	Salvator_merianae
ENSGALP00000066963	ENSGALG00000034899	Gallus_gallus
ENSCJPP00005013746	ENSCJPG00005011554	Coturnix_japonica
ENSNMEP00000019490	ENSNMEG00000016807	Numida_meleagris
ENSLSDP00000020084	ENSLSDG00000014247	Lonchura_striata_domestica
ENSZALP00000010304	ENSZALG00000008708	Zonotrichia_albicollis
ENSLCOP00000023209	ENSLCOG00000016279	Lepidothrix_coronata
ENSMUNP00000007336	ENSMUNG00000005887	Melopsittacus_undulatus
ENSNPEP00000018076	ENSNPEG00000013455	Nothoprocta_perdicaria
ENSARWP00000007618	ENSARWG00000005303	Apteryx_rowi
ENSAHAP00000026249	ENSAHAG00000018297	Apteryx_haastii
ENSAOWP00000024252	ENSAOWG00000016372	Apteryx_owenii
ENSABRP00000013304	ENSABRG00000011824	Anser_brachyrhynchus
ENSAPLP00000016677	ENSAPLG00000024234	Anas_platyrhynchos_platyrhynchos
ENSTGUP00000011578	ENSTGUG00000011233	Taeniopygia_guttata
ENSSCAP00000019338	ENSSCAG00000013968	Serinus_canaria
ENSCCEP00000013495	ENSCCEG00000012986	Cyanistes_caeruleus
ENSPMJP00000021211	ENSPMJG00000015744	Parus_major
ENSMVIP00005000548	ENSMVIG00005000470	Manacus_vitellinus
ENSFALP00000005766	ENSFALG00000005542	Ficedula_albicollis
ENSJHYP00000021697	ENSJHYG00000016422	Junco_hyemalis
ENSCPGP00000014577	ENSCPGG00000010310	Calidris_pygmaea
ENSCPUP00000012716	ENSCPUG00000009035	Calidris_pugnax
ENSDNVP00000002392	ENSDNVG00000001708	Dromaius_novaehollandiae
ENSCABP00000020719	ENSCABG00000015279	Chelonoidis_abingdonii
ENSCPBP00000030434	ENSCPBG00000021419	Chrysemys_picta_bellii
ENSPSIP00000017609	ENSPSIG00000015661	Pelodiscus_sinensis
ENSVURP00010018734	ENSVURG00010014259	Vombatus_ursinus
ENSVURP00010026936	ENSVURG00010020643	Vombatus_ursinus
